,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2007-01-18,3850000,17154,https://yt3.ggpht.com/Cv9tY1xYMnDv03T8X47LY9R6VnAVACeKT1Ozki8qMCIAsqIGkFmcbLy7OsL52H0Pk6Ip_htbow=s240-c-k-c0x00ffffff-no-rj
1,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,13000000,112121,https://yt3.ggpht.com/YKrh5sIYpesEIHbjfgqwFjFx3ZgIjM_zak2z0LO8QENSgrmgKBes1m65POj9jkmzm0qoKwgl=s240-c-k-c0x00ffffff-no-rj
2,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,2006-11-19,5340000,33329,https://yt3.ggpht.com/rSm619jUmehqFMzZ9OHgc9saNFDnEEKAOfJ__NAjMm4mhVBJEktghy4gXNBqiTbXywA2KKQG=s240-c-k-c0x00ffffff-no-rj
3,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1570000,75025,https://yt3.ggpht.com/zh4qLMXuvzpfQmi5iiP2rV2JRuh0kKAm_2FEbYDrWpTpY15IOm2jnJB6z4S1gLV5S9hPTmWN=s240-c-k-c0x00ffffff-no-rj
4,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,2000000,50954,https://yt3.ggpht.com/ytc/AIdro_krpS3SBR5MQMXYsUL7KjSvwBhJnbKtuwt1wpQsLo4=s240-c-k-c0x00ffffff-no-rj
5,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1670000,35285,https://yt3.ggpht.com/V6oAmAsoMt2eggEPZiMfuqp3h8SJHlQdNIwUaEEXcBJx5GDvKPMMKVhB4cqvznO5pLdPUidx4A=s240-c-k-c0x00ffffff-no-rj
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20924,https://yt3.ggpht.com/y_esGAQOhX4rTpWvrALErAJlFbm_2TIVrvcVfcZny7TuA8dJZgOQcC6KRfd_J5hljFe-foYXj9U=s240-c-k-c0x00ffffff-no-rj
7,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2014-03-12,1660000,4237,https://yt3.ggpht.com/0i-Y1gvY53RQGXdlQigtqp4yNQRTudeO-MJ7khXddxqnr3KrYlEpyUXC3OGaEvgAbLN4CMDLVg=s240-c-k-c0x00ffffff-no-rj
8,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2006-10-24,2370000,36730,https://yt3.ggpht.com/ytc/AIdro_mQ0Lhkdlxz_o2UManHaFOXBRWF6DUI-W9xWL0cpA=s240-c-k-c0x00ffffff-no-rj
9,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8530000,140803,https://yt3.ggpht.com/r2ZGA9E-wWJha_PIoNh8df3C_Y8uenieTqQ-Qj2-ibWQ6T__-mVxUvplOqoagFLsicskn-j3sw=s240-c-k-c0x00ffffff-no-rj
10,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,2009-10-22,15900000,223480,https://yt3.ggpht.com/ytc/AIdro_k2zbohUVQUNPbyKdfUaL5mJl-YObqTrdcsYQsD=s240-c-k-c0x00ffffff-no-rj
