,channel_id,channel_name,channel_dop,sub_count,total_videos
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2007-01-18,3820000,17043
1,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1550000,72871
2,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1990000,50640
3,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,2006-11-19,5300000,33083
4,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1660000,34968
5,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,12900000,111469
6,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2014-03-12,1640000,4189
7,UC5664f6TkaeHgwBly50DWZQ,Manila Bulletin Online,2013-11-28,813000,16011
8,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,2007-03-01,3120000,49729
9,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,2009-10-22,15800000,221887
10,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2006-10-24,2350000,36350
11,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15600000,20709
12,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8490000,137268
13,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,2014-05-30,3830000,97178
14,UCVSNOxehfALut52NbkfRBaA,Voice of America,2008-03-14,3170000,46777
15,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2009-11-04,4120000,38083
16,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,2013-08-21,4310000,34284
17,UCoTrrnpqNOqR_yhrv6KIHiA,FEATR,2006-09-20,3350000,920
18,UCSwwFP8hhA0Spah0ZUKZQVQ,UNICEF USA,2007-01-20,28200,809
19,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,2016-10-27,28700,932
20,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14300000,316956
21,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5020000,33151
22,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,2010-12-10,722,18
23,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,2007-04-04,2900000,96210
24,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,2005-11-16,6550000,58435
25,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,2018-02-28,1610000,31763
26,UCOsve8EeUntXzOyeGRUc3OA,Jumping Places,2017-04-26,362000,702
27,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,2008-04-17,447000,6859
28,UC4pMugpCikfWueXEV7sr3Mw,Diseases Simplified,2019-06-12,13100,181
29,UCPdKjHVKCF-YFvqHyh9uzvA,Esco Lifesciences Group,2009-06-23,6050,468
30,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,2011-09-30,557000,29285
31,UCsAueyuPjaPGcSfR3bIBPUg,Philstar News,2008-08-26,220000,8080
