,video_id,comment
0,aLZ85hb4wjE,Loved the calmness of Manilla.
1,aLZ85hb4wjE,"After this pandemic I think every country should have a lockdown every month to give mother nature a time to heal, with all the pollution that the earth is experiencing."
2,aLZ85hb4wjE,manila looks beautifull with less people
3,aLZ85hb4wjE,"The lockdown makes the city look like a place I want to explore.

Before the lockdown, it looked like a crowded mess filled with traffic and pollution."
4,aLZ85hb4wjE,India also same
5,aLZ85hb4wjE,The president promised that he'll do his best to ease the traffic in the metro like 5mins of travel along EDSA. Fortunately it happened but unfortunately it wasn't in the ideal way. Nature's sense of humor tho.
6,aLZ85hb4wjE,"I went up the viewing spot at antipolo, its a very beautiful, almost smog free view of the metro skyline"
7,aLZ85hb4wjE,The sad part is people around the world did not intend to heal earth but afraid of death.
8,aLZ85hb4wjE,i hope it stays like this forever its beautiful with no messy people
9,aLZ85hb4wjE,2020 is the year when nature fight back and reduce human emission dramatically.
10,sYI97jv-pZg,Panahon ng ubo at sipon ngayon  kasi malamig ang panahon   ....ngayon covid uli amg impression
11,sYI97jv-pZg,Ala n covid tngina
12,DWxIvQlpJK8,can we use this po?
13,DWxIvQlpJK8,"Permission to use this for my video presentation, thank you!"
14,DWxIvQlpJK8,No comments odd
15,DWxIvQlpJK8,SANA MAY PART 2 NA LOCKDOWN THIS 2024
16,DWxIvQlpJK8,Nakakamiss si tatay digs
17,DWxIvQlpJK8,Let us remember that the reason why we had such high numbers or had COVID AT ALL was because this guy was afraid of hurting China's feelings by imposing a travel ban on them.
18,DWxIvQlpJK8,"Nakakamis un lock down, nakakamis un puro boses ni tatay digong inaabangan ng mga tao during lockdown. It means, lahat ng tao, nakaagapay s desisyon ni tatay digong, salute talaga kay fprrd dahil sya ang pres during pandemic."
19,DWxIvQlpJK8,DUCHEKWA.
20,3YFpjgIQqEo,Ganito talaga pag tag lamig pina palala lang ng mga para nman kumita
21,3YFpjgIQqEo,Dito ba sa bahrainganyan din ang mnga sakit nun pangpanahon nang ninunu yan ngyun tumanda na aki ganyan ang sakit pag dumarating taglamig
22,3YFpjgIQqEo,Season ng ubo at sipon ngayon dito sa Pinas tapos ang panahon natin malamig sa madaling araw paggdating sa umaga hangang gabi mainit ang kawawa diyan yung walang aircon sa bahay tapos pagpasok  sa trabaho aircon yung body temperature nila pabago bago di lalong nagkakasakit ng ubo at sipon ..atibp
23,3YFpjgIQqEo,Mahirap pagalingin tumatagal Ng 2_3wks.dito sa nueva Ecija.
24,3YFpjgIQqEo,Maglaga ng luya inumin..
25,3YFpjgIQqEo,Hindi biro na sabihin nyo na simpleng ubot sipon lang Yan dahil Yung kapatid ko ganyan Ang sintomas dalawang hospital Ang pinag dalhan namin parehas na covid Ang labas hirap din syang huminga
26,3YFpjgIQqEo,"😊😊









😊"
27,3YFpjgIQqEo,Marami nang inuubo nilalagnat dito sa pilipinas Hindi Lang sa china.
28,3YFpjgIQqEo,"PRAISE GOD THERE ARE ONLY 18 CASES OUT OF 114 MILLION PEOPLE !!
 THANK YOU LORD WE ARE ALL HEALTHY !
 COVID IS OVER !!"
29,3YFpjgIQqEo,DOH lakas ninyong magbalita ng pag taas ng mga CASES.. pero mga BACKLOG NG COVID ALLOWANCES NG MGA FRONTLINER TURUAN KAYO NG TURUAN!!!!!
30,cPVE7QGS7As,"Just because our neighbour Filipina increase their covid test testing does not mean they are the worst in South East Asia. For me I admire that they try to save their people the best they can and honest with the figure too. Better than countries who have huge problem with covid, denying that they have the problem. Sending our thought and prayer to Filipina people..from Malaysia. Keep fighting spirit alive. May god protect you all."
31,cPVE7QGS7As,"Stay strong, my Filipino mates, this too shall pass"
32,cPVE7QGS7As,"Please be safe you all there. 
Well wish from Malaysia."
33,cPVE7QGS7As,"We are with you Philippines. 
Stay strong and resilient!!!
Until we meet again."
34,cPVE7QGS7As,I hope Filipino people be safe and overcome this happening. from South Korea.
35,cPVE7QGS7As,"Filipinos are very friendly, hopefully they can get this under control"
36,cPVE7QGS7As,Deaths have been low compared to other countries. The economy is the same as other countries reeling from the effects of the pandemic. We do what we can to live and survive through this and build again! We are a resilient and patient people where 4 months in a year we are visited by calamities. We have faith! We pray for this to end soon and I pray for everybody around the world who have lost family in this crisis.
37,cPVE7QGS7As,Every country is facing the same problems
38,cPVE7QGS7As,We are reaching 50k test per day now that's why cases becomes high. What's important is fatality is low and high recoveries.
39,cPVE7QGS7As,hi can i use this vid for educational purposes? it's for a school project. won't be posted in yt again
40,pMUumjHY3tw,Ask lang po san po kaya may avail na booster po sa covid ngaun po.salamat po
41,pMUumjHY3tw,Slightly Rise! Pero sana imandatory na ang pag face mask ulit Bago pa ito lumalala na namn.. globally kasi tumataas. Pero sana umaksyon na agad kaysa mahuli na nman at hinakayatin ang publico na magsuot muli Ng face mask sa matataong lugar
42,dIsaz_XlmTw,wow ! GOOD NEWS ! glad we are all safe and there is near zero cases of covid ! 🤗
43,dIsaz_XlmTw,Thanks a Lot/ DOH- Keep all Our Health Well!!!❤😊
44,dIsaz_XlmTw,sa mga nagsasabing 18 cases lang nadetect. ang sinasabi nila naka-detect sila ng 18 cases of JN.1. So sa ibang variants wala tayong balita. pero good news padin. sana mababa lang talaga cases.
45,dIsaz_XlmTw,Is the covid BS 1 variant still coming
46,dIsaz_XlmTw,here we go again
47,dIsaz_XlmTw,Hmmm. this could be the triggering pin for the ....
48,dIsaz_XlmTw,Balik na naman ba tayo na ka hit tooth ache lang Covid na agad? Or death due to a vehicular accident  Galing Covid sa report?
49,dIsaz_XlmTw,"Others country in south east Asia, people are dying on the complication of the mutate virus COVID. As far as US several cases have been reported on ICU don't be so carefree extreme measures and social distancing is a must"
50,dIsaz_XlmTw,ibalik nyo na kami sa Work From Home
51,dIsaz_XlmTw,"200k excess death sa 💉💉💉💉, explain nyo pls lang."
52,CEIrzjA8euQ,"No more health protocol thats why,its a leadership by example"
53,iOE6rAY8l-k,Vietnamese here I keep philippines in my prayer. Don't give up guys we southeast Asia will win this battle. 🙏🙏🙏🙏🙏
54,iOE6rAY8l-k,"Here in Cebu City Philippines, were exactly in that position like Manila a month ago. Government issued us an ECQ status. Our hospital are at 100% utilizations. It's really a community effort. Many people help fed covid patience.  A week a go were downgraded to GCQ, our hospital are at 45% utilization rate now. We're about to transition to MGCQ an even more lower status. So just hang in there guys, you can do it. Just follow the basic  health protocol. Stay safe, Stay home, Stay healthy and please be obedient.  ✌. For local tourist please go to Cebu it's open all ready. To help the local tourism industry.  Thanks."
55,iOE6rAY8l-k,Beautiful country with so much resources. The people? Not so much
56,iOE6rAY8l-k,Please allow me to use this for academic purposes only. Thank you!
57,iOE6rAY8l-k,"Bakit hindi gamitin ang mga eskuelahan para sa sa temporary Covit 19 facilities, wala namang klase ang mga estudyante."
58,iOE6rAY8l-k,"When people are bored and or looking for sources of income, they can't simply stay at home after 5 long months of waiting. Some don't take this disease seriously anymore after ECQ was  lifted....not properly wearing masks and don't observe physical distancing when law enforcers are not around. What can you expect?"
59,iOE6rAY8l-k,hi can i use this video for my presentation? thank you
60,iOE6rAY8l-k,It's THE Philippines.
61,iOE6rAY8l-k,"pls allow me to use this school purposes only, student. thank you!"
62,iOE6rAY8l-k,hi mga tao from hilt
63,Mxf8uGFcqSE,Here we go again. Oh well . . . 😷
64,Mxf8uGFcqSE,More kupit more money 😂
65,Mxf8uGFcqSE,🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸
66,E5F3xA_zkFc,"Many people were really hungry during the pandemic, they couldn't go to work, there was no salary, there was no way to eat, I cried in this documentary😭😭😭"
67,E5F3xA_zkFc,Very sad and disturbing.  My prayers are with all the people who are hungry and unemployed.
68,E5F3xA_zkFc,What's sad is that these are the same people who still vote for corrupt officials.
69,E5F3xA_zkFc,Very good documentary.
70,E5F3xA_zkFc,"Perfect docu , can't believe it's happening now, feels like it happened 20 yrs ago"
71,E5F3xA_zkFc,This is ridiculous! The country needs to open up to survive.
72,E5F3xA_zkFc,"As a Melbournian in Australia, I will not complain again after this."
73,E5F3xA_zkFc,"""Those who are just starting to get hungry can wait...."""
74,E5F3xA_zkFc,"Thank god i live in a defiant nation, when state ordered businesses to close down, people collectively showed them middle finger."
75,E5F3xA_zkFc,I can't fathom why the rich received any kind of aid.  Corruption is sky high in the Philippines.  May God right the wrong.
76,MQ5aYS4YFlQ,For greater INSIGHT into the top issues affecting Asia: https://youtube.com/playlist?list=PLkMf14VQEvTaHr6oTqYbWqKOsmcveuhca
77,MQ5aYS4YFlQ,"The poor gets poorer and the rich gets richer, that's how our country works... Even our farmers is not paid fairly..."
78,MQ5aYS4YFlQ,"I became a Housemaid at the age of 13, so I can go to high school at night.  My parents had 9 children. I’ve experienced nothing but poverty in my childhood.  It was harder for us, the older children. I wondered, even at 4 years old, why children are considered as “blessings”, when we were all SUFFERING.  
There was no Pandemic in those days, but POVERTY was crippling us."
79,MQ5aYS4YFlQ,I was born and raised in Cebu Philippines in one of those slums. I have lived in Florida for 15 yrs now and I am so grateful to be able to help my family during these tough times. I bought my mom a duplex out in the country in 2016 so She is no longer living in the slums. It still feels like yesterday when we had to pawn Our clothes so we can buy food. I will never forget where I came from and will always be grateful for the blessings that come my way 🙏
80,MQ5aYS4YFlQ,"10 children and 13 grandchildren. Sometimes you can influence how you live your life. We are a poor family too, but our lives are much better than a family with 10 children and 13 grandkids."
81,MQ5aYS4YFlQ,"Even without the pandemic.. many of Filipinos have been starving, and  unemployed. They also said here that ""Hindi kami natakot mamatay sa COVID, takot kami na mamatay sa gutom"" ""Walang nakakagmot sa gutom, patay ka."" and I think that's the most painful statements i heard in this video. Many filipinos experienced hunger amid the lockdown. In fact, the hunger incidence rate is at its highest in 6 years according to the social weather station. I can say that Filipinos don't easily give up in the situation and they are still helping through good and bad times."
82,MQ5aYS4YFlQ,"Even without the pandemic.. many of Filipinos have been starving, and  unemployed"
83,MQ5aYS4YFlQ,"I work 12 to 13 hours a day at minimum. Sometimes I feel like complaining  but after watching this, somehow I feel grateful to have kept my job and be able to take care of my family."
84,MQ5aYS4YFlQ,"As someone who is privileged enough, these are the stories most of the government officials, middle and upper class Filipinos should see to realize what's really happening when we allow poor priority/decisions and poor politics plague our land. Let us have the initiative to help, both the government and the people together from making this our ""new normal"" 🙏"
85,MQ5aYS4YFlQ,"That's why Family planning is very important. Don't settle yet if you don't have your own house and stable job. Save money as much as you can, spend it wisely."
86,E56W-5xVOss,"Tandaan mo ang bilin ko: Magpakatatag ka at lakasan mo ang iyong loob. Huwag kang matatakot o mawawalan ng pag-asa sapagkat akong si Yahweh, na iyong Diyos, ay kasama mo saan ka man magpunta.”
Josue 1:9 MBB05"
87,E56W-5xVOss,God is the best shield to all pilipino... GOD BLESS US ALL... magpakatatag tayo... Wla tayong ibang maasahan kundi ang panginoon lamang ang syang lumikha  satin.... Sya rin ang nagbigay kagandahan dito sa mundong ito... Pag may dumi sya ang mag linis para mapanatiling malinis ang mundong ito..
88,E56W-5xVOss,grabe di ko inexpect magiging ganito ka siryoso ang covid19😭 let us pray para sa health nating lahat...
89,E56W-5xVOss,One day it will disappear! Everything  has an end!  God is Almighty .
90,E56W-5xVOss,"It will all come to pass....
JUST TRUST IN THE LORD WITH ALL YOUR HEART AND SOUL"
91,E56W-5xVOss,Sabayan lang pagdarasal at tamang kaalaman.
92,E56W-5xVOss,"Di man tayo kasing Hi-tech Gaya NG CHINA at ibang bansa Manalig, Magtiwala at Manalanagin Lang tayo Kay God maliligtas tayo🙏🙏."
93,E56W-5xVOss,"Just remembered the time you cooked for us when we celebrated Christmas inside. You said that you're ""chef"" back then because of the business of your relative (aunt) and you really fond of cooking that's why you've been busy that day cooking the foods that we all agreed upon. And now, you're already do Vlogging here on Youtube. So proud of you Bro! May God bless you always."
94,E56W-5xVOss,Mag pray palagi tayo  God bless you all
95,E56W-5xVOss,Nakakaproud sa Tito Raul Destura😊
96,2fRQ8OsqOLs,PROTEKTADO TODO DAMI NA NAMATAY SA TUKLAM NIO WAG NIO PINAGLOLOKO MGA TAO
97,2fRQ8OsqOLs,Wala nm magawa ang DOH kulang n nm ang budget corrupt is coming dagdag budget dw kailangan...Wla ng kaso ang DOH na nagpayaman nakalimutan na only in the Philippines.
98,2fRQ8OsqOLs,"kawawa mga sumunod sainyo, magkakasugat sa katawan
- Pahayag 16:2"
99,2fRQ8OsqOLs,"For sure not all cases are covid 19,"
100,2fRQ8OsqOLs,DAMI KO TAWA SA MGA NAG COMMENT DITO SA VIDEO NIYO MGA WALA COMMON SENSE ANO NAHAWA KAYO SA KAUTAK IPIS NG DOH ABER SO PATETIC
101,2fRQ8OsqOLs,"Hangat nandyan ang babaeng yan sa dohell di mawawala si vidco sa atin, isa yan sa mga kasapakat ng whodas so ibig sabihin nakikinabang."
102,2fRQ8OsqOLs,thank you po sa info😊
103,2fRQ8OsqOLs,Next plan: marburg virus?
104,2fRQ8OsqOLs,"Ma'am,magpahinga na kayo at tama na ang pagsisilba sa goberno para pahinga din ang taong bayan sa covid pinupromot mo."
105,2fRQ8OsqOLs,Kwak kwak kwak😂😂😂
106,c1oU8U05puY,"Matakot tayo sa covid vaccine,dahil ang daming nagka roon ng blood clots ,at nahospital dahil sa vaccine."
107,c1oU8U05puY,Iba ung sagot mo dok
108,c1oU8U05puY,Sa mga health workers po pwd
109,c1oU8U05puY,Ask ko lang po if timely pa ba na magpa flu vaccine at this time of the year di po ba ideally yung flu shot makuha before the onset of the rainy season?
110,c1oU8U05puY,Sa San Jose del Monte city bulacan tignan ninyo doh .
111,c1oU8U05puY,Kahangahanga ang pasensya ni Alvin sa usec na hindi diretso o strident ang mga sagot
112,c1oU8U05puY,bakit 10 slot lng binigay s health center s baranagay
113,c1oU8U05puY,Hay naku sabihin nyo lang mag roll out vaccines unlimited napo yan till mag pantay paa😢
114,c1oU8U05puY,No sounds?
115,c1oU8U05puY,Pwede bang mag pakuha yung May ubo at natatake ng antibiotics
116,_a-rQYfsCck,dapat i check na yang nasa maynila
117,_a-rQYfsCck,Heto na naman kame!👽✌️
118,_a-rQYfsCck,hays!
119,_a-rQYfsCck,Business
120,_a-rQYfsCck,Potek Gawin GCQ or ECQ yung Manila International Airport para hindi maglockdown yung buo pilipinas
121,_a-rQYfsCck,neknek nyo haha 😂
122,_a-rQYfsCck,Covid business nanaman 😢
123,_a-rQYfsCck,Hahaha. Walang katapusan covid  business
124,_a-rQYfsCck,Pandemic is not over
125,_a-rQYfsCck,The new variant in the Philippines is called BBM😅😅
126,8dTelszbObM,Coronavirus: Death toll rises to 427: https://www.youtube.com/watch?v=eavggz1suMY
127,8dTelszbObM,There's always that one person that hides there sickness and risk a whole world.
128,8dTelszbObM,This sounds serious. Hope they get it under control.
129,8dTelszbObM,I hope this Outbreak will come to an end! Be safe Everyone!
130,8dTelszbObM,"0:07 - 20,438 confirmed cases.  How long ago did you film this?"
131,8dTelszbObM,"My wife is from mainland China. Her friends are from mainland China. We live in California. My wife and her friends are stand away from places they regularly go to that gave large numbers of Chinese. Classes in the evenings and weekends that have mostly Chinese students have less people showing up. Masks are sold out everywhere. Groups on WeChat are coordinating mask purchases from whatever places they find them online, even if expensive. 

I’m not as concerned but am respecting her wishes, I don’t want to cause her extra stress. 

The fear is real. 

You may think it unjustified but it’s not just people who aren’t Asian keeping their distance. Sure, some people are being idiots, especially those making comments around Asian people buy calling people racist and xenophobic doesn’t help. 

Do what you think is right for your family. Don’t let people shame you into not protecting yourself. 

At some point I expect someone to say something to my daughter who is mixed but looks Chinese but I’ve just told her people are scared and when people are scared they sometimes say mean things. It’s not as if she hasn’t heard Chinese people say racist things about other cultures. 

I make sure she knows racism exists and isn’t acceptable. 

To date she gets far more abuse from other Chinese because her Chinese isn’t as good as others. She has been bullied by people from South America in the past. 

To date, she has never told me about being bullied by westerners, she just gets the occasional mean comment which young girls seem to make to each other. 

Racists and mean people come from all races and religions. I’ve heard from the local Chinese community things like Mexicans are stupid, black people are scary, various things about Japanese so let’s not pretend many complaining about racism may also be racist, although they may not see it that way."
132,8dTelszbObM,This was like 3 days ago lol
133,8dTelszbObM,"The quarantine didn't start until Jan 23rd. The doctor who recently died at age *34,* reported cases going back to December. This is probably worse than the media is reporting."
134,8dTelszbObM,"You can't blame people for being cautious. Especially now when there's no vaccine, cure, etc. Only thing that helps is separation. It's nothing personal."
135,8dTelszbObM,"one love guys, lets help one another no one to blame"
136,lw16DeB6zns,"To people asking why is there a discussion about South Africa, please back to 2:29. The reporter CLEARLY says ""We will now EXPAND this discussion..."" Meaning the topic will also be discussed using other countries' experiences. Philippines was just the main feature or example. It's NOT clickbait. And there's nothing wrong with the editing. Hope this helped :)"
137,lw16DeB6zns,Great insightful report from the reporter.
138,lw16DeB6zns,"Tthis was really confusing, plss fix ur news well next time,..."
139,lw16DeB6zns,Complete Lockdown is not a solution. Government must try smart lockdown and allow those people who are earning on daily bases. May Allah bless all the people Ameen
140,lw16DeB6zns,Philippines and then South Africa?
141,lw16DeB6zns,"They switched because they want to put the philippines as a title because they know they will get more views if the title has the word ""philippines"" on it"
142,lw16DeB6zns,its kinda cute to read angry Pinoy comments
143,lw16DeB6zns,Huh why South Africa? This was regarding the Philippines..the interview is irrelevant
144,lw16DeB6zns,When u choose a trike driver as president.
145,lw16DeB6zns,I don't watch the video I only find information in comment section😊
146,RhDHGgo4yZg,"Watching this makes me so grateful that I thought it my duty to help. For the past six months, I have been sending money to a family of seven. I am not a rich man but I thought I must do something to help. So I have been sending $125 pcm. I know this will be enough vegetables and rice to see them through. It will save them from starvation."
147,RhDHGgo4yZg,This is so sad and heartbreaking 🥺😢😔
148,RhDHGgo4yZg,This is so sad and to think that I always say I'm starving when I am provided with so much food. I feel ashamed
149,RhDHGgo4yZg,"It's amazing how money literally prevented people from being fed. In the old days, everyone in the tribe would work to feed everyone. Raising animals, growing crops and managing resources responsibly. I think the fact that there are non-profit organizations of volunteers proves that we have this innate desire to collaborate like we did in ancient times."
150,RhDHGgo4yZg,God bless the Philippines 🇵🇭🇵🇭🇵🇭
151,RhDHGgo4yZg,"This is so heartbreaking, I want to help but I know that I can't"
152,RhDHGgo4yZg,God bless her and her family
153,RhDHGgo4yZg,"This is so heartbreaking, i know the government has its constraints but I still have a good faith in humanity, in the Filipnos, I hope that us who are blessed will be able to adopt a family esp like this mother who has that strong determination to provide for her family but due to this pandemic is unable to. I hope that if you  know someone like them within your reach, or your community, may you make a difference, change lives and fate, please share thy blessings, a small amount could make a good meal.=)"
154,RhDHGgo4yZg,"The Catholic Church should also help the poor since Catholic Church is one of the biggest stock holders and investors of Philippine banking industry, food and beverage industry, mining industry, among others. They owned big expensive hospitals, schools and universities in Philippines. Catholic Church is a trillionaire."
155,RhDHGgo4yZg,"Hi CNA Insider, do you know any legitimate links to donate to the Philippines food crisis?"
156,jEINZXA_ujo,"My Filipino friends, stay strong and stay safe."
157,jEINZXA_ujo,It's over 7100 islands many have no cases it's a smart move
158,jEINZXA_ujo,The Phillipines seem to be more on the ball than the US. Good on ya. Keep it up and good luck.:-)
159,jEINZXA_ujo,Better to act now than later than regret it when it's uncontrollable 😉
160,jEINZXA_ujo,"He is using his brain , the ones that don,t will fade away !"
161,jEINZXA_ujo,I hope my family is okay 🙏🏻
162,jEINZXA_ujo,We Filipinos will support our beloved president...Amping lang kanunay.. Love from Visayas...
163,jEINZXA_ujo,Stay safe!
164,jEINZXA_ujo,"We don't want to be another Italy,our country can't afford to accommodate all.I think this reporter didnt  emphasized a local produced test kits that will be used next week .our local scientist tried their best to invent new test kits for filipinos  ,since one test kits from other countries is very expensive.I salute our presidente for doing the right thing in order not to spread the virus in other neighboring provinces or islands."
165,jEINZXA_ujo,"here in the philippines our houses are just so close to each other, The virus here can spread with ease, it's a good thing president duterte declared the lockdown earlier, we would've been all infected by now if it wasn't for that."
166,587N9bJ5J5k,"If you look at the lower income quarters, a lot of these settlements have significant overcrowding and unacceptable environmental hygiene; it just adds to the spread and these environments are a breeding ground for disease.  The situation is very similar to the Brazilian Favelas.  Many of their outdoor marketplaces are also a breeding ground for disease without proper safe food storage.

Many people in the Philippines can't afford private hospitals and don't have health insurance."
167,587N9bJ5J5k,the philippines still managed NOT  to be like india and indonesia until now despite having the most densed population in the world.. hoping it will not get worse this time 🙏🏽
168,587N9bJ5J5k,God bless you all
169,587N9bJ5J5k,"lockdowns aren't going to deter highly social cultures. At least, not in a way Philippine infrastructure will be able to deal with."
170,587N9bJ5J5k,This is how we build back better.
171,587N9bJ5J5k,God blessed
172,587N9bJ5J5k,Public hospitals in Philippines are risky at best. Full of caring staff but...
173,587N9bJ5J5k,I hope for the people
174,587N9bJ5J5k,💝🙏
175,587N9bJ5J5k,"I 🙅 pray for all ,,,,thanks so much al Jazeera English"
176,nTUWK8vufOk,"As a Filipino student, online class is frustrating because our internet here sucks."
177,nTUWK8vufOk,I hope the family was paid for being interviewed. They need support more than ever.
178,nTUWK8vufOk,nothing is more heartbreaking than children forced to grow up before there time...
179,nTUWK8vufOk,"As a teacher in Malaysia I feel for these anak- anak . Be strong and be safe ,only education can change your life and your family , Praying for success from Malaysia ."
180,nTUWK8vufOk,"I was in the Philippines on a mission trip when Covid hit. After I was home in the US with my family, the worry I felt for the kids I'd met there was overwhelming. May God bless the Filipino people💙"
181,nTUWK8vufOk,"I am so glad that they also tackled the mental health of the youth right now. It is also one of the worst problems that the youth of the Philippines can experience. I know a lot of people in my classmates who suffer from depression, that is why, we must take actions to fight and solve this problem."
182,nTUWK8vufOk,"The problem in the Philippines is that there are many less privileged, challenged people. The government officials and local government unit can be corrupt and don’t do their assigned jobs properly(not saying all of them but some or maybe most of them). The less privileged people and some teens just makes more babies and say having an accidental baby is a “blessing”. It is only a blessing if it was planned and both couple/parents are ready to have their own family. That is why many people are suffering from poverty because many people do not plan making their family. Then they blame everything to the government and if there are people doing better than them they want to pull others down. #crabmentality 🦀 I feel sorry for the challenged people but some of the people just make their own problems.

Didn’t comment here to debate. Just giving my opinion ✌🏻"
183,nTUWK8vufOk,I'm here out of curiosity if they include how there are so many errors/incomplete in the modules given to students for online study. It's like it never even went to proofreading before it was released. Even our senate wants an investigation on this matter. How can we have internationally competitive students if the materials provided to them has so many errors.
