,video_id,comment,comment_cleaned
0,aLZ85hb4wjE,Loved the calmness of Manilla.,loved the calmness of manilla.
1,aLZ85hb4wjE,"After this pandemic I think every country should have a lockdown every month to give mother nature a time to heal, with all the pollution that the earth is experiencing.","after this pandemic i think every country should have a lockdown every month to give mother nature a time to heal, with all the pollution that the earth is experiencing."
2,aLZ85hb4wjE,manila looks beautiful with less people,manila looks beautiful with less peopl
3,aLZ85hb4wjE,"The lockdown makes the city look like a place I want to explore.

Before the lockdown, it looked like a crowded mess filled with traffic and pollution.","the lockdown makes the city look like a place i want to explore.

before the lockdown, it looked like a crowded mess filled with traffic and pollution."
4,aLZ85hb4wjE,India also same,india also sam
5,aLZ85hb4wjE,"I went up the viewing spot at antipolo, its a very beautiful, almost smog free view of the metro skyline","i went up the viewing spot at antipolo, its a very beautiful, almost smog free view of the metro skylin"
6,aLZ85hb4wjE,The president promised that he'll do his best to ease the traffic in the metro like 5mins of travel along EDSA. Fortunately it happened but unfortunately it wasn't in the ideal way. Nature's sense of humor tho.,the president promised that he'll do his best to ease the traffic in the metro like 5mins of travel along edsa. fortunately it happened but unfortunately it wasn't in the ideal way. nature's sense of humor tho.
7,aLZ85hb4wjE,The sad part is people around the world did not intend to heal earth but afraid of death.,the sad part is people around the world did not intend to heal earth but afraid of death.
8,aLZ85hb4wjE,i hope it stays like this forever its beautiful with no messy people,i hope it stays like this forever its beautiful with no messy peopl
9,aLZ85hb4wjE,2020 is the year when nature fight back and reduce human emission dramatically.,2020 is the year when nature fight back and reduce human emission dramatically.
10,sdsz-t540WI,The people of The Philippines are so smart and strong. They endure and work incredibly hard. Much love. Make use of online fundraising campaign sights. People will donate. 💯💗,the people of the philippines are so smart and strong. they endure and work incredibly hard. much love. make use of online fundraising campaign sights. people will donate. 💯💗
11,sdsz-t540WI,"If you take out the paychecks of the government officials from the President down to the Barangay level, I bet  these people will be the first one to protest against lockdown.","if you take out the paychecks of the government officials from the president down to the barangay level, i bet  these people will be the first one to protest against lockdown."
12,sdsz-t540WI,Hello to my classmates watching because of the documentary veiwing. are you still alive guys?,hello to my classmates watching because of the documentary veiwing. are you still alive guys?
13,sdsz-t540WI,Be grateful for those who have a better life. Sometimes life needs to be seen down so that we are always grateful,be grateful for those who have a better life. sometimes life needs to be seen down so that we are always gr
14,sdsz-t540WI,Module brought me here 🤧🤦,module brought me here 🤧🤦
15,sdsz-t540WI,"God is our only hope in times like these! I pray for y'all in need, the sick, disabled, y'all that have lost loved ones, may the lord and our saviour meet y'all    at point of need🙏.","god is our only hope in times like these! i pray for y'all in need, the sick, disabled, y'all that have lost loved ones, may the lord and our saviour meet y'all    at point of need🙏."
16,sdsz-t540WI,"I thank God, me and my daughter still on job. We don't have much to worry. We never rent a house and pay water bill, just the electric bill.","i thank god, me and my daughter still on job. we don't have much to worry. we never rent a house and pay water bill, just the electric bill."
17,sdsz-t540WI,Bamboo to those who go due to module,bamboo to those who go due to modul
18,sdsz-t540WI,I’m curious with all of this going on why the Philippine peso is so strong against the dollar compared to before the pandemic. I would just assume that the patient would lose value based on the devastation to the economy. And yes the USA lost value as well I agree I’m just curious how this is all working out and why,i’m curious with all of this going on why the philippine peso is so strong against the dollar compared to before the pandemic. i would just assume that the patient would lose value based on the devastation to the economy. and yes the usa lost value as well i agree i’m just curious how this is all working out and whi
19,sdsz-t540WI,Instead of focusing on the pandemic effect the govt is busy on the closure of a giant network.,instead of focusing on the pandemic effect the govt is busy on the closure of a giant network.
20,sYI97jv-pZg,Cough and cold season now because the weather is cold .... now covid again amg impression,cough and cold season now because the weather is cold .... now covid again amg impress
21,sYI97jv-pZg,Ala n covid tngina,ala n covid tngina
22,pMUumjHY3tw,Just ask me so there is a booster avail on covid ngaun po.,just ask me so there is a booster avail on covid ngaun po.
23,pMUumjHY3tw,Slightly Rise! But hopefully the face mask is imandatory before it gets worse .. globally because it rises. But it would have taken action immediately rather than to be caught and pushed to the public to wear a face mask again,slightly rise! but hopefully the face mask is imandatory before it gets worse .. globally because it rises. but it would have taken action immediately rather than to be caught and pushed to the public to wear a face mask again
24,DWxIvQlpJK8,can we use this po?,can we use this po?
25,DWxIvQlpJK8,It's a pademic to .. Eat sleep and have a lingo lingo wage,it's a pademic to .. eat sleep and have a lingo lingo wag
26,DWxIvQlpJK8,No comments odd,no comments odd
27,DWxIvQlpJK8,"Permission to use this for my video presentation, thank you!","permission to use this for my video presentation, thank you!"
28,DWxIvQlpJK8,March 2020 = September 1972,march 2020 = september 1972
29,DWxIvQlpJK8,"The sleep is so good, hahaha,","the sleep is so good, hahaha,"
30,DWxIvQlpJK8,Daddy Digs is frustrating,daddy digs is frustr
31,DWxIvQlpJK8,Hope there is part 2 lockdown this 2024,hope there is part 2 lockdown this 2024
32,DWxIvQlpJK8,"Sweet un lock down, Daddy's voice is so sweet that people are looking forward to the lockdown. It means, everyone, Dad Digong's decision, is really salute to FPRRD because he is pressed during pandemic.","sweet un lock down, daddy's voice is so sweet that people are looking forward to the lockdown. it means, everyone, dad digong's decision, is really salute to fprrd because he is pressed during pandemic."
33,DWxIvQlpJK8,Cure.,cure.
34,E5F3xA_zkFc,What's sad is that these are the same people who still vote for corrupt officials.,what's sad is that these are the same people who still vote for corrupt officials.
35,E5F3xA_zkFc,Very good documentary.,very good documentary.
36,E5F3xA_zkFc,Very sad and disturbing.  My prayers are with all the people who are hungry and unemployed.,very sad and disturbing.  my prayers are with all the people who are hungry and unemployed.
37,E5F3xA_zkFc,"Perfect docu , can't believe it's happening now, feels like it happened 20 yrs ago","perfect docu , can't believe it's happening now, feels like it happened 20 yrs ago"
38,E5F3xA_zkFc,This is ridiculous! The country needs to open up to survive.,this is ridiculous! the country needs to open up to survive.
39,E5F3xA_zkFc,"As a Melbournian in Australia, I will not complain again after this.","as a melbournian in australia, i will not complain again after this."
40,E5F3xA_zkFc,"""Those who are just starting to get hungry can wait....""","""those who are just starting to get hungry can wait...."""
41,E5F3xA_zkFc,"Thank god i live in a defiant nation, when state ordered businesses to close down, people collectively showed them middle finger.","thank god i live in a defiant nation, when state ordered businesses to close down, people collectively showed them middle finger."
42,E5F3xA_zkFc,I can't fathom why the rich received any kind of aid.  Corruption is sky high in the Philippines.  May God right the wrong.,i can't fathom why the rich received any kind of aid.  corruption is sky high in the philippines.  may god right the wrong.
43,dIsaz_XlmTw,wow ! GOOD NEWS ! glad we are all safe and there is near zero cases of covid ! 🤗,wow ! good news ! glad we are all safe and there is near zero cases of covid ! 🤗
44,dIsaz_XlmTw,Thanks a Lot/ DOH- Keep all Our Health Well!!!❤😊,thanks a lot/ doh- keep all our health well!!!❤😊
45,dIsaz_XlmTw,Is the covid BS 1 variant still coming,is the covid bs 1 variant still com
46,dIsaz_XlmTw,Hmmm. this could be the triggering pin for the ....,hmmm. this could be the triggering pin for the ....
47,dIsaz_XlmTw,Forget about the covid-19 of the people who are dating 😂,forget about the covid-19 of the people who are dating 😂
48,dIsaz_XlmTw,here we go again,here we go again
49,dIsaz_XlmTw,Since my covid Tito and my uncle has since been very careful with health .. then there is a new variant again. STAY SAFE ALWAYS WEAR FACEMASK,since my covid tito and my uncle has since been very careful with health .. then there is a new variant again. stay safe always wear facemask
50,dIsaz_XlmTw,those who look like money should be removed,those who look like money should be remov
51,dIsaz_XlmTw,That's old,that's old
52,8dTelszbObM,There's always that one person that hides there sickness and risk a whole world.,there's always that one person that hides there sickness and risk a whole world.
53,8dTelszbObM,This sounds serious. Hope they get it under control.,this sounds serious. hope they get it under control.
54,8dTelszbObM,"You can't blame people for being cautious. Especially now when there's no vaccine, cure, etc. Only thing that helps is separation. It's nothing personal.","you can't blame people for being cautious. especially now when there's no vaccine, cure, etc. only thing that helps is separation. it's nothing personal."
55,8dTelszbObM,"0:07 - 20,438 confirmed cases.  How long ago did you film this?","0:07 - 20,438 confirmed cases.  how long ago did you film this?"
56,8dTelszbObM,"My wife is from mainland China. Her friends are from mainland China. We live in California. My wife and her friends are stand away from places they regularly go to that gave large numbers of Chinese. Classes in the evenings and weekends that have mostly Chinese students have less people showing up. Masks are sold out everywhere. Groups on WeChat are coordinating mask purchases from whatever places they find them online, even if expensive. 

I’m not as concerned but am respecting her wishes, I don’t want to cause her extra stress. 

The fear is real. 

You may think it unjustified but it’s not just people who aren’t Asian keeping their distance. Sure, some people are being idiots, especially those making comments around Asian people buy calling people racist and xenophobic doesn’t help. 

Do what you think is right for your family. Don’t let people shame you into not protecting yourself. 

At some point I expect someone to say something to my daughter who is mixed but looks Chinese but I’ve just told her people are scared and when people are scared they sometimes say mean things. It’s not as if she hasn’t heard Chinese people say racist things about other cultures. 

I make sure she knows racism exists and isn’t acceptable. 

To date she gets far more abuse from other Chinese because her Chinese isn’t as good as others. She has been bullied by people from South America in the past. 

To date, she has never told me about being bullied by westerners, she just gets the occasional mean comment which young girls seem to make to each other. 

Racists and mean people come from all races and religions. I’ve heard from the local Chinese community things like Mexicans are stupid, black people are scary, various things about Japanese so let’s not pretend many complaining about racism may also be racist, although they may not see it that way.","my wife is from mainland china. her friends are from mainland china. we live in california. my wife and her friends are stand away from places they regularly go to that gave large numbers of chinese. classes in the evenings and weekends that have mostly chinese students have less people showing up. masks are sold out everywhere. groups on wechat are coordinating mask purchases from whatever places they find them online, even if expensive. 

i’m not as concerned but am respecting her wishes, i don’t want to cause her extra stress. 

the fear is real. 

you may think it unjustified but it’s not just people who aren’t asian keeping their distance. sure, some people are being idiots, especially those making comments around asian people buy calling people racist and xenophobic doesn’t help. 

do what you think is right for your family. don’t let people shame you into not protecting yourself. 

at some point i expect someone to say something to my daughter who is mixed but looks chinese but i’ve just told her people are scared and when people are scared they sometimes say mean things. it’s not as if she hasn’t heard chinese people say racist things about other cultures. 

i make sure she knows racism exists and isn’t acceptable. 

to date she gets far more abuse from other chinese because her chinese isn’t as good as others. she has been bullied by people from south america in the past. 

to date, she has never told me about being bullied by westerners, she just gets the occasional mean comment which young girls seem to make to each other. 

racists and mean people come from all races and religions. i’ve heard from the local chinese community things like mexicans are stupid, black people are scary, various things about japanese so let’s not pretend many complaining about racism may also be racist, although they may not see it that way."
57,8dTelszbObM,"The quarantine didn't start until Jan 23rd. The doctor who recently died at age *34,* reported cases going back to December. This is probably worse than the media is reporting.","the quarantine didn't start until jan 23rd. the doctor who recently died at age *34,* reported cases going back to december. this is probably worse than the media is reporting."
58,8dTelszbObM,I hope this Outbreak will come to an end! Be safe Everyone!,i hope this outbreak will come to an end! be safe everyone!
59,8dTelszbObM,I'm really disappointed with the director - General of the WHO. Every country has the right to ban travel to and from a country to protect it's citizens!!,i'm really disappointed with the director - general of the who. every country has the right to ban travel to and from a country to protect it's citizens!!
60,8dTelszbObM,Leave it to the bbc to make this about racism,leave it to the bbc to make this about rac
61,MQ5aYS4YFlQ,"The poor gets poorer and the rich gets richer, that's how our country works... Even our farmers is not paid fairly...","the poor gets poorer and the rich gets richer, that's how our country works... even our farmers is not paid fairly..."
62,MQ5aYS4YFlQ,"10 children and 13 grandchildren. Sometimes you can influence how you live your life. We are a poor family too, but our lives are much better than a family with 10 children and 13 grandkids.","10 children and 13 grandchildren. sometimes you can influence how you live your life. we are a poor family too, but our lives are much better than a family with 10 children and 13 grandkids."
63,MQ5aYS4YFlQ,Stay strong Philippines. Love from Indonesia.,stay strong philippines. love from indonesia.
64,MQ5aYS4YFlQ,"Even without the pandemic.. many of Filipinos have been starving, and  unemployed","even without the pandemic.. many of filipinos have been starving, and  unemploy"
65,MQ5aYS4YFlQ,Dont be ashamed any of you.  This is not your fault.  Keep fighting to stay alive and.never give up hope no matter what you have to do.  CANADA is with you.,dont be ashamed any of you.  this is not your fault.  keep fighting to stay alive and.never give up hope no matter what you have to do.  canada is with you.
66,CEIrzjA8euQ,"No more health protocol thats why,its a leadership by example","no more health protocol thats why,its a leadership by exampl"
67,3YFpjgIQqEo,Has it been in Bahrain so the diseases were the same time when it was so old that it was so painful when it came to winter,has it been in bahrain so the diseases were the same time when it was so old that it was so painful when it came to wint
68,3YFpjgIQqEo,Season of cough and cold today here in Pinas after our cold in the morning early in the morning until the night hot there are no aircon at home after entering work aircon their body temperature has changed before it does not get sick of cough and cold. .atibp,season of cough and cold today here in pinas after our cold in the morning early in the morning until the night hot there are no aircon at home after entering work aircon their body temperature has changed before it does not get sick of cough and cold. .atibp
69,3YFpjgIQqEo,It is difficult to cure 2_3wks.This is here in Nueva Ecija.,it is difficult to cure 2_3wks.this is here in nueva ecija.
70,3YFpjgIQqEo,Take a ginger drink ..,take a ginger drink ..
71,3YFpjgIQqEo,It's not a joke to say that it's just a cold cold because my brother is the symptom of two hospitals we carry the same covid the outdoors also hard to breathe,it's not a joke to say that it's just a cold cold because my brother is the symptom of two hospitals we carry the same covid the outdoors also hard to breath
