,video_id,comment,polarity,sentiment
0,aLZ85hb4wjE,Loved the calmness of Manilla.,0.7,positive
1,aLZ85hb4wjE,"After this pandemic I think every country should have a lockdown every month to give mother nature a time to heal, with all the pollution that the earth is experiencing.",0.0,neutral
2,aLZ85hb4wjE,manila looks beautiful with less people,0.3416666666666667,positive
3,aLZ85hb4wjE,"The lockdown makes the city look like a place I want to explore.

Before the lockdown, it looked like a crowded mess filled with traffic and pollution.",0.11250000000000002,positive
4,aLZ85hb4wjE,India also same,0.0,neutral
5,aLZ85hb4wjE,"I went up the viewing spot at antipolo, its a very beautiful, almost smog free view of the metro skyline",0.7,positive
6,aLZ85hb4wjE,The president promised that he'll do his best to ease the traffic in the metro like 5mins of travel along EDSA. Fortunately it happened but unfortunately it wasn't in the ideal way. Nature's sense of humor tho.,0.44999999999999996,positive
7,aLZ85hb4wjE,The sad part is people around the world did not intend to heal earth but afraid of death.,-0.55,negative
8,aLZ85hb4wjE,i hope it stays like this forever its beautiful with no messy people,0.475,positive
9,aLZ85hb4wjE,2020 is the year when nature fight back and reduce human emission dramatically.,0.0,neutral
10,sdsz-t540WI,The people of The Philippines are so smart and strong. They endure and work incredibly hard. Much love. Make use of online fundraising campaign sights. People will donate. 💯💗,0.2139880952380952,positive
11,sdsz-t540WI,"If you take out the paychecks of the government officials from the President down to the Barangay level, I bet  these people will be the first one to protest against lockdown.",0.04722222222222221,positive
12,sdsz-t540WI,Hello to my classmates watching because of the documentary veiwing. are you still alive guys?,0.05,positive
13,sdsz-t540WI,Be grateful for those who have a better life. Sometimes life needs to be seen down so that we are always grateful,0.17222222222222222,positive
14,sdsz-t540WI,Module brought me here 🤧🤦,0.0,neutral
15,sdsz-t540WI,"God is our only hope in times like these! I pray for y'all in need, the sick, disabled, y'all that have lost loved ones, may the lord and our saviour meet y'all    at point of need🙏.",-0.0535714285714286,negative
16,sdsz-t540WI,"I thank God, me and my daughter still on job. We don't have much to worry. We never rent a house and pay water bill, just the electric bill.",0.2,positive
17,sdsz-t540WI,Bamboo to those who go due to module,-0.125,negative
18,sdsz-t540WI,I’m curious with all of this going on why the Philippine peso is so strong against the dollar compared to before the pandemic. I would just assume that the patient would lose value based on the devastation to the economy. And yes the USA lost value as well I agree I’m just curious how this is all working out and why,0.07777777777777775,positive
19,sdsz-t540WI,Instead of focusing on the pandemic effect the govt is busy on the closure of a giant network.,0.05,positive
20,sYI97jv-pZg,Cough and cold season now because the weather is cold .... now covid again amg impression,-0.6,negative
21,sYI97jv-pZg,Ala n covid tngina,0.0,neutral
22,pMUumjHY3tw,Just ask me so there is a booster avail on covid ngaun po.,0.0,neutral
