,video_id,polarity,sentiment
0,aLZ85hb4wjE,0.2229166666666666,positive
1,sdsz-t540WI,0.06326388888888887,positive
2,sYI97jv-pZg,-0.3,negative
3,pMUumjHY3tw,-0.05083333333333334,negative
4,DWxIvQlpJK8,0.006944444444444442,positive
5,E5F3xA_zkFc,0.057342098230987126,positive
6,dIsaz_XlmTw,0.0993097643097643,positive
7,8dTelszbObM,0.04780954140710239,positive
8,MQ5aYS4YFlQ,0.2740909090909091,positive
9,CEIrzjA8euQ,-0.25,negative
10,3YFpjgIQqEo,-0.08559441137566137,negative
11,587N9bJ5J5k,0.06799382716049382,positive
12,nTUWK8vufOk,0.11492063492063494,positive
13,lw16DeB6zns,0.19246031746031747,positive
14,Mxf8uGFcqSE,0.16666666666666666,positive
15,cPVE7QGS7As,0.3448080357142857,positive
16,jEINZXA_ujo,0.38513764880952384,positive
17,SEHcakm-fAc,0.1567099567099567,positive
18,c1oU8U05puY,0.16875,positive
19,E56W-5xVOss,0.15738492063492063,positive
20,iOE6rAY8l-k,0.07752525252525252,positive
21,05JLyd58R-w,0.0,neutral
22,2fRQ8OsqOLs,0.07037037037037036,positive
23,RhDHGgo4yZg,-0.09583333333333334,negative
24,oChS6LbuluU,0.0,neutral
25,1psSvU1km0I,0.15870664315108757,positive
26,liEUC1_l8e8,0.09812987012987011,positive
27,o1kPskxFkQ8,0.08233418367346937,positive
28,PP3Yu-ro1tA,0.05595202020202019,positive
29,NQeI1CRCqeo,-0.005577651515151516,negative
30,oy0wHScCPds,-0.06464488636363633,negative
31,7SKGXkZKjV8,-0.18030864197530866,negative
32,LzymJ2xZhho,0.07363945578231292,positive
33,Fd3HcncV6Zk,0.1980952380952381,positive
34,-n9Ks3VTub4,0.04938271604938271,positive
35,MmyIvf7bEGc,0.13287037037037036,positive
36,xV1oR-RbOGU,0.11844503233392123,positive
37,-b0EuuMvvy8,0.05569985569985571,positive
38,-qFcO_onBdA,0.010403025793650784,positive
39,2T3yZ6lNRDg,0.1330625,positive
40,fp9uRsmTWqg,-0.010937499999999989,negative
41,rS15PX2GVbE,0.09325396825396826,positive
42,sH_YoV-NA6s,0.4052604166666667,positive
43,NY6eXjIQr-Y,0.0,neutral
44,zhBdbLj5y6A,-0.029161616161616173,negative
45,3ZXR2eARmuQ,0.5739087301587301,positive
46,HLYSlKY6Ww4,0.2585565476190476,positive
47,57wz3HuIVLA,0.04720819304152637,positive
48,kn6DKdInYXk,-0.1336995496086405,negative
49,lbK7UjoLr8o,0.33333333333333337,positive
50,lczwrm68u6I,0.4734722222222223,positive
51,FJEMcVK0MWI,0.34182539682539687,positive
52,j3E3NF9nk44,0.15464646464646464,positive
53,dj5ov38ihZI,0.29276161193847655,positive
54,Ji47WRv2tQE,-0.02583333333333333,negative
55,ibWFsmcnefk,0.23337878787878794,positive
56,e0fN7HxkIUc,-0.07113756613756614,negative
57,ZLT6L3PHz78,0.02395382395382395,positive
58,6DBFwIlT4fg,-0.040833333333333326,negative
59,SLrKdYsNbSo,-0.1,negative
60,T7c6GvrF82k,-0.3126884920634921,negative
61,2FgFNBIJTIA,0.15360544217687075,positive
62,a3-AiHSyTIU,0.15121284271284272,positive
63,LtW0cTMWdbY,0.20272727272727273,positive
64,BomdsEJjb0E,0.11856150793650792,positive
65,y4qaoHc2ezk,0.2222222222222222,positive
66,HK5rfm4X2G0,-0.041666666666666664,negative
67,oIYI9Ql8p20,0.10999999999999999,positive
68,2VRGUm_wQ0w,0.2832993080152171,positive
69,8w61tigk0ag,-0.05069444444444445,negative
70,6zkba0hNiE8,0.10097736625514403,positive
71,pK6y1h0YgSU,0.27027011183261185,positive
72,XylXJJp4HpE,0.21504629629629632,positive
73,olvSeDFEgUU,-0.03333333333333333,negative
74,Mwpqgw9gMfo,0.2375,positive
75,KzCjAetb3_I,0.3135714285714285,positive
76,N9OQbW0YOLU,0.09642857142857142,positive
77,LLFcBFAuauk,0.04523809523809524,positive
78,I4WXmX_6Zds,0.015370370370370368,positive
79,_DM5L8uu1Do,0.21916666666666665,positive
80,T48EuGS36Zk,0.13831574675324676,positive
81,6p_8T_xmnLQ,0.0910515873015873,positive
82,WTD3l2xovQI,0.4125,positive
83,xWV_GI9hq5U,0.19438888888888886,positive
84,W7Y_YKON-uU,-0.06666666666666667,negative
85,QjJwrWxwLJU,0.047959183673469394,positive
86,EsW0ye2wjUQ,0.0,neutral
87,xqz1KueuzAM,0.015,positive
88,_nlsKDqmNEA,-0.08148148148148149,negative
89,iVM-azf1Akk,-0.05254629629629629,negative
90,rFDK10oplxA,0.11924803591470257,positive
91,D9-CHldoZ74,0.14351851851851852,positive
92,T2JkwAZ8KY8,0.07227272727272725,positive
93,81Fj00CFmJM,0.01458333333333333,positive
94,o96VMbz4Zpk,-0.05,negative
95,gRKL_FUQUpY,0.225,positive
96,I3mkImSqHA0,0.02095959595959597,positive
97,HabzHfgdMNs,0.21499999999999994,positive
98,JT1R95tG9jg,0.043125,positive
99,bA75EnrWM8k,0.12857142857142856,positive
100,D7zMgv16cik,0.14593233975497158,positive
101,hxGssM98TeQ,0.16833333333333333,positive
102,ZaTPlJ8nd9Q,0.2667710437710438,positive
103,5jCZ42fV6sw,0.35694444444444445,positive
104,UWMmesK08TU,0.27847222222222223,positive
105,jQusLZgOYac,0.51,positive
106,jIsXjk3TgkU,0.08416666666666665,positive
107,iOnxb9jrY40,3.469446951953614e-18,positive
108,FIiz8hqXm24,0.07375000000000001,positive
109,XqzQanN4Xx8,0.265,positive
110,DTUckJz0RGo,0.052777777777777785,positive
111,O06AlL8nONo,0.18066468253968254,positive
112,VpyMHOAJ2qc,0.22102272727272726,positive
113,4bub6WOlT-I,0.0652856691919192,positive
114,W8WAKyR5pGA,0.0,neutral
115,bJYGvO6V67A,0.0,neutral
116,ZBO3c3ko0eg,-0.03888888888888889,negative
117,W7n2FoRinVk,0.19188051146384477,positive
118,C-iuGrZR2pQ,0.04880681818181818,positive
119,tq7FyWSGaD4,0.13438605442176874,positive
120,ENk_QRA2XsY,0.18665223665223665,positive
121,Bo24jIb7GA8,0.1023198252364919,positive
122,29LXKUT0eMY,0.010858585858585854,positive
123,-PqXVcMtygc,0.26666666666666666,positive
124,OB0qJwk5yA8,0.16723905723905727,positive
125,sJ0xpruFAwQ,0.15030864197530863,positive
126,UahI0F2ap0Y,0.017750435190911407,positive
127,_quGokF8G0o,0.12566666666666665,positive
128,254GdlKEz5I,0.0,neutral
129,glahrwdA2Co,0.42636093073593073,positive
130,gpj04Vlw5tY,0.048958333333333326,positive
131,5DvMPgoKZmM,0.10034564393939391,positive
132,KJov6aBZy34,0.016666666666666673,positive
133,GUVKWAEO_hY,0.05223232323232323,positive
134,rxfbTVjIGa0,0.12452758881330311,positive
135,27swtQcmfuI,0.06030844155844155,positive
136,Y-xQtgvNuvA,0.19782575757575757,positive
137,aw59h2FNMIQ,0.13472222222222222,positive
138,nO6ieff7WAA,0.08737373737373738,positive
139,M7qPgEDk2JY,0.034393939393939386,positive
140,bQk8M-g2oGI,0.17937973484848482,positive
141,sEjN7muHOLc,0.003703703703703703,positive
142,LWIgEf_TMVU,0.07208193041526376,positive
143,wKXSJf2Lf6I,0.0,neutral
144,PbgCsTxBerQ,0.44249999999999995,positive
145,I_GZCbHrjNY,0.24306818181818182,positive
146,Xjw3N8MFmA0,0.0,neutral
147,Wjj__vIdew0,0.06395833333333334,positive
148,SWAGgKa2mrY,0.063,positive
149,3szV83EglwU,0.08633333333333335,positive
150,MJfGRmF0pMc,0.09314285714285714,positive
151,RBOtpAfaeo4,0.03214285714285715,positive
152,P9CI_HWT0Qo,0.2,positive
153,GT638K0aj6I,0.25839821829405163,positive
154,MVCum6K7cZo,0.0,neutral
155,q_RqD3m217Y,0.051388888888888894,positive
156,NXc44RuolII,0.07027777777777777,positive
157,Jk_fIlDznwI,0.07738095238095237,positive
158,FgFZgZcwUE4,0.1113888888888889,positive
159,_m7hmR6xpfU,0.0,neutral
160,Ym-rqNaGf1w,0.0,neutral
161,LnLA__UFi6c,0.13666666666666666,positive
162,CtUXVVsYuCc,-0.006249999999999999,negative
163,L0RRohlPzOc,0.19649234693877551,positive
164,9ehc2TyH2ak,0.142003367003367,positive
165,MWmIqdwy4Ww,0.04285714285714286,positive
166,lqbQhDHBuNQ,-0.012970370370370373,negative
167,lw0rcwYyiwE,0.054503367003367005,positive
