,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,1883,4182,48734,158,1
1,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,62,8404,183926,29853,312
2,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,62,20600,0,0,0
3,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,0,0,6598,29853,312
4,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,8,643,21242,21682,2116
5,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,0,26,21242,660,18
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,0,148641,5292,32554,6
7,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,0,0,0,32554,0
8,UC83jt4dlz1Gjl58fzQrrKZg,CNA,1,869,19638,231,0
9,UC_gUM8rL-Lrg6O3adPW9K1g,WION,0,820,9070,73,0
10,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,0,56674,9070,269,0
11,UC5664f6TkaeHgwBly50DWZQ,Manila Bulletin Online,0,437,2690,269,0
12,UChLtXXpo4Ge1ReTEboVvTDg,Global News,0,973,102448,427,1
13,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,38,19116,875116,52652,1
14,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,0,0,875116,0,0
15,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,0,872,25751,985,0
16,UCSwwFP8hhA0Spah0ZUKZQVQ,UNICEF USA,1,8311,25751,985,0
17,UCvCZ0jX-J3Z-7jXtWzmv79w,UNICEF Philippines,1,14,125,67,4
18,UCknLrEdhRCp1aegoMqRaCZg,DW News,0,403,0,544,8
19,UCoTrrnpqNOqR_yhrv6KIHiA,FEATR,0,2252,0,0,0
20,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,65,8758,90,285,0
21,UCVSNOxehfALut52NbkfRBaA,Voice of America,28,7177,0,32300,0
22,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,0,88,0,0,0
23,UCpWvshQVx1d7BqCsPnVuNIw,The Star,0,410,90,0,0
24,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,0,1404,15404,94,2
25,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,0,0,0,0,0
26,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,0,0,114,0,0
27,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,0,3590,114,6389,0
28,UCsAueyuPjaPGcSfR3bIBPUg,Philstar News,0,0,12734,23,1
29,UC2-_WWPT_124iN6jiym4fOw,Asian Boss,0,16,6,0,0
30,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,0,1399,354,0,0
31,UCXV-Jt3UPJPstvLVx6A1Z7Q,Kristypata,0,0,0,0,0
32,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,0,0,0,45326,0
33,UCHeFV2atoLtgdKH4iu29orA,Delightful Travellers,0,0,37,45326,0
34,UC4pMugpCikfWueXEV7sr3Mw,Diseases Simplified,0,0,0,0,0
35,UCqgTKnYIeu4DNXGN5fBCY9Q,Bongbong Marcos,0,3857,14,47,0
36,UCNTTTRCsrNvKRW6ywNlIpaw,PIDS,0,0,158,1,37
