,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,https://www.linkedin.com/company/south-china-morning-post/,https://en.wikipedia.org/wiki/South_China_Morning_Post,https://scmp.com,https://twitter.com/scmpnews,https://facebook.com/scmp,https://instagram.com/scmpnews
1,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,https://www.linkedin.com/company/aljazeera,https://en.wikipedia.org/wiki/Al_Jazeera_English,https://www.aljazeera.com/,https://twitter.com/AJEnglish,https://www.facebook.com/aljazeera,https://www.instagram.com/aljazeeraenglish/?hl=en
2,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,https://www.linkedin.com/company/telegraphio,https://en.wikipedia.org/wiki/The_Daily_Telegraph,https://www.telegraph.co.uk/us/,https://twitter.com/telegraph?lang=en,https://www.facebook.com/TELEGRAPH.CO.UK/,https://www.instagram.com/telegraph/?hl=en
3,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,,,https://news.abs-cbn.com/anc,https://twitter.com/ancalerts,https://www.facebook.com/ancalerts,
4,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,https://www.linkedin.com/company/rappler,https://en.wikipedia.org/wiki/Rappler,https://www.rappler.com/,https://twitter.com/rapplerdotcom,https://facebook.com/rapplerdotcom,https://www.instagram.com/rappler/?hl=en
5,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,,,https://www.inquirer.net/,https://twitter.com/inquirerdotnet,https://facebook.com/inquirerdotnet,https://www.instagram.com/inquirerdotnet/?hl=en
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,,https://en.wikipedia.org/wiki/BBC_News,https://www.bbc.com/news,https://twitter.com/BBCWorld,https://facebook.com/bbcworldnews,https://www.instagram.com/bbcnews/?hl=en
7,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,,,https://cna.asia/cnainsider,https://twitter.com/ChannelNewsAsia,https://www.facebook.com/cnainsider,https://www.instagram.com/cnainsider
8,UC83jt4dlz1Gjl58fzQrrKZg,CNA,,https://en.wikipedia.org/wiki/CNA,https://www.cna.com/,https://www.twitter.com/channelnewsasia,https://www.facebook.com/channelnewsasia,https://www.instagram.com/channelnewsasia
9,UC_gUM8rL-Lrg6O3adPW9K1g,WION,,https://en.wikipedia.org/wiki/WION,https://www.wionews.com,https://twitter.com/WIONews,https://www.facebook.com/WIONews,https://www.instagram.com/WIONews/
10,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,,https://en.wikipedia.org/wiki/ABS-CBN,https://news.abs-cbn.com,https://twitter.com/abscbnnews,https://www.facebook.com/abscbnNEWS,https://www.instagram.com/abscbnnews
11,UC5664f6TkaeHgwBly50DWZQ,Manila Bulletin Online,https://linkedin.com/company/manilabulletinpublishing,https://en.wikipedia.org/wiki/Manila_Bulletin,https://www.thelonerider.com/2008/sep/manilabulletin_burningman/manilabulletin_burningman.shtml,https://twitter.com/manilabulletin,https://facebook.com/manilabulletin,https://www.instagram.com/manilabulletin/
12,UChLtXXpo4Ge1ReTEboVvTDg,Global News,https://www.linkedin.com/company/global-television,https://en.wikipedia.org/wiki/Global_News,https://globalnews.ca/,https://twitter.com/globalnews,https://facebook.com/globalnews,https://www.instagram.com/globalnews/?hl=en
13,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,https://www.linkedin.com/company/reuters2,https://en.wikipedia.org/wiki/Reuters,https://www.reuters.com/,https://twitter.com/Reuters,https://www.facebook.com/Reuters,https://www.instagram.com/reuters
14,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,,,https://www.facebook.com/UNTVNewsRescue/,https://www.twitter.com/untvnewsrescue,https://www.facebook.com/UNTVNewsRescue,https://www.instagram.com/untvnewsrescue/?hl=en
15,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,,https://en.wikipedia.org/wiki/Today,https://on.today.com/ReadTODAY,https://twitter.com/todayshow,https://facebook.com/today,https://www.instagram.com/todayshow/?hl=en
16,UCSwwFP8hhA0Spah0ZUKZQVQ,UNICEF USA,https://linkedin.com/company/u.s.-fund-for-unicef,https://en.wikipedia.org/wiki/UNICEF,https://www.unicefusa.org/,https://twitter.com/unicefusa,https://facebook.com/UNICEF,https://www.instagram.com/unicefusa/
17,UCvCZ0jX-J3Z-7jXtWzmv79w,UNICEF Philippines,https://www.linkedin.com/company/unicef-philippines/,https://en.wikipedia.org/wiki/UNICEF_Philippines,https://www.unicef.org/philippines/,https://twitter.com/unicefphils,https://facebook.com/unicefphilippines,https://www.instagram.com/unicefphils/?hl=en
18,UCknLrEdhRCp1aegoMqRaCZg,DW News,,https://en.wikipedia.org/wiki/DW_News,https://www.dw.com/en/dw-news/program-262267,https://twitter.com/dwnews,https://www.facebook.com/deutschewellenews,https://www.instagram.com/dwnews
19,UCoTrrnpqNOqR_yhrv6KIHiA,FEATR,,https://en.wikipedia.org/wiki/Fear,https://featrmedia.com/,https://twitter.com/erwanheussaff,https://facebook.com/erwanheussaffofficial,https://instagram.com/erwan
20,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,https://www.linkedin.com/company/france-24,https://en.wikipedia.org/wiki/France_24,https://www.france24.com/en/live,https://twitter.com/France24_en,https://www.facebook.com/FRANCE24,https://www.instagram.com/france24_en/?hl=en
21,UCVSNOxehfALut52NbkfRBaA,Voice of America,https://www.linkedin.com/company/voice-of-america,https://en.wikipedia.org/wiki/Voice_of_America,https://www.voanews.com/,https://twitter.com/VOANews,https://facebook.com/VOANews,https://www.instagram.com/voanews/?hl=en
22,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,,https://en.wikipedia.org/wiki/GMA_Integrated_News,https://www.videoageinternational.net/2022/11/18/news/gma-launches-gma-integrated-news/,https://twitter.com/gmanews,https://facebook.com/gmanews,https://instagram.com/gmanews
23,UCpWvshQVx1d7BqCsPnVuNIw,The Star,https://www.linkedin.com/company/the-star-in-frisco,https://en.wikipedia.org/wiki/The_Star_(2017_film),https://www.thestarinfrisco.com/,https://twitter.com/staronline?lang=en,https://www.facebook.com/sheffieldstar/,https://www.instagram.com/thestarinfrisco/
24,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,,https://en.wikipedia.org/wiki/The_Straits_Times,https://www.straitstimes.com/,https://www.twitter.com/STcom,https://www.facebook.com/TheStraitsTimes,https://www.instagram.com/straits_times
25,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,https://linkedin.com/in/wessamatif,,,,,
26,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,,,https://tvup.ph/,https://twitter.com/tvupph,https://facebook.com/tvup,
