,video_id,backlinks
0,aLZ85hb4wjE,4
1,sdsz-t540WI,4
2,qERZgLv3MKg,4
3,sYI97jv-pZg,1
4,pMUumjHY3tw,1
5,DWxIvQlpJK8,0
6,E5F3xA_zkFc,0
7,dIsaz_XlmTw,1
8,8dTelszbObM,1
9,MQ5aYS4YFlQ,11
10,CEIrzjA8euQ,11
11,3YFpjgIQqEo,0
12,587N9bJ5J5k,0
13,nTUWK8vufOk,17
14,lw16DeB6zns,17
15,Mxf8uGFcqSE,1
16,cPVE7QGS7As,1
17,jEINZXA_ujo,1
18,SEHcakm-fAc,1
19,c1oU8U05puY,2
20,E56W-5xVOss,2
21,iOE6rAY8l-k,10
22,05JLyd58R-w,10
23,2fRQ8OsqOLs,1
24,RhDHGgo4yZg,1
25,oChS6LbuluU,0
26,1psSvU1km0I,0
27,liEUC1_l8e8,17
28,o1kPskxFkQ8,17
29,PP3Yu-ro1tA,0
30,wJKPv-XmArQ,0
31,NQeI1CRCqeo,0
32,oy0wHScCPds,0
33,7SKGXkZKjV8,0
34,LzymJ2xZhho,0
35,CM_3Vn3ksr8,0
36,Fd3HcncV6Zk,0
37,-n9Ks3VTub4,1
38,MmyIvf7bEGc,1
39,xV1oR-RbOGU,19
40,-b0EuuMvvy8,19
41,-qFcO_onBdA,1
42,2T3yZ6lNRDg,1
43,fp9uRsmTWqg,25
44,rS15PX2GVbE,25
45,sH_YoV-NA6s,0
46,yBNSwAVSei8,0
47,NY6eXjIQr-Y,0
48,zhBdbLj5y6A,0
49,3ZXR2eARmuQ,1
50,HLYSlKY6Ww4,1
51,57wz3HuIVLA,1
52,kn6DKdInYXk,2
53,lbK7UjoLr8o,2
54,lczwrm68u6I,25
55,FJEMcVK0MWI,25
56,j3E3NF9nk44,0
57,dj5ov38ihZI,0
58,Ji47WRv2tQE,3
59,ibWFsmcnefk,3
60,e0fN7HxkIUc,0
61,cshl1Gzj2Z0,0
62,ZLT6L3PHz78,0
63,6DBFwIlT4fg,0
64,SLrKdYsNbSo,0
65,T7c6GvrF82k,0
66,2FgFNBIJTIA,42
67,a3-AiHSyTIU,42
68,LtW0cTMWdbY,0
69,hlh47Rfs6ZY,0
70,BomdsEJjb0E,31
71,y4qaoHc2ezk,31
72,HK5rfm4X2G0,24
73,oIYI9Ql8p20,24
74,2VRGUm_wQ0w,25
75,8w61tigk0ag,25
76,6zkba0hNiE8,4
77,pK6y1h0YgSU,4
78,XylXJJp4HpE,19
79,olvSeDFEgUU,19
80,Mwpqgw9gMfo,0
81,7rnt8xEoD90,0
82,KzCjAetb3_I,0
83,N9OQbW0YOLU,0
84,LLFcBFAuauk,1
85,I4WXmX_6Zds,1
86,_DM5L8uu1Do,4
87,T48EuGS36Zk,4
88,MDgNpNsxPBA,1
89,6p_8T_xmnLQ,1
90,WTD3l2xovQI,32
91,xWV_GI9hq5U,32
92,W7Y_YKON-uU,0
93,RoBc8unztLs,0
94,QjJwrWxwLJU,0
95,EsW0ye2wjUQ,0
96,xqz1KueuzAM,0
97,_nlsKDqmNEA,0
98,iVM-azf1Akk,0
99,rFDK10oplxA,0
100,D9-CHldoZ74,0
101,T2JkwAZ8KY8,0
102,WoplbWxNnKM,0
103,81Fj00CFmJM,0
104,ks74TLQjHWw,1
105,o96VMbz4Zpk,1
106,gRKL_FUQUpY,0
107,I3mkImSqHA0,0
108,HabzHfgdMNs,0
109,JT1R95tG9jg,0
110,bA75EnrWM8k,0
111,D7zMgv16cik,0
112,hxGssM98TeQ,0
113,ZaTPlJ8nd9Q,0
114,5jCZ42fV6sw,0
115,UWMmesK08TU,0
116,r6pVw9jYkgs,0
117,jQusLZgOYac,0
118,jIsXjk3TgkU,0
119,lLKhWNWAUIU,0
120,iOnxb9jrY40,0
121,FIiz8hqXm24,0
122,XqzQanN4Xx8,56
123,DTUckJz0RGo,56
124,O06AlL8nONo,0
125,VpyMHOAJ2qc,0
126,4bub6WOlT-I,49
127,W8WAKyR5pGA,49
128,bJYGvO6V67A,0
129,ZBO3c3ko0eg,0
130,W7n2FoRinVk,0
131,C-iuGrZR2pQ,0
132,tq7FyWSGaD4,0
133,ENk_QRA2XsY,0
134,Bo24jIb7GA8,0
135,29LXKUT0eMY,0
136,-PqXVcMtygc,0
137,OB0qJwk5yA8,0
138,sJ0xpruFAwQ,26
139,UahI0F2ap0Y,26
140,_quGokF8G0o,0
141,254GdlKEz5I,0
142,glahrwdA2Co,4
143,gpj04Vlw5tY,4
144,5DvMPgoKZmM,0
145,CDnKiMNokPo,0
146,KJov6aBZy34,0
147,GUVKWAEO_hY,0
148,rxfbTVjIGa0,0
149,27swtQcmfuI,0
150,Y-xQtgvNuvA,0
151,aw59h2FNMIQ,0
152,nO6ieff7WAA,2
153,M7qPgEDk2JY,0
154,bQk8M-g2oGI,0
155,Yb4Ja62zJrY,0
156,sEjN7muHOLc,1
157,LWIgEf_TMVU,1
158,wKXSJf2Lf6I,0
159,PbgCsTxBerQ,0
160,I_GZCbHrjNY,0
161,Xjw3N8MFmA0,0
162,HGIigL_Yj78,0
163,E8Drx2Sur_M,0
164,Wjj__vIdew0,0
165,SWAGgKa2mrY,0
166,3szV83EglwU,2
167,MJfGRmF0pMc,0
168,ZBwt4zV7nbs,0
169,RBOtpAfaeo4,2
170,P9CI_HWT0Qo,2
171,GT638K0aj6I,0
172,KlPg9WaMvcc,0
173,ETMwYGc3kt4,0
174,MVCum6K7cZo,0
175,OiH0OA54n3w,1
176,q_RqD3m217Y,1
177,MvNEP33fohQ,0
178,NXc44RuolII,0
179,Jk_fIlDznwI,0
180,FgFZgZcwUE4,0
181,_m7hmR6xpfU,1
182,990IOOZsLNo,1
183,Ym-rqNaGf1w,0
184,LnLA__UFi6c,0
185,CtUXVVsYuCc,0
186,iNDOUo6Sw7Y,0
187,L0RRohlPzOc,0
188,9ehc2TyH2ak,0
189,MWmIqdwy4Ww,0
190,lqbQhDHBuNQ,0
191,g_6Rj6cPfOs,1
192,eUxXjKan0Yg,1
193,lw0rcwYyiwE,0
