,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
0,UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,16100000,163854,https://yt3.ggpht.com/NgkpAIsG4fnccX3MZhf0QBEM6BfhEFWqtAy7pemADm7lgUsqEXDhVJ6-LGMr5UDzxhOGPFvL2Q=s240-c-k-c0x00ffffff-no-rj
1,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,2006-09-19,2330000,99682,https://yt3.ggpht.com/tYiFjX4l-162Vaqp54ifxR6lN0UCWoPrN6u8YsrEqmI0TKK3-KAfhnVMSn0M5QyE6DNgqkN0KQ=s240-c-k-c0x00ffffff-no-rj
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8530000,140808,https://yt3.ggpht.com/qAT9Q4vljFVtZsK1cZ4Ph33X2ysCGZSV4fVaKhNghbe-OTbxqj_UQ78zbpt5t9b5fQKACS3Z=s240-c-k-c0x00ffffff-no-rj
3,UCLpPdayeUfDyh6jg3oN-GIg,Dr. Jen Caudle,2014-10-09,260000,2318,https://yt3.ggpht.com/ytc/AIdro_lRghkMBt5Dw66K2uNGVEQoTHIWw7cSeM5CzslgDg=s240-c-k-c0x00ffffff-no-rj
4,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,2009-09-04,2090000,34396,https://yt3.ggpht.com/KTHUZNQzXip9LiJjaZU8tB_gQYRmggPDm0npT-vYQ9Fgo2zLaEIuh2u8t2MUxFSz6WkipXNa=s240-c-k-c0x00ffffff-no-rj
5,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,2006-07-05,3210000,16598,https://yt3.ggpht.com/ytc/AIdro_kaTMrqEmXYWjc_awEW6eiChbiNtRYcB_lnx0zByyI=s240-c-k-c0x00ffffff-no-rj
6,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,2007-05-10,3050000,2570,https://yt3.ggpht.com/ytc/AIdro_lZIuWpKcGKD_p8YPxlQ5fGEuLvGBuhbTD1-tnhJA=s240-c-k-c0x00ffffff-no-rj
7,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,2017-05-03,1850000,63295,https://yt3.ggpht.com/ytc/AIdro_kJAJADDilv9cAmyLgwZHz85CEjeUt3jN4iYcL7rA=s240-c-k-c0x00ffffff-no-rj
8,UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,2020-05-06,1170000,48755,https://yt3.ggpht.com/WhC1oycyrx_oXiMM1EeRZm6sWBA1ciHeyeuIkQuDuK2aeQBbLIkfshKIHJuUjD7d1w-gq4AqlyU=s240-c-k-c0x00ffffff-no-rj
9,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,2016-01-17,632000,684,https://yt3.ggpht.com/tokv0pq1n8Rr-5yaT4wNrI1tcpyMW8XGMA9eWdMBnGV1A7yMKqSYRtBQhy3wwoTfuWUW0qupZGc=s240-c-k-c0x00ffffff-no-rj
10,UCShOERdmAnqqizmgm6LN10g,Dr Danish Salim's Dr D Better Life,2019-10-06,1170000,1655,https://yt3.ggpht.com/OTeVrhBf3byA2ofSUO1vbhzbB0XAmBpm6Rgm85xO6OUVmW3PoPQ0Siy5UJbuRJC16PGImImvm34=s240-c-k-c0x00ffffff-no-rj
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,2006-07-21,1640000,51106,https://yt3.ggpht.com/ytc/AIdro_kMW6FHzah8o6yxShMgk8R-FVjE0WKBeZHjq1Sa9A=s240-c-k-c0x00ffffff-no-rj
12,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),2008-06-09,1980000,86281,https://yt3.ggpht.com/ytc/AIdro_m7zcZOVeE8s053sXbnBeLS7K_TB0CczKivBd7Xug=s240-c-k-c0x00ffffff-no-rj
