,video_id,comment
0,2IXl4qJGrRk,That is one Guiness Book of records that will never fall.
1,2IXl4qJGrRk,He's now the strongest man in the world.
2,2IXl4qJGrRk,He got more vaccines than all Texans together!
3,2IXl4qJGrRk,"The researchers analyzed his blood chemistries, which showed no abnormalities linked to his hypervaccination. They also looked at various markers to evaluate how his adaptive immune system was functioning, according to the study.

The adaptive immune system is the subsection of the immune system that learns to recognize and respond to specific pathogens when you encounter them throughout your life, Miller said. There are two main cell types in the adaptive immune system, T cells and B cells.

In chronic diseases, such as HIV and hepatitis B, immune cells can become fatigued from frequent exposure to the pathogen and lose the ability to combat it effectively, Schober said. Hypervaccination, in theory, could have a similar effect.

However, that’s not what the researchers found. Hypervaccination in this case increased the quantity (the number of T cells and B cell products) but did not affect the quality of the adaptive immune system, according to the study.

In total, the man got eight vaccine formulations, including mRNA vaccines from Pfizer/BioNTech and Moderna, a vector-based vaccine from Johnson & Johnson and a recombinant-protein vaccine from Sanofi.

While very interesting from a scientific perspective, individual case studies like this must always be taken with a grain of salt, Miller said. Public health recommendations, which are based on very large, randomized control trials, are what people should look to for guidance, she added.

The US Centers for Disease Control and Prevention recommends Covid vaccination for everyone ages 6 months or older in the United States, following the vaccination schedules outlined on its website. Last week, the CDC updated its guidance to recommend an additional dose of the current Covid vaccine for people 65 and older.

Less than a quarter of adults and only 13% of children in the US have gotten the most recently recommended Covid vaccine, according to CDC data.

Covid hasn’t disappeared, and neither have vaccination conspiracy theories.

CDC drops 5-day isolation guidance for Covid-19, moving away from key strategy to quell infections"
4,2IXl4qJGrRk,this man is more vaccine than he is human
5,2IXl4qJGrRk,That’s the difference between Germany and America: man receives 217 Covid shots vs man gives 217 gunshots.
6,2IXl4qJGrRk,I would love to hear the response from vaccine sceptics who predicted the end of time for people who accepted one vaccine!
7,2IXl4qJGrRk,Doesn't he know you need 218 vaccinations to be really protected. 😂 🐑
8,2IXl4qJGrRk,There are two factors helping your immunity with a vaccine. Temporary heightened immune response to all infections and later an immune response to the specific infectious agent.
9,2IXl4qJGrRk,"Wow, this dude’s 5g signal must be off the charts!"
10,HtTalpY-J-M,It's good to know the vaccine is safe to use.
11,HtTalpY-J-M,Strange kink. Though not gonna judge him for it.
12,HtTalpY-J-M,"no proof, no identity, just words."
13,HtTalpY-J-M,"In todays late news..He exploded 3 minutes after this footage was doctored...err, filmed."
14,HtTalpY-J-M,Wasn't this video supposed to be posted on April Fools Day?
15,HtTalpY-J-M,So this how we were making sure there's enough vaccines for third world countries.
16,HtTalpY-J-M,😂😂😂😂 I can't stop laughing . Tell me more. That's what fear does to ya!
17,HtTalpY-J-M,Oh god !! How can it be possible??
18,HtTalpY-J-M,"AND THE DOCTORS WOULD ALLOW HIM TO DO THAT??? 
PLEEEZE...B.S"
19,HtTalpY-J-M,So one example is the base for leftist science now?
20,jPs4_MeuX7U,"I love being a conspiracy theorist.  Maligned, slandered, hated....but still right 😎"
21,jPs4_MeuX7U,Politicians who pushed these injections should and must be held to account
22,jPs4_MeuX7U,"Just disregard the word ""rare"" because all of my vaxxed patients are injured and suffering."
