,channel_id,channel_name,channel_dop,sub_count,total_videos
0,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,2017-05-03,1830000,62804
1,UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,2021-02-21,1190000,58956
2,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,2016-01-17,631000,678
3,UCaZ2jG4qd1vY-Tkwiq9FBlw,Rich Black Guy,2018-06-06,5210000,116
4,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8500000,138628
5,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,2007-05-10,3040000,2559
6,UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,2020-05-06,1160000,48143
7,UCL3kHlUwZr0fXFODgfGVp2A,FOX23 News Tulsa,2014-04-01,43500,5679
8,UCm4XHDoKJx-H8f724Js5f2Q,Malcolm Roberts,2016-10-16,44200,1399
9,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,2009-09-04,2070000,34241
10,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,2012-05-28,10500000,481
11,UCWCEYVwSqr7Epo6sSCfUgiw,MIRROR NOW,2015-10-06,779000,76138
12,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,2006-07-21,1630000,51836
13,UCXVcNr1VztNcc0YVTJAmpKw,CBS Detroit,2017-02-22,16800,11407
14,UC_YFbvKedjnVjqrZqBR4L8Q,News4JAX The Local Station,2017-07-03,435000,81354
15,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,2007-03-01,3130000,49972
16,UCCj956IF62FbT7Gouszaj9w,BBC,2005-11-12,14100000,18332
17,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20788
18,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,2007-04-04,654000,45870
19,UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,2015-10-21,22800000,181150
20,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,2017-02-09,213000,349
21,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,2006-03-10,168000,431
22,UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,9690000,61565
23,UCBu0KdNokE4MqdkacvH37_A,WFAA,2006-12-07,1560000,58199
24,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,2011-12-01,6500000,78603
25,UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight,2014-03-18,9360000,431
26,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,2014-09-09,1910000,30985
27,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,2006-09-20,19200000,6708
28,UCc-Yj3lMj3s_n1tqcGIzQ6g,Dr Karan,2012-03-03,2070000,1252
29,UCG5KB3yJEvWS9tal134vPQg,Nutshell,2019-11-19,294000,771
30,UCvAnclelY8eSq8GyPE19KTw,The National Desk,2016-04-28,127000,7368
31,UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,2012-03-26,1550000,522
32,UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,2016-08-19,11700000,778
33,UC-bqVtuVe9Yq4ujIG8cqIMQ,Vaccine Makers Project,2017-07-27,32600,45
34,UC9HQXWbt14wTdr_Tzc8ZE0A,Doctor Youn,2007-03-24,5050000,1704
35,UCmKKVuZrBfSGiuvtOuipoDA,NBC Bay Area,2011-11-23,245000,13975
36,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,2006-06-12,7390000,44632
37,UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,16000000,163628
38,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,2018-02-28,1610000,31835
39,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,2007-01-02,3770000,2223
40,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5030000,33282
41,UCJMC-44oT9l97ra5iemDPiA,The Spectator,2013-09-12,334000,1323
42,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,2009-11-30,3950000,48670
43,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,2012-03-17,5040000,430
44,UCzznO4xSV8BKnUBPyswtCUw,Arirang News,2009-06-22,672000,150134
45,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,2018-10-03,1140000,330
