,video_id,comment
0,im3otpqYAiQ,"Remember when FJB said “If you get the shot, you WONT get Covid” ? 🤣😂🤣…how is that ‘revelation’ aging ?🥴"
1,im3otpqYAiQ,"""knew it all along"" Jason GALE, Bloomberg News.

Family must be so proud.

We need to start arresting these criminals for their lies."
2,im3otpqYAiQ,Not like Bloomberg to show this😊 the truths coming out
3,im3otpqYAiQ,"""...linked to SMALL increases in neurological, blood, and heart-related conditions""  ""knew it all along""  sounds like the Overton window is shifting 🙄"
4,im3otpqYAiQ,We knew from the beginning…..that explains “safe and effective “…….
5,im3otpqYAiQ,"If one wears a face mask, they can almost always not get sick from respiratory illnesses including the seasonal flu. From airplanes to vaccines, accelerated approval always begs questions: Is there an alternative solution? Does it minimize disruption or prevent an extinction level event? Who will benefit economically?"
6,im3otpqYAiQ,"""normal"", ""not surprising"", yes normal and not surprising for gross negligence"
7,im3otpqYAiQ,Such misinformation … “nothing to see here as we knew all about these side effects from the beginning
8,im3otpqYAiQ,Anyone else or company would be fined and imprisoned. Where’s our justice? Had pericarditis same night I took moderna and it’s never went away completely.
9,im3otpqYAiQ,Ohhh its reassuring lol this guy says this with a straight face……
10,uiwjAj0zfKQ,"""Why be immune, when you can be invincible""
Sounds like a Thanos quote."
11,uiwjAj0zfKQ,"“He has superpowers but he surely has to have a weakness.”

*Dies of heart failure*"
12,uiwjAj0zfKQ,"Haha ""but sir you only need 2"" that line aged well"
13,uiwjAj0zfKQ,See why cant we have commercials like this
14,uiwjAj0zfKQ,"""Arthritis, pericarditis, Bell Palsy, Dementia, and Nausea."" All 5 pieces of Exodia."
15,uiwjAj0zfKQ,"""Why be immune when you can be... ahhhck""

*died suddenly*"
16,uiwjAj0zfKQ,"Why be immune... when you can be invincible?

Perfect villain quote"
17,uiwjAj0zfKQ,I love the guard giving commands in Spanish.
18,uiwjAj0zfKQ,Hearts attack: incoming
19,uiwjAj0zfKQ,"""Some sketchy off brand company"""
20,LfmhYVCCGhc,"""I'm just some idiot who tells jokes for a living. Nobody should listen to me."" -Joe Rogan"
21,LfmhYVCCGhc,Dr Campbell here in the UK started off being in favour of blanket vaccination.  He changed.  Study from Australia - myocarditis and pericarditis went up by 65% after vaccination.      This was before covid actually entered Australia.    I'm super happy if you think the vaccine is great and suggest you keep on taking them.
22,LfmhYVCCGhc,"If you completely ignore VAERS and every other database worldwide and live in an alternative reality, then yeah, these covid injections are the best and safest vaccinations ever."
23,LfmhYVCCGhc,How much are you getting paid to toe the state line?
24,LfmhYVCCGhc,"I did the moderna vaccine twice and had chest pain and breathing symptoms for almost a year. My mom was working, very active and independent, had a stroke several months after the vaccine. The research evidence is overwhelming that there are risks to vaccines, and the historical record is undeniable that the risks were underplayed or dismissed."
25,LfmhYVCCGhc,Do you know why Rogan said this? Because a lot of vaccinated people died suddenly after they had a covid vaccine.
26,LfmhYVCCGhc,I’m 72 and have every vaccine available.  I’m FINE
27,LfmhYVCCGhc,"Some young people did actually die from the Astra Zeneca vaccine. It caused blood clotting that led to heart and brain issues. In Australia, young people had to sign a waiver before choosing to take that particular brand."
28,LfmhYVCCGhc,It's crazy how many people drank coffee and then died suddenly
29,LfmhYVCCGhc,No recourse with vaxx companies should tell us something
30,SU_SSfiYtfM,"i love the phrase ""fall arsenal,"" like it's a seasonal fashion collection of vaccinations"
31,SU_SSfiYtfM,The only place i get my news bc it doesn’t make me sad :)
32,SU_SSfiYtfM,"I love how the flu vaccine was standard here.

We have come so far as a species."
33,SU_SSfiYtfM,You will be held accountable for crimes against humanity
34,SU_SSfiYtfM,Cried with relief that an RSV vaccine is approved! It's no joke. Staying in a crowded ICU with a brand new newborn is awful. But now that doesn't have to happen! 🙌
35,SU_SSfiYtfM,I still haven’t gotten any Covid Vaccines
36,SU_SSfiYtfM,Lol!  Safe and effective!
37,SU_SSfiYtfM,"God can’t wait for my 2,376th booster shot 😃"
38,SU_SSfiYtfM,"“Omg the new Myocarditis 3.0 is here!  Better get my 8th booster

*strokes out and dies*"
39,SU_SSfiYtfM,Brought to You by Pfizer!
40,7MAlEYqWUTk,"I wanna see this guy make 
""Bad news you have a rare disease""
""How rare?""
""You get to name it."""
41,7MAlEYqWUTk,Been over a year since this was made and people are still malding
42,7MAlEYqWUTk,I had the omicron variant after I didn’t get my booster and ended up in hospital. I had “super covid” where it lingered after the 2 week period and it actually made my asthma escalate so now I have to have 2 inhalers
43,7MAlEYqWUTk,"That last line though... ""You're looking for random facts to support the conclusion you've already drawn, rather than drawing a conclusion from the available facts."""
44,7MAlEYqWUTk,"Just remember folks we don't have a healthcare system, we have a pharmaceutical industry."
45,7MAlEYqWUTk,You would need at least 4 boosters a year that’s been shown to have a multiplicative risk for life long consequences that’s the part that gets me concerned
46,7MAlEYqWUTk,"Until they drop a battle pass for Covid, I’m not dealing with this seasonal new variant BS. Worst game of Plague inc ever"
47,7MAlEYqWUTk,Why did they request the side effect report be held for 50 years? That’s weird
48,7MAlEYqWUTk,"“The hepatitis vaccine requires 2 boosters” NOT EVERY SIX MONTHS, DUDE 😂😂"
49,7MAlEYqWUTk,"Man: Well my chance of dying is like 0.0003%
Dr: I wouldnt be sure about that. *pulls out gun*"
50,8oHP5tmCUZU,20 years in the army and 14 of those in SF and my refusal to get the jab is what took me out of the military. Smdh.
51,8oHP5tmCUZU,Contractor on the east coast here- what he said about corralling sailors and harassing them about the shot is absolutely TRUE. They relieved officers of command and told pregnant sailors they don’t actually know what it does to the baby. Utterly disgusting how the OICs rolled over on their sailors with legit concerns.
52,8oHP5tmCUZU,Never forget or forgive what they did to us .
53,8oHP5tmCUZU,When the Navy Seals realize they've been serving under Nazis.
54,8oHP5tmCUZU,"This has been the case for awhile. In 2002 we were forced to start anthrax and small pox vaccines. We didn't feel good about it but had to have atleast 3 shots before deployment and the remainder overseas. The guys that refused it not only seperated under dishonorable but were sent to the brig. Not sure of the specifics, but i heard of a few officers at lejuene refused and given the shaft  quick. Guess they didnt wanna let marines see officers reject it and follow as we were getting prepped for war. What makes me mad is i had 5 shots before we left, while doing a predeployment medical screening a week out. Corpsman came back anf told a handful of us we only recieved 3 shots. Crazy because we all went as a platoon and did it together. My Gunny argued with them, but because we didn't have it in the record, we ended up getting 1 more that day and 1 a few weeks later. Then the second small pox dose and malaria pills overseas also"
55,8oHP5tmCUZU,"I respect this man for actually standing for his beliefs. I know a lot of my coworkers said they wouldn't take it, but when it came to time, they bent their knees so fast I was shocked. I didn't take it and one other coworker on my shift. It taught me a valuable lesson on who I could trust and depend on"
56,8oHP5tmCUZU,My father fought in WWII.  I served in the Army from 88-94.  My son is now 16 and yesterday I told him I don’t want him to join the military.  The current military is not the one my father and i served.  My son will not fight for a group of people that don’t care about its soldiers/sailors.  He asked me what a draft.  I told him we would cross that bridge if/when we get to it.  I don’t want my son to be in the service and then have to face American citizens if ordered to treat them as the enemy.
57,8oHP5tmCUZU,They better never question why people don’t want to join! NEVER
58,8oHP5tmCUZU,Imagine starting wars while simultaneously alienating a whole generation of GWOT vets
59,8oHP5tmCUZU,The biggest injustice ever in our country’s history. Thank you for your service 🇺🇸
60,t1fboB1YdEQ,ARE YOU GOING TO REPORT THAT THE US IS STILL PAYING AND SUPPORTING THE CHINEESE RESEARCH?
61,t1fboB1YdEQ,"Call it what you like. It’s a bio weapon, just like the first one. Period."
62,t1fboB1YdEQ,If you ever doubted that the original strain was created in a lab then this is your wake up call.
63,t1fboB1YdEQ,"We followed the science and it simply wasn't there, we then followed the money and found the science."
64,t1fboB1YdEQ,Guess RFK was right about warning us about bio weapons all along.
65,t1fboB1YdEQ,This is crimes against humanity!!! What can we do???
66,t1fboB1YdEQ,"It should be illegal in every country to do this types of ""research"""
67,t1fboB1YdEQ,Insane that this isn't being stopped and in fact has arguably been accelerated since the start of the pandemic. People continuing this gain of function research around the world are playing with all of our lives.
68,t1fboB1YdEQ,"Let's get to the bottom of this!  Quick Robby, get the facts from Dr. Fauci again!
No shame."
69,t1fboB1YdEQ,This is crimes against humanity!! Charges should be brought !!
70,mkZ1MabMEZw,This must have taken forever to grow that beard and film.
71,mkZ1MabMEZw,"Pfizer before covid: $60 billion in profit
Pfizer after covid: $122 billion in profit"
72,mkZ1MabMEZw,"Sure wish doctors were this passionate about getting people off junk food, alcohol, and cigarettes."
73,mkZ1MabMEZw,Favorite VAERS factoid is how one entry says a vaccine turned the recipient into the incredible hulk.
74,mkZ1MabMEZw,Would love to hear your take in a Nuremberg trial setting.
75,mkZ1MabMEZw,My friend died the day after she had the HPV vaccine and there was nothing wrong before
76,mkZ1MabMEZw,"My dad had a bad reaction and then collapsed 48 hours after receiving the booster. 
Cluster of skull fractures, bleeding in the brain, seizure upon arrival at the hospital, flown by helicopter to different hospital where he remained for 1 1/2 months. 
He’s now using a walker, trying to get back on his feet. His memory and general mental condition is coming back well, but he’s still messed up.. He’s 67 years old, had no serious health issues his entire life, was on no medications, a runner that was doing 6+ mile runs 2-3 times a week. Ran the NY marathon when he was younger."
77,mkZ1MabMEZw,"Since most VAERS entries are entered by doctors or pharmacists, we can conclude the entries are accurate.  Since it takes nearly an hour to complete a VAERS report, we can also conclude the VAERS data is a small proportion of the actual events since most doctors will not spend the time to report."
78,mkZ1MabMEZw,You should also say that most doctors didn’t even KNOW about this site and are being bullied/fired for bringing up red flags about this.
79,mkZ1MabMEZw,"""So you're saying popsicles kill people?""
""Can I have one?""

Mood"
