,video_id,comment,comment_cleaned
0,2IXl4qJGrRk,That is one Guiness Book of records that will never fall.,that is one guiness book of records that will never fall.
1,2IXl4qJGrRk,He's now the strongest man in the world.,he's now the strongest man in the world.
2,2IXl4qJGrRk,He got more vaccines than all Texans together!,he got more vaccines than all texans together!
4,2IXl4qJGrRk,this man is more vaccine than he is human,this man is more vaccine than he is human
5,2IXl4qJGrRk,That’s the difference between Germany and America: man receives 217 Covid shots vs man gives 217 gunshots.,that’s the difference between germany and america: man receives 217 covid shots vs man gives 217 gunshots.
6,2IXl4qJGrRk,I would love to hear the response from vaccine sceptics who predicted the end of time for people who accepted one vaccine!,i would love to hear the response from vaccine sceptics who predicted the end of time for people who accepted one vaccine!
7,2IXl4qJGrRk,Doesn't he know you need 218 vaccinations to be really protected. 😂 🐑,doesn't he know you need 218 vaccinations to be really protected. 😂 🐑
8,2IXl4qJGrRk,There are two factors helping your immunity with a vaccine. Temporary heightened immune response to all infections and later an immune response to the specific infectious agent.,there are two factors helping your immunity with a vaccine. temporary heightened immune response to all infections and later an immune response to the specific infectious agent.
9,2IXl4qJGrRk,"Wow, this dude’s 5g signal must be off the charts!","wow, this dude’s 5g signal must be off the charts!"
10,HtTalpY-J-M,It's good to know the vaccine is safe to use.,it's good to know the vaccine is safe to use.
11,HtTalpY-J-M,Strange kink. Though not gonna judge him for it.,strange kink. though not gonna judge him for it.
12,HtTalpY-J-M,"no proof, no identity, just words.","no proof, no identity, just words."
13,HtTalpY-J-M,"In todays late news..He exploded 3 minutes after this footage was doctored...err, filmed.","in todays late news..he exploded 3 minutes after this footage was doctored...err, filmed."
14,HtTalpY-J-M,Wasn't this video supposed to be posted on April Fools Day?,wasn't this video supposed to be posted on april fools day?
16,HtTalpY-J-M,😂😂😂😂 I can't stop laughing . Tell me more. That's what fear does to ya!,😂😂😂😂 i can't stop laughing . tell me more. that's what fear does to ya!
17,HtTalpY-J-M,Oh god !! How can it be possible??,oh god !! how can it be possible??
18,HtTalpY-J-M,"AND THE DOCTORS WOULD ALLOW HIM TO DO THAT??? 
PLEEEZE...B.S","and the doctors would allow him to do that??? 
pleeeze...b."
19,HtTalpY-J-M,So one example is the base for leftist science now?,so one example is the base for leftist science now?
20,jPs4_MeuX7U,"I love being a conspiracy theorist.  Maligned, slandered, hated....but still right 😎","i love being a conspiracy theorist.  maligned, slandered, hated....but still right 😎"
21,jPs4_MeuX7U,Politicians who pushed these injections should and must be held to account,politicians who pushed these injections should and must be held to account
22,jPs4_MeuX7U,"Just disregard the word ""rare"" because all of my vaxxed patients are injured and suffering.","just disregard the word ""rare"" because all of my vaxxed patients are injured and suffering."
24,jPs4_MeuX7U,I guess all they so called conspiracy theorist before were right after all,i guess all they so called conspiracy theorist before were right after al
26,jPs4_MeuX7U,What can go wrong when Dr BILL GATES ( by the way who has no medical degree at all ) makes himself the top Epidemiologist in the world ?,what can go wrong when dr bill gates ( by the way who has no medical degree at all ) makes himself the top epidemiologist in the world ?
27,jPs4_MeuX7U,They forced you to choose between heart failure or Lose your job.,they forced you to choose between heart failure or lose your job.
28,jPs4_MeuX7U,"""Benefits outweigh the risks.""  Yes, the benefits of not getting shot outweigh the risks of getting it.","""benefits outweigh the risks.""  yes, the benefits of not getting shot outweigh the risks of getting it."
30,WhiBpmH1mE4,Crazy!   I'd love an update on him several years from now.,crazy!   i'd love an update on him several years from now.
31,WhiBpmH1mE4,"He’s fine, he’ll probably live to 💯","he’s fine, he’ll probably live to 💯"
32,WhiBpmH1mE4,"He is now a property of, make and model, and is patented to what ever company decided to participate in this study. 

I’m joking but not at the same time.","he is now a property of, make and model, and is patented to what ever company decided to participate in this study. 

i’m joking but not at the same time."
33,WhiBpmH1mE4,Wow! 😳. That is crazy !  Thanks Dr. Jen ! I appreciate you always dear. Good night 😊🙏💝,wow! 😳. that is crazy !  thanks dr. jen ! i appreciate you always dear. good night 😊🙏💝
34,WhiBpmH1mE4,"DO NOT DO THIS....EVER!!!!!!    repeat
DO NOT EVER DO THIS!!!!!","do not do this....ever!!!!!!    repeat
do not ever do this!!!!!"
35,WhiBpmH1mE4,I just want to say I never had Covid-19 and only had one shot which I was forced into!! This my Covid-19 story Dr. Jen👌🏾👍🏾👍🏾,i just want to say i never had covid-19 and only had one shot which i was forced into!! this my covid-19 story dr. jen👌🏾👍🏾👍🏾
37,WhiBpmH1mE4,Let’s talk to this man in a year!,let’s talk to this man in a year!
