,video_id,comment,polarity,sentiment
0,2IXl4qJGrRk,That is one Guinness Book of records that will never fall.,0.0,neutral
1,2IXl4qJGrRk,He's now the strongest man in the world.,0.0,neutral
2,2IXl4qJGrRk,He got more vaccines than all Texans together!,0.625,positive
3,2IXl4qJGrRk,this man is more vaccine than he is human,0.25,positive
4,2IXl4qJGrRk,That’s the difference between Germany and America: man receives 217 Covid shots vs man gives 217 gunshots.,0.0,neutral
5,2IXl4qJGrRk,I would love to hear the response from vaccine sceptics who predicted the end of time for people who accepted one vaccine!,0.625,positive
6,2IXl4qJGrRk,Doesn't he know you need 218 vaccinations to be really protected. 😂 🐑,0.2,positive
7,2IXl4qJGrRk,There are two factors helping your immunity with a vaccine. Temporary heightened immune response to all infections and later an immune response to the specific infectious agent.,0.0,neutral
8,2IXl4qJGrRk,"Wow, this dude’s 5g signal must be off the charts!",0.125,positive
9,HtTalpY-J-M,It's good to know the vaccine is safe to use.,0.6,positive
10,HtTalpY-J-M,Strange kink. Though not gonna judge him for it.,-0.05,negative
11,HtTalpY-J-M,"no proof, no identity, just words.",0.0,neutral
12,HtTalpY-J-M,"In todays late news..He exploded 3 minutes after this footage was doctored...err, filmed.",-0.3,negative
13,HtTalpY-J-M,Wasn't this video supposed to be posted on April Fools Day?,0.0,neutral
14,HtTalpY-J-M,😂😂😂😂 I can't stop laughing . Tell me more. That's what fear does to ya!,0.625,positive
15,HtTalpY-J-M,Oh god !! How can it be possible??,0.0,neutral
16,HtTalpY-J-M,"AND THE DOCTORS WOULD ALLOW HIM TO DO THAT??? 
PLEEEZE...B.S",0.0,neutral
17,HtTalpY-J-M,So one example is the base for leftist science now?,-0.42500000000000004,negative
18,jPs4_MeuX7U,"I love being a conspiracy theorist.  Maligned, slandered, hated....but still right 😎",0.39285714285714285,positive
19,jPs4_MeuX7U,Politicians who pushed these injections should and must be held to account,0.0,neutral
20,jPs4_MeuX7U,"Just disregard the word ""rare"" because all of my vaxxed patients are injured and suffering.",0.3,positive
21,jPs4_MeuX7U,I guess all they so called conspiracy theorist before were right after all,0.2857142857142857,positive
22,jPs4_MeuX7U,What can go wrong when Dr BILL GATES ( by the way who has no medical degree at all ) makes himself the top Epidemiologist in the world ?,0.0,neutral
23,jPs4_MeuX7U,They forced you to choose between heart failure or Lose your job.,-0.30833333333333335,negative
24,jPs4_MeuX7U,"""Benefits outweigh the risks.""  Yes, the benefits of not getting shot outweigh the risks of getting it.",0.0,neutral
25,WhiBpmH1mE4,Crazy!   I'd love an update on him several years from now.,-0.08333333333333333,negative
26,WhiBpmH1mE4,"He’s fine, he’ll probably live to 💯",0.2765151515151515,positive
27,WhiBpmH1mE4,"He is now a property of, make and model, and is patented to what ever company decided to participate in this study. 

I’m joking but not at the same time.",0.0,neutral
