,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UCupvZG-5ko_eiXAupbDfxWw,CNN,192974,353421,1278817,51138,188271
1,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,6,1731,46912,3930,188271
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,0,820,9070,73,0
3,UCLpPdayeUfDyh6jg3oN-GIg,Dr. Jen Caudle,6,0,0,3,0
4,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,7,317,4380,3,1
5,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,0,797,336,556,0
6,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,6,17605,0,0,0
7,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,6,1237,0,0,0
8,UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,0,635,42352,27,5
9,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,0,27185,1,0,0
10,UCShOERdmAnqqizmgm6LN10g,Dr Danish Salim's Dr D Better Life,0,0,0,0,0
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,0,717,2531,35,0
12,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),0,1945,2087,38191,3375
13,UCBu0KdNokE4MqdkacvH37_A,WFAA,0,1844,5604,9,3375
14,UCCj956IF62FbT7Gouszaj9w,BBC,0,120603,0,30,0
15,UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,0,1076,995,30,0
16,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,0,0,0,81,9645
17,UCknLrEdhRCp1aegoMqRaCZg,DW News,0,403,0,544,8
18,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,1,42,36,4,0
19,UCVT1tPkR-fUVlO652EcO3ow,CBS Sunday Morning,0,1245,2,4,0
20,UC16niRr50-MSBwiO3YDb3RA,BBC News,0,148641,5292,32554,6
21,UCWCEYVwSqr7Epo6sSCfUgiw,MIRROR NOW,0,27,1,31,0
22,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,104,19479,1017,50,1
23,UCO0akufu9MOzyz3nvGIXAAw,Sky News Australia,0,717,1,33,0
24,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,0,0,0,0,0
25,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,0,0,5,1,0
26,UCeY0bbntWzzVIaj2z3QigXg,NBC News,103,9160,244326,1457,5
27,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,103,7830,1014088,1447,232
28,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,1,2,6527,4945,232
29,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,0,3616,0,443,0
30,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,29,12084,0,22724,0
31,UC8p1vwvWtl6T73JiExfWs1g,CBS News,29,11182,213786,16466,0
32,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,62,108,2595,0,0
33,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,4850,19116,875116,52652,239
34,UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,0,0,415,1,0
35,UCNZyLULUQBp5e9Q1cKtvk6Q,CBS New York,0,11182,0,106,0
36,UC_YFbvKedjnVjqrZqBR4L8Q,News4JAX The Local Station,0,0,3838,99,99
37,UC85VW73bQLEjs_taFKP7TwQ,Nucleus Medical Media,0,0,303,0,0
38,UCG5KB3yJEvWS9tal134vPQg,Nutshell,49,88,0,0,0
39,UCZ8Sxmkweh65HetaZfR8YuA,The Hollywood Reporter,49,10287,48472,99,0
40,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,0,1051,0,2729,0
41,UCrkhryqZABVzsGvfeAp0uIw,The BMJ,0,10640,0,1881,135
42,UCLXo7UDZvByw2ixzpQCufnA,Vox,26,0,188553,8643,539
43,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,2,2181,381,226,10
44,UCi4fcBVyo4CAnmdgXeO-NvA,CBS Boston,0,0,0,52,0
45,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,0,872,25751,985,19
46,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,0,0,1387,23,0
47,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,0,298,2378,3278,0
48,UCVKYCeuR3OyO-M2rfUXHDyg,KTVB,9,553,3400,0,0
49,UCiTGKA9W0G0TL8Hm7Uf_u9A,Alila Medical Media,0,0,140,0,0
50,UCJA54SrrVv7qRrEQSPVJ8Ug,Community Health Network,2,324,1645,15,0
51,UCumtYpCY26F6Jr3satUgMvA,NTV Telugu,0,145,978,0,0
52,UCf3BkFTwI4G1vMc6W-NpQNw,Australian Department of Health and Aged Care,0,0,0,0,0
53,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,0,140387,6,1,0
54,UCXIJgqnII2ZOINSWNOGFThA,Fox News,251,19722,239,46310,9
55,UCGbQJy-531_5vfphay-rChQ,People,0,8446,0,1719,9
56,UCYx6O5ltWUVi8xzEGkM0WYQ,Pristyn Care Surgeries,0,2828,798,0,0
57,UCIYLOcEUX6TbBo7HQVF2PKA,9 News Australia,0,717,3581,87,0
58,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,0,3590,53958,6389,0
59,UCH1oRy1dINbMVp3UFWrKP0w,Good Morning America,0,4587,0,6389,0
60,UCrlIS7z20CnVaCrMvdkig_g,Eyewitness News ABC7NY,0,460,0,5,10
61,UCpi8TJfiA4lKGkaXs__YdBA,The Try Guys,0,1287,0,24,3
62,UCxyiSz4m161Z6frOsFxJpgw,Cleveland Clinic,0,3016,12336,2192,1
63,UCByGc7P_siORkC1pum8T3_Q,WFSB 3,4,532,0,0,0
64,UC1dVGItBqV4w-4xQHoX1UDg,CBS 17,24,0,2342,53,0
65,UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,24,262,136159,53,0
66,UCmKKVuZrBfSGiuvtOuipoDA,NBC Bay Area,32,0,7433,530,0
67,UCoookXUzPciGrEZEXmh4Jjg,Sesame Street,2,25489,1301,0,0
68,UCw9zM4_S570N72pUfwIkuwQ,BJC HealthCare,0,754,1593,0,0
69,UCYPvAwZP8pZhSMW8qs7cVCw,India Today,0,3396,0,1654,5
70,UCG5TBPANNSiKf1Dp-R5Dibg,Dr.G Bhanu Prakash Animated Medical Videos,0,0,0,0,0
71,UC13mSI38YWz5zfvxXDPpePA,FOX 13 Tampa Bay,0,0,2015,0,5
72,UCT350j4u6alUKyF9eu2bGug,ABC10,5,4,2906,190,190
73,UC9k-yiEpRHMNVOnOi_aQK8w,Inside Edition,5,823,2109,190,221
74,UC5UlvCrYsS8axWEQ9Kd1sAg,VJNeurology,0,0,322,0,0
75,UCmMAcf_ytC_H54h8wpUGEzA,NYSDOH NY,0,0,0,0,0
76,UCD09NCZlzMj4yGvGkLbuBpw,Báo Sức khoẻ & Đời sống,0,0,0,0,0
77,UC-RxXi2Xws6Uk22vp-sLbGA,WCNC,0,710,2123,124,0
78,UCrPhcbDwqWRc-3tteE2BS6g,Mama Doctor Jones,0,0,0,3,0
79,UCKQECjul8nw1KW_JzfBTP1A,KPRC 2 Click2Houston,0,0,4211,106,79
80,UCdOflwQsgRV_RbgRGRpr_TQ,The Hindu businessline,0,6108,4211,106,0
81,UCSxeKmlI8XLrI1eMaqqM-kg,Vejon Health,0,0,0,0,0
82,UCVKAcQQCO8vv87Gk62SutAg,CityNews,1,472,9947,18,0
83,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,0,0,0,0,0
84,UCi8URBP1KDF0KuG_ntPFS2w,eHealth Saskatchewan,0,0,0,0,0
85,UCxHoBXkY88Tb8z1Ssj6CWsQ,SOMOY TV,0,61,1703,1,1
86,UC2rLSYDm92QMytS9yIkT8UQ,FOX 4 Now,251,19722,999,3,0
87,UCOGa-48fFt4cW0UnW5WSdRg,FOX 2 Detroit,0,0,2519,341,0
88,UCXJryYh6xcW5iEeJGzK191A,CBS Miami,0,0,0,3,0
89,UCVxBA3Cbu3pm8w8gEIoMEog,ABC7,3,32,0,2734,0
