,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,True,True,False,False,True
1,UCaZ2jG4qd1vY-Tkwiq9FBlw,Rich Black Guy,True,False,True,True,True
2,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,True,True,True,True,True
3,UCYBARVyitZWkFKovnC2jf2g,Washington Post Shorts,False,False,True,False,False
4,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,True,True,True,True,True
5,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,True,True,True,True,True
6,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,True,True,True,True,True
7,UCFOOhj52Y9eqoC_Xxb_zhFg,Dr. Omar Ibrahimi,True,False,True,True,True
8,UCEuiOszNd6msGgqsD0f9YAQ,Interesting Engineering,True,True,True,True,True
9,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,True,True,True,True,True
10,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,False,True,True,True,True
11,UC3XTzVzaHQEd30rQbuvCtTQ,LastWeekTonight,False,True,True,True,True
12,UCCj956IF62FbT7Gouszaj9w,BBC,False,True,True,True,True
13,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,True,True,True,True,True
14,UC9HQXWbt14wTdr_Tzc8ZE0A,Doctor Youn,False,False,False,False,True
15,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,True,True,True,True,True
16,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,True,True,True,True,True
17,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,False,False,False,True,True
18,UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,False,False,True,True,True
19,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,False,False,True,True,True
20,UCc-Yj3lMj3s_n1tqcGIzQ6g,Dr Karan,False,False,True,False,True
21,UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,False,True,True,False,False
22,UCG5KB3yJEvWS9tal134vPQg,Nutshell,True,True,True,False,True
23,UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,False,False,True,True,True
24,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,False,True,True,True,True
25,UCupvZG-5ko_eiXAupbDfxWw,CNN,True,True,True,True,True
26,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,True,True,True,True,True
27,UC-RxXi2Xws6Uk22vp-sLbGA,WCNC,False,True,True,True,True
28,UCJMC-44oT9l97ra5iemDPiA,The Spectator,True,True,True,True,True
29,UCBi2mrWuNuyYy4gbM6fU18Q,ABC News,True,True,True,True,True
30,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,False,True,True,True,True
31,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,True,False,True,True,True
32,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,True,True,True,True,True
33,UCHqkXbgqrDrDVInBMSoGQgQ,The Daily Signal,True,True,True,True,True
34,UCmKKVuZrBfSGiuvtOuipoDA,NBC Bay Area,True,False,True,True,True
35,UC16niRr50-MSBwiO3YDb3RA,BBC News,False,True,True,True,True
36,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,True,True,True,True,True
37,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,False,True,False,True,True
38,UCLXo7UDZvByw2ixzpQCufnA,Vox,True,False,True,True,True
