,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
0,UCupvZG-5ko_eiXAupbDfxWw,CNN,,,,https://twitter.com/cnnbrk,https://facebook.com/cnn,
1,UCSrZ3UV4jOidv8ppoVuvW9Q,euronews,https://linkedin.com/company/euronews,,,https://twitter.com/euronews,https://facebook.com/euronews,
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,,,https://www.wionews.com,https://twitter.com/WIONews,https://www.facebook.com/WIONews,
3,UCLpPdayeUfDyh6jg3oN-GIg,Dr. Jen Caudle,https://linkedin.com/in/drjencaudle,,,https://twitter.com/drjencaudle,https://facebook.com/drjencaudle,https://instagram.com/drjencaudle
4,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,,,,https://twitter.com/dpakman,https://facebook.com/davidpakmanshow,https://instagram.com/david
5,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,,,,https://twitter.com/Channel4News,https://www.facebook.com/Channel4News,https://www.instagram.com/channel4news
6,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,,,,https://twitter.com/Johnincarlisle,,
7,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,,,,,,
8,UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,,,,https://twitter.com/NewsNation,https://facebook.com/NewsNationNow,
9,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,,,,https://twitter.com/schmidt_doc,,
10,UCShOERdmAnqqizmgm6LN10g,Dr Danish Salim's Dr D Better Life,,,,,https://facebook.com/drdbetterlife,
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,,,,https://twitter.com/7NewsAustralia,https://www.facebook.com/7NewsAustralia,https://www.instagram.com/7newsaustralia
12,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),,,,https://twitter.com/abcnews,https://facebook.com/abcnews,https://instagram.com/abcnews_au
13,UCBu0KdNokE4MqdkacvH37_A,WFAA,https://linkedin.com/company/wfaa-tv,,,https://twitter.com/wfaa,https://facebook.com/wfaa,
14,UCCj956IF62FbT7Gouszaj9w,BBC,,,,https://twitter.com/bbciplayer,https://facebook.com/bbciplayer,
15,UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,,,,https://twitter.com/GBNEWS,https://www.facebook.com/GBNewsOnline,
16,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,,,,https://twitter.com/wfla,https://facebook.com/WFLANewsChannel8,
17,UCknLrEdhRCp1aegoMqRaCZg,DW News,,,,https://twitter.com/dwnews,https://www.facebook.com/deutschewellenews,https://www.instagram.com/dwnews
18,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,,,,https://twitter.com/MRitland,https://www.facebook.com/WarriorDog,https://www.instagram.com/the_chriscappa
19,UCVT1tPkR-fUVlO652EcO3ow,CBS Sunday Morning,,,,https://twitter.com/CBSSunday,https://facebook.com/CBSSundayMorning,https://instagram.com/cbssundaymorning
20,UC16niRr50-MSBwiO3YDb3RA,BBC News,,,,https://twitter.com/BBCWorld,https://facebook.com/bbcworldnews,
21,UCWCEYVwSqr7Epo6sSCfUgiw,MIRROR NOW,,,,https://twitter.com/MirrorNow,https://www.facebook.com/MirrorNow,https://www.instagram.com/mirrornow_in
22,UClwkBPKzW8h_rfZWuG_kWjw,Ad Council,,,https://www.adcouncil.org/,https://twitter.com/adcouncil,https://facebook.com/adcouncil,
23,UCO0akufu9MOzyz3nvGIXAAw,Sky News Australia,https://linkedin.com/company/australian-news-channel,,,https://twitter.com/skynewsaust,https://facebook.com/skynewsaustralia,
24,UCrp_UI8XtuYfpiqluWLD7Lw,CNBC Television,,,,,,
25,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,https://linkedin.com/in/askdoctorhansen,,https://doctormikehansen.com/,https://twitter.com/Mike_Hansen_MD,https://facebook.com/DoctorMikeHansen,
26,UCeY0bbntWzzVIaj2z3QigXg,NBC News,,,,https://twitter.com/nbcnews,https://facebook.com/nbcnews,
27,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,,,,https://twitter.com/MSNBC,https://facebook.com/msnbc,
28,UCzF4Ryn8TKn64md77gS5Q5Q,11Alive,,,,https://twitter.com/11AliveNews,https://www.facebook.com/11Alive,https://www.instagram.com/11Alive
29,UCoMdktPbSTixAyNGwb-UYkQ,Sky News,,,,https://twitter.com/skynews,https://www.facebook.com/skynews,https://www.instagram.com/skynews
30,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,,,,https://twitter.com/JimmyKimmelLive,https://facebook.com/JimmyKimmelLive,
31,UC8p1vwvWtl6T73JiExfWs1g,CBS News,,,,https://twitter.com/cbsnews,https://facebook.com/cbsnews,https://www.instagram.com/cbsnews
32,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,,,https://Hill.TV,https://twitter.com/RisingTheHill,https://facebook.com/HillTVLive,
33,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,,,,https://twitter.com/Reuters,https://www.facebook.com/Reuters,https://www.instagram.com/reuters
34,UCG-iSMVtWbbwDDXgXXypARQ,MedCram - Medical Lectures Explained CLEARLY,,,,https://twitter.com/MedCramVideos,https://www.facebook.com/MedCram,https://www.instagram.com/medcram
35,UCNZyLULUQBp5e9Q1cKtvk6Q,CBS New York,https://linkedin.com/company/wcbs-tv,,,https://twitter.com/CBSnewyork,https://facebook.com/CBSNewYork,
36,UC_YFbvKedjnVjqrZqBR4L8Q,News4JAX The Local Station,,,,https://twitter.com/WJXT4,https://facebook.com/WJXT4TheLocalStation,
37,UC85VW73bQLEjs_taFKP7TwQ,Nucleus Medical Media,,,https://CDC.gov,,https://facebook.com/NucleusMedicalMedia,
38,UCG5KB3yJEvWS9tal134vPQg,Nutshell,,,,,https://facebook.com/nutshellindia,
39,UCZ8Sxmkweh65HetaZfR8YuA,The Hollywood Reporter,,,,https://twitter.com/THR,https://facebook.com/HollywoodReporter,
40,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,,,,https://twitter.com/DrJoeHanson,https://www.facebook.com/itsokaytobesmartpbs,https://instagram.com/DrJoeHanson
41,UCrkhryqZABVzsGvfeAp0uIw,The BMJ,,,,https://twitter.com/bmj_latest,https://facebook.com/bmjdotcom,
42,UCLXo7UDZvByw2ixzpQCufnA,Vox,,,,https://twitter.com/voxdotcom,https://facebook.com/vox,
43,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,,,,https://twitter.com/newshour,https://facebook.com/newshour,https://instagram.com/newshour
44,UCi4fcBVyo4CAnmdgXeO-NvA,CBS Boston,,,,https://twitter.com/wbz,https://facebook.com/CBSBoston,
45,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,,,https://on.today.com/ReadTODAY,https://twitter.com/todayshow,https://facebook.com/today,
46,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,,,https://www.artrake.com,https://twitter.com/TED_Ed,https://facebook.com/TEDEducation,
47,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,,,,https://twitter.com/johngreen,,
48,UCVKYCeuR3OyO-M2rfUXHDyg,KTVB,,,,,,
49,UCiTGKA9W0G0TL8Hm7Uf_u9A,Alila Medical Media,,,,https://twitter.com/AlilaMedical,,
50,UCJA54SrrVv7qRrEQSPVJ8Ug,Community Health Network,https://linkedin.com/company/community-health-network,,,https://twitter.com/CHNw,https://facebook.com/ecommunity,
51,UCumtYpCY26F6Jr3satUgMvA,NTV Telugu,,,,https://twitter.com/ntvtelugulive,https://www.facebook.com/NtvTeluguLive,
52,UCf3BkFTwI4G1vMc6W-NpQNw,Australian Department of Health and Aged Care,,,,,,
