,video_id,backlinks
0,2IXl4qJGrRk,13
1,HtTalpY-J-M,186
2,jPs4_MeuX7U,2
3,WhiBpmH1mE4,0
4,LfmhYVCCGhc,18
5,oFDOQ9Pn-XM,0
6,-Ea3UwYZnrA,2169
7,im3otpqYAiQ,2169
8,geXKovieb1E,1
9,m2skKkRwYj8,94
10,YVFAvoeFahI,1
11,IMRTSwb3hCs,3
12,mkZ1MabMEZw,1
13,sidjKoHS6NE,118
14,xbYYNpM1AgQ,0
15,vLCUQYjv1rs,7
16,_bjzWUkVknQ,16
17,KBvys-kcJi0,15
18,lvnXcq_D94c,2
19,P3nXJB5PoBM,98
20,mbSk3WODhjM,114
21,85ZicYaZsbQ,25
22,SkcAZfrYYXM,1
23,I9S2jooTxkQ,1
24,9G5V3q-jfpU,1
25,NGxPkc_9uhY,1
26,uOxppT3gPpE,49
27,3rIQHrbDguM,166
28,fdGj6p2qDdk,16
29,rNaIMC4XMhc,596
30,vilMNHn4Yh8,0
31,t-YLp3t144s,0
32,Ptrblo96DEI,35
33,xnTVis4scUc,4
34,UijQ-6jhVuc,171
35,nqZdzaKFF3c,141
36,r62K2ZzOEko,89
37,uZPGZ2mf4g4,0
38,Z-zWo835gOs,6
39,Y0sg9G5BBVU,6
40,40eZeXPyJ0g,49
41,xYW-o8CNQiU,27
42,eFx-d0SvOVg,80
43,wJKPv-XmArQ,30
44,i9JLZuhqRuU,28
45,6mH0_S-_FqE,2
46,Li-oxKhvZy0,503
47,3GVGd3Ckrxk,1
48,l84zftrMoyc,13
49,aGKPq9OUEP0,0
50,EETuOY3JjfM,252
51,DM_71oPxEhE,3
52,Jb2YMvfvm_M,83
53,AQhiMirOODY,10
54,1m_iclAMXLo,34
55,Kd-E95tXfsY,61
56,-92HQA0GcI8,418
57,RaLxhFiOBYk,642
58,sv0dQfRRrEQ,333
59,7DlcRSvuvnw,50
60,aOInguXymGc,50
61,lEFYYpE_hds,20
62,v-NEr3KCug8,143
63,IxCHv7T_mao,33
64,qVcP3cI64ow,41
65,iyo2UNQcdpQ,41
66,iMx7kmld9sk,6
67,oMXGGmBfkf8,62
68,M-7nUxImA18,0
69,bjOIPZFepyo,0
70,bK8UbqRaoSY,0
71,I3kd5SyYHEE,32
72,10OXhm_rIEs,32
73,yhECkm16AGU,3
74,sJhQLdH8Zxc,2
75,pp-nPZETLTo,145
76,RQE_qp36zXQ,0
77,3RIAptushYw,4
78,gRiDgasJDNs,4
79,kXANPk6nUGk,0
80,Ph6wsRHMbQo,8
81,LVKSBHhGmDc,13
82,pCr_eo3pH7c,1
83,NDuaiYf8WDQ,73
84,VaSDSdR4R-E,4
85,p42FmUNULWg,4
86,V9Z325DYJJc,61
87,zBObkBFMcyo,22
88,vQodvS9cPhY,37
89,bwimt9n2JEk,433
90,VIVFgiw2CmE,7
91,Mdr2rLWGXiE,108
92,2IXQwVB8-ig,12
93,d5lX3B0vviU,0
94,gAxyBMnT8NI,1
95,oz4FCtHEH5M,6
96,h6potmDg0ek,33
97,ButW2kNe564,31
98,OJJbm8JuRvs,25
99,0UHCFPDhrEI,80
100,g_8N3CczKEg,0
101,BbyacOI2DH8,3
102,czITyiW9a5I,0
103,Yd1P-NnvkOA,0
104,RWDXEsgU3pE,18
105,Vgu1bkZC49s,8
106,IS3kQYcKSeY,3
107,DHxlBm-Z8rU,4
108,2Ruq3o7iZho,18
109,U4_jPALjULU,23
110,szyW6XdufBU,1
111,qWI0YiSmTKs,456
112,TW5BttKUlZo,120
113,6z4oAgRCySc,4
114,AeXgV7k4AIk,6
115,JhfrBLQIVCs,55
116,wosyaWiDR2U,90
117,J03kE18zUhs,71
118,DEx1GuqAwPk,0
119,VHCQ3cM02DQ,134
120,Qq10sqppMv0,0
121,o2HLkFi4Qtw,8
122,DCzmtt5-b3A,11
123,jDzkaflrx90,2
124,-3EBnIsDqao,56
125,YtIRJNrRm4M,0
126,yl7fE8cMVXM,22
127,iv30MVMOkuY,27
128,nhb1zIYXUP8,81
129,rC6Zs4AtDWY,0
130,xfZuMQmyb30,1
131,kmfZJvvkVhY,3
132,It7VNzhAqOs,12
133,z5lJeTjvFHU,4
134,zL8tCKEHJ6o,7
135,cqrM1bqQ7AE,96
136,8dM8b8bqz3Y,24
137,-gq51K9fi_s,26
138,A60-U9R3vVc,3
139,2AaTvrFlhMo,1
140,YhMlZczq4Ns,83
141,RyT3veZRMcg,1
142,J9KROxs4uKc,3
143,LXDH-xKIk0A,17
144,d3yk1FKFeqI,81
145,CjzZOM6kGZg,35
146,GtYNX69Abv0,93
147,iiWCZDEjjKw,1
148,0dbapFRDN0I,34
149,tYJkhp8lGho,5
150,lNYnIc94kdM,40
151,H7716weqCIs,40
152,OjbSWebA3Ko,192
153,CKPPtbE7JX4,8
154,9ZfkqBuPePA,50
155,X9D86kZF84c,1
156,-ZW4T0L38J8,32
157,i46co3L5gPM,48
158,xong5K4om2U,131
159,v8b75GwP_Hc,29
160,xLTTAmXkVYg,27
161,nucCr7Sywgc,27
162,aEx2g5G57KE,55
163,ujMxhrx40oA,2
164,f73-MKIVrx0,34
165,byW1GExQB84,38
166,w_5zQzIb5Uc,45
167,0u1nJo4fGg8,2
168,3OXJlRrXmQc,3
169,O0-PaP4RhFQ,34
170,wWCLBraM4gE,44
171,IGqDGeDssmY,44
172,ety8YR7fR1Y,7
173,yPlhRUF2aXA,7
174,JmakP_qaKSA,7
175,qgJcvTZyUng,1
176,qa9_EqFgD04,2
177,WTtO8LAd1Yw,0
178,sPOMCrV3dG4,1
179,bpzd74_gZJk,94
180,8aAk36PovnU,94
181,z8cYMT3ds4o,57
182,3XTzk9RouSY,14
183,5yz0GhZ7q4k,0
184,Kmwojz0T8W0,0
185,KkYLXX-zYWA,5
186,PM5cfmcP7Kg,14
187,kQ13Jx2cxCw,12
188,l6mTAJ08aUI,18
189,2XVCPdPAUbA,2
190,XHfRpNJI0c8,0
191,wuqyRBmashA,3
192,Ea4cUAlZhY8,1
