,video_id,video_title,description,video_dop,view_count,like_count,comment_count,channel_id,channel_title,channel_dop,sub_count,total_videos
0,Da2dhMMDw4E,DOH Chief: COVAX facility sending monovalent covid vaccines | ANC,"'Top Story: DOH Secretary Herbosa says there is no budget for the purchase of COVID vaccines in the proposed 2024 budget.\n\nFor more ANC Interviews, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4AT2G3LWF27_RErcz0GVd9\n\nFor more Top Story videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU51CUzZ36jTuxVUZxWzMI2l\n\nFor more ANC Highlights videos, click the link below:\nhttps://www.youtube.com/playlist?list=PLm34qRgqWBU4cKXctfaRZsLEHahqOc9dQ\n\nSubscribe to the ANC YouTube channel!\nhttps://www.youtube.com/user/ANCalerts\n\nVisit our website at https://news.abs-cbn.com/anc\nFacebook: https://www.facebook.com/ancalerts\nTwitter: https://twitter.com/ancalerts\n\n#ANCNews\n#ANCHighlights\n#TopStory'",2023-12-15,257,2,1,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1520000,71172
1,4-kZsOHYCZw,Bivalent COVID-19 vaccines ipinamahagi na sa health workers sa CALABARZON,'Ilang health worker sa Calabarzon ang unang nabigyan ng bivalent vaccine o yung bakunang nagbibigay ng proteksyon laban sa original strain at Omicron variant ng COVID-19.\r\n\r\nNarito ang ulat ni Kaithreen Cruz. \r\n\r\nVisit our website for more #NewsYouCanTrust: https://www.cnnphilippines.com/\r\n\r\nFollow our social media pages:\r\n\r\n• Facebook: https://www.facebook.com/CNNPhilippines\r\n• Instagram: https://www.instagram.com/cnnphilippines/\r\n• Twitter: https://twitter.com/cnnphilippines',2023-06-20,1560,4,5,UCj6spMO3ybZPobE0T5perHA,CNN Philippines,2015-03-16,1400000,22903
2,bK8UbqRaoSY,COVID-19 Vaccines - Tagalog,'This video talks about COVID-19 vaccines in Tagalog',2021-01-28,193052,,0,UCf3BkFTwI4G1vMc6W-NpQNw,Australian Department of Health and Aged Care,2014-11-17,18400,1908
3,aDSXIANZ9KY,Vaccination starts today with arrival of first vaccines,"'With the arrival of the Sinovac vaccines, the Philippines is the last country in ASEAN to receive its supply of COVID-19 vaccine. The President now expects the nation to return to normal in two years.\n\n\nVisit our website for more #NewsYouCanTrust: https://www.cnnphilippines.com/\n\nFollow our social media pages:\n\n• Facebook: https://www.facebook.com/CNNPhilippines\n• Instagram: https://www.instagram.com/cnnphilippines/\n• Twitter: https://twitter.com/cnnphilippines'",2021-02-28,25002,177,144,UCj6spMO3ybZPobE0T5perHA,CNN Philippines,2015-03-16,1400000,22903
4,t-QgDOdfy3w,Bivalent COVID-19 vaccines coming soon — DOH,"'The Department of Health on Tuesday said that the first batch of the donated bivalent vaccines is set to arrive in three to four weeks, after the Emergency Use Authorization has already been granted by the Food and Drug Administration.\n\nRead more: https://newsinfo.inquirer.net/1736369/fwd-ua-granted-for-use-of-bivalent-vaccines-first-batch-to-arrive-in-3-4-weeks-doh\n\nVisit us at https://www.inquirer.net\r\nFacebook: https://facebook.com/inquirerdotnet\r\nTwitter: https://twitter.com/inquirerdotnet'",2023-02-28,1405,8,8,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1640000,34707
5,NTp_UA0oD6A,No timeline on arrival of COVID-19 bivalent vaccines in PH — DOH,"'The Department of Health on Tuesday (April 4, 2023) said that it no longer has a definite timeline for the arrival of donated bivalent vaccines in the country due to the lack of a legal basis for entering into agreements with its manufacturer. | 🎥 : Department of Health\n\nRead more: https://newsinfo.inquirer.net/1752250/no-timeline-on-arrival-of-covid-19-bivalent-vaccines-in-ph-doh\n\nVisit us at https://www.inquirer.net\r\nFacebook: https://facebook.com/inquirerdotnet\r\nTwitter: https://twitter.com/inquirerdotnet'",2023-04-04,943,2,2,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1640000,34707
6,WBQagT9Y-j8,DOH: Expired COVID-19 vaccines could exceed 50M by end of March | The Final Word,'A Senate hearing reveals the number of expired COVID-19 vaccines could reach over 50 million this March and will continue to increase if the pace of vaccination in the country will not pick up.\r\n\r\nTristan Nodalo has the details.\r\n\r\nVisit our website for more #NewsYouCanTrust: https://www.cnnphilippines.com/\r\n\r\nFollow our social media pages:\r\n\r\n• Facebook: https://www.facebook.com/CNNPhilippines\r\n• Instagram: https://www.instagram.com/cnnphilippines/\r\n• Twitter: https://twitter.com/cnnphilippines',2023-03-09,1332,7,10,UCj6spMO3ybZPobE0T5perHA,CNN Philippines,2015-03-16,1400000,22903
7,j1KB5cAAvw0,COVID-19: Philippine president unsure if country will have enough vaccines,"'Philippine President Rodrigo Duterte has said it is unclear if his country will have enough COVID-19 vaccines. He has accused richer countries of controlling the supply, saying the Philippines has no choice but to wait.\n\nSubscribe to our channel here: https://cna.asia/youtubesub \r\n\r\nSubscribe to our news service on Telegram: https://cna.asia/telegram\r\n\r\nFollow us:\r\nCNA: https://cna.asia\r\nCNA Lifestyle: http://www.cnalifestyle.com \r\nFacebook: https://www.facebook.com/channelnewsasia\r\nInstagram: https://www.instagram.com/channelnewsasia\r\nTwitter: https://www.twitter.com/channelnewsasia'",2021-04-16,16040,78,89,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2006-10-24,2320000,36022
8,D9-CHldoZ74,20.7 million COVID-19 vaccines wasted in the Philippines – Hontiveros,"'Subscribe: https://www.youtube.com/@Rappler/\n\nMore videos on Rappler: https://www.rappler.com/video Senator Risa Hontiveros on Monday, August 15, says the Philippines wasted 20.7 million doses of COVID-19 vaccines as of August, amounting to P10.33 billion.\n\nFull story: https://www.rappler.com/nation/hontiveros-says-covid-19-vaccines-wasted-philippines/ Follow Rappler for the latest news in the Philippines and around the world. \n\nSupport independent journalism. You can help power our investigative fund by donating to our crowdfunding: https://donate.rappler.com/'",2022-08-15,10973,38,43,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,1950000,50435
9,_g1V43ohGpM,Fake vaccines: Concerns of illegal doses in the Philippines,"'The Philippines government says its first doses of COVID-19 vaccines are due next month.\nThey are from the global vaccine alliance known as COVAX.\nIt has also secured at least 50,000 doses from China.\nBut critics say that is not enough and there are growing concerns over illegal vaccine distribution on the black market.\n \nAl Jazeera’s Jamela Alindogan reports from Manila, in the Philippines.\n\n- Subscribe to our channel: http://aje.io/AJSubscribe \n- Follow us on Twitter: https://twitter.com/AJEnglish \n- Find us on Facebook: https://www.facebook.com/aljazeera \n- Check our website: https://www.aljazeera.com/\n\n#Philippines #COVID19Vaccination #Sinovac'",2021-02-11,18196,145,76,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,12700000,110976
