,channel_id,channel_name,channel_dop,sub_count,total_videos,profile
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,2015-03-17,5690000,52692,https://yt3.ggpht.com/4FK_4c1SOUGyQXgvLZ7WDJXB-sE8vVntcrTI7PYCiYkjkftELWfuRiQW_-1w6_uPbSY6T6ij=s240-c-k-c0x00ffffff-no-rj
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,2006-08-27,13100000,9613,https://yt3.ggpht.com/IVVrue_WHD9lK-12DvplMxKoxOYOS2kjYl1tbhC_fONBK06E-YfdEdtScQNwWQUbxrHfwnxBgw=s240-c-k-c0x00ffffff-no-rj
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8530000,140765,https://yt3.ggpht.com/r2ZGA9E-wWJha_PIoNh8df3C_Y8uenieTqQ-Qj2-ibWQ6T__-mVxUvplOqoagFLsicskn-j3sw=s240-c-k-c0x00ffffff-no-rj
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,2014-03-04,11900000,1688,https://yt3.ggpht.com/ytc/AIdro_kDDVVl8f3ZdJueQXkpzWJW7qGsZF7rDeoR98hBVw=s240-c-k-c0x00ffffff-no-rj
4,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,2006-05-20,15400000,1517,https://yt3.ggpht.com/ytc/AIdro_lg5FWsf908Wgf_VJAHb9Kmt0JLP1ZHLNcR1QL7jQ=s240-c-k-c0x00ffffff-no-rj
5,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),2008-06-09,1980000,86276,https://yt3.ggpht.com/ytc/AIdro_kJAJADDilv9cAmyLgwZHz85CEjeUt3jN4iYcL7rA=s240-c-k-c0x00ffffff-no-rj
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,2022-08-10,203000,401,https://yt3.ggpht.com/gG_2iu9Z9Jm7fWGhiWIC4s5WhNBNltQfjvmE7wg-itXgCn_v3NyX421TEUYmHRA0qF2QKGTffw=s240-c-k-c0x00ffffff-no-rj
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,2016-08-04,2320000,4492,https://yt3.ggpht.com/ytc/AIdro_kieZt-U_6mWgLe6oFG8C-YUJGeVm4BUvd6unLYEA=s240-c-k-c0x00ffffff-no-rj
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,2013-11-26,1940000,5664,https://yt3.ggpht.com/ytc/AIdro_nR6S7fkidd3uNCb8W2xPaYoqLt1RlUSdfF0Mbusw=s240-c-k-c0x00ffffff-no-rj
9,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,2017-01-17,5160000,1209,https://yt3.ggpht.com/ytc/AIdro_mzQnUgHoI52EDeOhJo-YwCjcUA_mDy1HAbzMzPIA=s240-c-k-c0x00ffffff-no-rj
10,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,2021-10-20,745000,282,https://yt3.ggpht.com/PKC5n7D8R5n3YBopN4Grm9F7ppe1nLNf0SZCAq0GTqAp1EPWcRoOpZGlS9bniO6sePzAehgv-g=s240-c-k-c0x00ffffff-no-rj
11,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,2007-07-11,463000,396,https://yt3.ggpht.com/ytc/AIdro_kfcbK6O7rQfXcLGzcEDclaUzXZfx9GwkX7sDCx0z8=s240-c-k-c0x00ffffff-no-rj
12,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,2009-11-30,3960000,48869,https://yt3.ggpht.com/ytc/AIdro_lRghkMBt5Dw66K2uNGVEQoTHIWw7cSeM5CzslgDg=s240-c-k-c0x00ffffff-no-rj
13,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,2006-07-21,1640000,51106,https://yt3.ggpht.com/ytc/AIdro_kMW6FHzah8o6yxShMgk8R-FVjE0WKBeZHjq1Sa9A=s240-c-k-c0x00ffffff-no-rj
14,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,13000000,112115,https://yt3.ggpht.com/YKrh5sIYpesEIHbjfgqwFjFx3ZgIjM_zak2z0LO8QENSgrmgKBes1m65POj9jkmzm0qoKwgl=s240-c-k-c0x00ffffff-no-rj
15,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,2020-09-10,777000,294,https://yt3.ggpht.com/r6FphrrgP7g5tNOEc2Pbpv3M8CGX70oTD8D6ifz09qHd81XhLMrOqxBLMSDIW2YuXtP5NAs40g=s240-c-k-c0x00ffffff-no-rj
16,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,2014-02-22,1490000,943,https://yt3.ggpht.com/ytc/AIdro_nGaC9GvvP_fsH6UGg5E64Wxp62tVQAK41KvOCvpA=s240-c-k-c0x00ffffff-no-rj
17,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,2006-07-05,3210000,16598,https://yt3.ggpht.com/ytc/AIdro_mdxcYyRxz2wIDLnk56N9yXQJvSIsKMxtsPHSNBHA=s240-c-k-c0x00ffffff-no-rj
18,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,2017-05-06,276000,211,https://yt3.ggpht.com/ytc/AIdro_l-gBnjXyO-7uHp2r7L8m8s9_xASK0hJ6Yk3v8w=s240-c-k-c0x00ffffff-no-rj
19,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,2022-08-05,1920000,199,https://yt3.ggpht.com/wPLJeioUeRrE955NRdc_MqFfEoZ_nZNZXMPtE6ekqY4KH1x5cq0xFj1XISBcZQo_lFlnYfkfOQ=s240-c-k-c0x00ffffff-no-rj
20,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,2016-06-24,433000,194,https://yt3.ggpht.com/ytc/AIdro_lqbOOVx6GyXmqWrXfaYovMm2DLZbeHrZAy4ZjW=s240-c-k-c0x00ffffff-no-rj
21,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,2009-08-17,1030000,1390,https://yt3.ggpht.com/ytc/AIdro_lV1r_sm5DnN-mwWGuInLivTtQ3rjqWScS85aL0QQ=s240-c-k-c0x00ffffff-no-rj
22,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,2016-09-01,856000,829,https://yt3.ggpht.com/qde-kBlDFgjlGsS_BKWA7tVJ3Uv41aTX8PV2HPKFswZnFoIgbk0EDTFpPjGlD0kGt0fadjVP=s240-c-k-c0x00ffffff-no-rj
23,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,2016-06-23,2230000,240,https://yt3.ggpht.com/ytc/AIdro_kXjiJHhwgoCs_EhLgca41VaY05lUWC3gU0xIs01g=s240-c-k-c0x00ffffff-no-rj
24,UCGDXj3vSgJ8MCbzbb_C9thA,SLICE Full Doc,2022-09-20,91400,144,https://yt3.ggpht.com/K3kmLT-U_DPw7uNyE8EXNpmvlH1pAkwf1SxaTwYeYUy9IOp0IXQt8IMK1KPhl536zIT-9QBqcQ=s240-c-k-c0x00ffffff-no-rj
25,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,2019-10-10,4070000,17290,https://yt3.ggpht.com/ECkjlnETOWq_v2UuToBHeR_UY42J47UNashpSkdQpcMEMh0eBdBag-81bRs65BOhZzsbGxUW=s240-c-k-c0x00ffffff-no-rj
26,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,2014-10-22,3510000,16788,https://yt3.ggpht.com/ytc/AIdro_k_1B3nQhHNyJdgvfGHrPY3E1GXTbbBTCKGbQ7Q-g=s240-c-k-c0x00ffffff-no-rj
27,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,2009-03-23,3300000,607,https://yt3.ggpht.com/ytc/AIdro_nThwAskSKbD-wtos-Hbcq6LPWV1gB3ZZYOhmW8kDY=s240-c-k-c0x00ffffff-no-rj
28,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,2019-01-14,199000,106,https://yt3.ggpht.com/loAMEcgxZlCDTII0KyHHQicD7JpL1TtkZJJiDagguWxpoKFbmLkhM_slsj0If4K8flEHcn7k=s240-c-k-c0x00ffffff-no-rj
29,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,2012-09-21,1900000,641,https://yt3.ggpht.com/49kKUx7i9Qxw_W9JzhHxPP8S_JXxyaDQuYMatfrD1THuGiSj7wrqOQJJpv2EqSHkPP93gkWL=s240-c-k-c0x00ffffff-no-rj
30,UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,16100000,163854,https://yt3.ggpht.com/n5DRh94eycw6xGcOKTn6LKQwztTwaw24fXPniFTXA3VPgwJaiOFdBwJNtXRHYUf7OdEAk9upwH0=s240-c-k-c0x00ffffff-no-rj
31,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,2016-05-26,10900000,5672,https://yt3.ggpht.com/vfgTwN2vtrIFe7jfON70eXNw9BH0LLujtyXs6Oc8OvvISFb9i-Bn4Bxxzkos_BwCxHjdytYa5g=s240-c-k-c0x00ffffff-no-rj
32,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,2005-09-27,1010000,2577,https://yt3.ggpht.com/ytc/AIdro_nH_j48PZP4InYflVzQug-O14LGXwBU6SqApmHYkQ=s240-c-k-c0x00ffffff-no-rj
33,UC_xWTNsx7zA2uI0ydQikViA,DawnNews English,2022-05-10,185000,9765,https://yt3.ggpht.com/cwgbsI1zqkyDaGxF2-G_CN3Eri8OJAGh3py6Px7QfhiICmCIayTP_BfdPkTu5-alXhLFJ3ZlMg=s240-c-k-c0x00ffffff-no-rj
34,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,2006-10-01,6660000,9085,https://yt3.ggpht.com/ytc/AIdro_k9h5zn23pV3BrWgMeQ0rJvS_T1nLAxewOKtySWwA=s240-c-k-c0x00ffffff-no-rj
35,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,2013-01-07,15500000,604,https://yt3.ggpht.com/oQ2NQMuq-9IS6_MZdsGXa0RWecaACremA01Z7jo-YpoEF1H6PyUF8PZzXkV10OYwSP3UMJDeTg=s240-c-k-c0x00ffffff-no-rj
36,UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,2016-05-03,4380000,1700,https://yt3.ggpht.com/ytc/AIdro_l6iyIU6IajB8aTrynjPFYARMJ6k4BDKUPpGuZr1g=s240-c-k-c0x00ffffff-no-rj
37,UCkeTA80xeSa9POCGRpWTIfQ,travelingisrael.com,2014-12-07,314000,221,https://yt3.ggpht.com/ytc/AIdro_kD0MOvmPB2G9AJSu0C82dz0YKUKhw4djhZCFWz=s240-c-k-c0x00ffffff-no-rj
38,UCJsUvAqDzczYv2UpFmu4PcA,Nas Daily,2011-09-30,13200000,1312,https://yt3.ggpht.com/fjbxTw1avewqr_ijGG2f2JE6-WwMHTFsS5oSjjTnu8uwV-ZHzyHto3o6Dwn6b4AYO4CiPlCL=s240-c-k-c0x00ffffff-no-rj
39,UCXIJgqnII2ZOINSWNOGFThA,Fox News,2006-09-19,11100000,102816,https://yt3.ggpht.com/xrMXuR2ARUKOvvMKeB2XAFMt6rchyUkiEn2G2J1DtWjL5zVxKW9H4jlkQdBdBoqTi_WmU5_dGQ=s240-c-k-c0x00ffffff-no-rj
40,UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV,2022-06-04,626000,302,https://yt3.ggpht.com/m_e5-z-5EPsn5-qRZkx9amJhVdZk_jJxwDY_GeQbO0HDoJZF7TCtdZZEWWFFYT3nFFE7paNT=s240-c-k-c0x00ffffff-no-rj
41,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,2018-06-04,57200,968,https://yt3.ggpht.com/ytc/AIdro_mINDWZEdrof3xSRBhMMKtKWGyDLdcBLS4kYhg4=s240-c-k-c0x00ffffff-no-rj
42,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,2006-09-15,6820000,164049,https://yt3.ggpht.com/4m7yvjIhOhtCXb905kcNQl6EXt5AzDXvmx6pN5WxbMtd1hylOZDESw6lvV77UjPWtQ--JizW8w=s240-c-k-c0x00ffffff-no-rj
43,UCItJsxqZNWUyxFn-A2tzizQ,Priya Jain,2018-07-15,3380000,459,https://yt3.ggpht.com/NpQsDxwGekWaNlg33QIM8Ph-YCpohBaYI3VGkHrzNrBYX2l05bNtH2-9puKUXtt_ahQ4fJ9Z=s240-c-k-c0x00ffffff-no-rj
44,UCcYvqQ-UuvvFsHNNfwjYEBw,WHAT IS POLITICS?,2015-10-23,21200,33,https://yt3.ggpht.com/ytc/AIdro_kkDRvpYn_dsAClQBS4UgNZmx9ZWKLE1f_728fc6Q=s240-c-k-c0x00ffffff-no-rj
45,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,2017-07-24,1900000,4260,https://yt3.ggpht.com/tVNPfVGcyP8cQNUNIYa1MZ92XY1R4MW-lB1Bet8PPSaaTS2XURyZVw_kl9eOftvcMLUpNKw9nw=s240-c-k-c0x00ffffff-no-rj
46,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,2023-03-15,173000,123,https://yt3.ggpht.com/RMeWDXrqlRShlu0toKtHhg2zp2xFXar6FFpmGF0nfF5drKo9Vbma2KFCYqHfbx7h6zUQLqzSqA=s240-c-k-c0x00ffffff-no-rj
47,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,2007-09-27,844000,104232,https://yt3.ggpht.com/ytc/AIdro_nGK47L2P-pG4Xb-9VgmYuxi6srMWfJX0_x0k-BAQ=s240-c-k-c0x00ffffff-no-rj
48,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,2011-09-30,2490000,28906,https://yt3.ggpht.com/ytc/AIdro_n-MGimHjRm9fYS_4ztbH5KOJxrv9sygID6POvcaA=s240-c-k-c0x00ffffff-no-rj
49,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,2018-04-02,5730000,803,https://yt3.ggpht.com/b-XT4UgryGzYcT9TP6oxGoXuNDYWz8SUOtKFct0mCIB5irWhXK_ML6kbHM91nd8a0ApeMn2i=s240-c-k-c0x00ffffff-no-rj
50,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,2006-03-27,254000,3640,https://yt3.ggpht.com/ytc/AIdro_mowO9GQQPbe1kLvQuVlbRZ5sGE_idDH5JXwa0BTw=s240-c-k-c0x00ffffff-no-rj
51,UCW39zufHfsuGgpLviKh297Q,DW Documentary,2016-11-22,5450000,1083,https://yt3.ggpht.com/ytc/AIdro_lYi4v3AYHPF-_P3snJK0Ikje2z6An6DyEeCYDONw=s240-c-k-c0x00ffffff-no-rj
52,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,2006-03-14,2560000,1826,https://yt3.ggpht.com/aSUn92w4s-D27PzmI2pgV21WQvvwzcALr_e3UOoLFqGFb56zFCeKZOlC-4jCXMyrijWVELfTxQ=s240-c-k-c0x00ffffff-no-rj
53,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,2015-01-17,2290000,39616,https://yt3.ggpht.com/ytc/AIdro_lp724w4FNcbg808URTeHTzpq8RmQujYjP8jdu8rXw=s240-c-k-c0x00ffffff-no-rj
54,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,2015-06-22,16500000,48990,https://yt3.ggpht.com/j6Yunvnzj1-tYz-CX9l5hX3wh2jWOA07Z8ZDUge1WjfDGSbUN3ZkwP_HLMw-_WRV2uOwluje728=s240-c-k-c0x00ffffff-no-rj
55,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,2013-11-20,8880000,6498,https://yt3.ggpht.com/7Rovb42ic91FtDS7hu-xfJVGtDLJXpkurMaKGisFKNRq0seH_qZ74ihhB5YRfEao0I5xiZnu=s240-c-k-c0x00ffffff-no-rj
56,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,2018-02-09,930000,94,https://yt3.ggpht.com/IWSfGiCsmnryxa2pIrSiOt_yf83p9QnFERBTc8P7l6gIslKqDsH2Wow74YRR0gTMRDEwlFoBJg=s240-c-k-c0x00ffffff-no-rj
57,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20921,https://yt3.ggpht.com/y_esGAQOhX4rTpWvrALErAJlFbm_2TIVrvcVfcZny7TuA8dJZgOQcC6KRfd_J5hljFe-foYXj9U=s240-c-k-c0x00ffffff-no-rj
