,video_id,comment,comment_cleaned
0,R0ftmf_Uv9A,No matter how many times these information gets thrown to our eyes. The ignorant will remain put a blind eye to the oppressed which is sad.,no matter how many times these information gets thrown to our eyes. the ignorant will remain put a blind eye to the oppressed which is sad.
1,R0ftmf_Uv9A,Let peace prevail.,let peace prevail.
2,R0ftmf_Uv9A,Why start at 1946?,why start at 1946?
3,R0ftmf_Uv9A,What happened the video was removed and put again!!,what happened the video was removed and put again!!
4,R0ftmf_Uv9A,"This is not a  conflict, this is occupation.","this is not a  conflict, this is occupation."
5,R0ftmf_Uv9A,"*To learn who RULES over you, simply find out who you are NOT allowed to CRITICIZE.*","*to learn who rules over you, simply find out who you are not allowed to criticize.*"
6,R0ftmf_Uv9A,So sad. They were living in peace and now suffering for 7 decades 😢,so sad. they were living in peace and now suffering for 7 decades 😢
7,R0ftmf_Uv9A,Thanks for the video. True history but youtube make it age restricted?,thanks for the video. true history but youtube make it age restricted?
8,R0ftmf_Uv9A,"Very interesting thing is that ,if you will look the map carefully, Israel very smartly captured the areas 1st which are bordering to jordan  to block any type of access through Jordan! So,that it will be easier for Israel to capture whole Palestinian land!!","very interesting thing is that ,if you will look the map carefully, israel very smartly captured the areas 1st which are bordering to jordan  to block any type of access through jordan! so,that it will be easier for israel to capture whole palestinian land!!"
9,Bno1m1zhIWs,Who else is here trying to understand what’s going on right now,who else is here trying to understand what’s going on right now
10,Bno1m1zhIWs,This is the first video which has actually explained things thoroughly! Best way to understand a problem is go back to the original roots of the situation. Thank you for the insight.,this is the first video which has actually explained things thoroughly! best way to understand a problem is go back to the original roots of the situation. thank you for the insight.
11,Bno1m1zhIWs,The best and most concise clip on explaining this conflict I have ever seen.  And in only six minutes.,the best and most concise clip on explaining this conflict i have ever seen.  and in only six minutes.
12,Bno1m1zhIWs,Thank you for this excellent breakdown of the history. So many have never heard the total story. Your summation of the multigenerational conflict was well presented.,thank you for this excellent breakdown of the history. so many have never heard the total story. your summation of the multigenerational conflict was well presented.
13,Bno1m1zhIWs,Great Britain has caused so many problems throughout history,great britain has caused so many problems throughout histori
14,Bno1m1zhIWs,"Not that one will ever put perspective to a child losing their life, but this has helped breakdown of the history summarising of the multigenerational conflict that has led up to date. Thank you for your unbiased insight!","not that one will ever put perspective to a child losing their life, but this has helped breakdown of the history summarising of the multigenerational conflict that has led up to date. thank you for your unbiased insight!"
15,0anQIEeLonA,"From someone who's a history buff, thank you for this unbiased reporting of history.","from someone who's a history buff, thank you for this unbiased reporting of history."
16,0anQIEeLonA,"Cool finally someone telling both sides of the story , the true history and in unbiased way. Nice video worth sharing","cool finally someone telling both sides of the story , the true history and in unbiased way. nice video worth shar"
17,0anQIEeLonA,"I've done some basic research on this subject over the years, but so much of what was presented in this video is new to me...I applaud the creators for giving such a concise and focused account, sharing each side's POV, giving us a much clearer view on the past and present situation 👏🏾👍🏾","i've done some basic research on this subject over the years, but so much of what was presented in this video is new to me...i applaud the creators for giving such a concise and focused account, sharing each side's pov, giving us a much clearer view on the past and present situation 👏🏾👍🏾"
18,0anQIEeLonA,"As a Palestinian, I have always felt some bias from Indian media against us. But I have to be fair, you have done a good job summarizing the history of the conflict. Thanks","as a palestinian, i have always felt some bias from indian media against us. but i have to be fair, you have done a good job summarizing the history of the conflict. thank"
19,0anQIEeLonA,"Amazing synopsis, pertinent timelines, and balanced & unbiased presentation…all done in approx 14 minutes!😂❤ My decree:  This MUST be shared with the multiples!😂","amazing synopsis, pertinent timelines, and balanced & unbiased presentation…all done in approx 14 minutes!😂❤ my decree:  this must be shared with the multiples!😂"
20,0anQIEeLonA,I like this episode because it's really a history that would understand to those who can't understand the history before. Good luck!,i like this episode because it's really a history that would understand to those who can't understand the history before. good luck!
21,0anQIEeLonA,"The most concise , informative explanation of this crisis done in under 14 minutes. I’ll pass this on and hope others do too.","the most concise , informative explanation of this crisis done in under 14 minutes. i’ll pass this on and hope others do too."
22,0anQIEeLonA,This informative video brings a lot of clarity about the ongoing crises in West Asia. Thumbs Up!,this informative video brings a lot of clarity about the ongoing crises in west asia. thumbs up!
23,0anQIEeLonA,Thank you for explaining the reasons for this war from both sides so clearly and factual. I appreciate the history lesson.,thank you for explaining the reasons for this war from both sides so clearly and factual. i appreciate the history lesson.
24,iRYZjOuUnlU,"UK : Prepare for trouble
US : And make it double","uk : prepare for trouble
us : and make it doubl"
25,iRYZjOuUnlU,"""Unless something dramatic changes, whatever comes next will be much worse.""

That sent chills down my spine.","""unless something dramatic changes, whatever comes next will be much worse.""

that sent chills down my spine."
26,iRYZjOuUnlU,Would I be wrong in saying that England kind of botched this entire thing and kind of gets let off the hook for creating a lot of this conflict?,would i be wrong in saying that england kind of botched this entire thing and kind of gets let off the hook for creating a lot of this conflict?
27,iRYZjOuUnlU,*”Unless something drastic happens - whatever comes next will be much worst”* famous last words and oh boy were you right 🥺🥺,*”unless something drastic happens - whatever comes next will be much worst”* famous last words and oh boy were you right 🥺🥺
28,iRYZjOuUnlU,What a great video. A lot of people my age blindly support one side or the other without actually knowing anything about the history at all,what a great video. a lot of people my age blindly support one side or the other without actually knowing anything about the history at al
29,iRYZjOuUnlU,Thank you for this video. It really cleared things up because I was misinformed by one of my acquaintances regarding the history of Palestine-Israel. I'd like to be educated more about this conflict.,thank you for this video. it really cleared things up because i was misinformed by one of my acquaintances regarding the history of palestine-israel. i'd like to be educated more about this conflict.
30,iRYZjOuUnlU,"Britain and France be like: ""Hobbies include drawing straight lines on maps""","britain and france be like: ""hobbies include drawing straight lines on maps"""
31,iRYZjOuUnlU,"""If you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing"". 
- Malcolm X



edit: In order to not ruin anyone's day, I want to clarify that both  the Israeli military and Hamas are in the wrong here. What I was trying to say with that quote was that Israel had no right to do what they did in Gaza and the West bank","""if you're not careful, the newspapers will have you hating the people who are being oppressed, and loving the people who are doing the oppressing"". 
- malcolm x



edit: in order to not ruin anyone's day, i want to clarify that both  the israeli military and hamas are in the wrong here. what i was trying to say with that quote was that israel had no right to do what they did in gaza and the west bank"
32,E4iygQ--7dk,"Another thing, when britain received he mandate over the region, it divided palestina into two part, the eastern part was given to the Hashemite family from Saudi arabia in exchange for their support in the first world war. This is how the state of jordan was created, which is actually part of palestina. Most of the Jordanians are palastinian.","another thing, when britain received he mandate over the region, it divided palestina into two part, the eastern part was given to the hashemite family from saudi arabia in exchange for their support in the first world war. this is how the state of jordan was created, which is actually part of palestina. most of the jordanians are palastinian."
