,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,0,0,20309,196151,0
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,0,0,49829,196151,0
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,0,0,9070,73,0
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,0,0,188553,8643,539
4,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),0,0,2087,8643,539
5,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,0,0,0,1,0
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,0,0,0,0,0
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,0,0,973,0,0
8,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,0,0,2531,35,0
9,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,0,0,0,35,1
10,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,0,0,0,0,0
11,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,0,0,381,226,10
12,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,0,0,0,226,0
13,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,0,0,0,0,0
14,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,0,0,336,145,0
15,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,0,0,183926,29853,0
16,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,0,0,0,0,0
17,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,0,0,106,0,0
18,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,0,0,0,0,0
19,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,0,0,124,1,0
20,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,0,0,14,1,0
21,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,0,0,0,1,0
22,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,0,0,7,0,0
23,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,0,0,12971,6474,0
24,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,0,0,1301748,24,4
25,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,0,0,0,0,0
26,UCGDXj3vSgJ8MCbzbb_C9thA,SLICE Full Doc,0,0,0,0,0
27,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,0,0,0,11450,4
28,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,0,0,131180,0,0
29,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,0,0,0,0,0
30,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,0,0,55,0,0
31,UCupvZG-5ko_eiXAupbDfxWw,CNN,0,0,1278817,51138,188271
32,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,0,0,0,0,0
33,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,0,0,85246,87,0
34,UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,0,0,0,0,1
35,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,0,0,0,13,0
36,UCj5RwDivLksanrNvkW0FB4w,GMA Public  Affairs,0,0,0,0,0
37,UCkeTA80xeSa9POCGRpWTIfQ,travelingisrael.com,0,0,85,0,0
