,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook,Instagram
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,True,True,True,True,True,True
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,False,True,True,True,True,True
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,False,True,True,True,True,True
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,True,False,True,True,True,True
4,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,False,True,True,True,True,True
5,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),False,True,True,True,True,True
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,False,False,True,True,True,True
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,False,True,True,True,True,True
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,False,True,True,True,True,True
9,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,False,False,True,False,True,True
10,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,False,False,True,True,False,True
11,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,False,True,True,True,True,True
12,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,True,True,True,True,True,True
13,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,False,True,True,True,True,True
14,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,True,True,True,True,True,True
15,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,False,False,False,False,True,False
16,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,False,True,True,True,True,True
17,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,False,True,True,True,True,True
18,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,True,False,True,False,True,True
19,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,False,False,True,True,True,True
20,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,False,True,True,True,False,True
21,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,True,True,True,True,True,False
22,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,True,True,True,True,True,True
23,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,True,False,True,True,True,True
24,UCGDXj3vSgJ8MCbzbb_C9thA,SLICE Full Doc,False,False,False,False,False,False
25,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,False,True,True,True,True,True
26,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,False,False,False,True,True,True
27,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,False,True,True,True,True,True
28,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,False,False,False,False,False,True
29,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,True,False,True,True,True,True
30,UCupvZG-5ko_eiXAupbDfxWw,CNN,True,True,True,True,True,True
31,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,True,True,True,True,True,True
32,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,True,True,True,True,True,True
33,UC_xWTNsx7zA2uI0ydQikViA,DawnNews English,False,False,True,True,True,True
34,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,True,True,True,True,True,True
35,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,False,True,True,True,True,True
36,UCmOCpBKeoBPp-HwarhIBA2g,Best Documentary,False,False,True,False,True,False
37,UCkeTA80xeSa9POCGRpWTIfQ,travelingisrael.com,False,False,True,True,True,True
38,UCJsUvAqDzczYv2UpFmu4PcA,Nas Daily,False,True,True,False,True,True
39,UCXIJgqnII2ZOINSWNOGFThA,Fox News,True,True,True,True,True,True
40,UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV,True,False,True,True,True,True
41,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,False,True,True,True,True,True
42,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,False,True,True,True,True,False
43,UCItJsxqZNWUyxFn-A2tzizQ,Priya Jain,True,False,True,True,False,True
44,UCcYvqQ-UuvvFsHNNfwjYEBw,WHAT IS POLITICS?,False,False,False,True,False,False
45,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,False,True,True,True,True,True
46,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,False,False,True,False,False,True
47,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,False,True,True,True,True,True
48,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,False,True,True,True,True,True
49,UCsDTy8jvHcwMvSZf_JGi-FA,Abhi and Niyu,False,False,True,True,True,True
50,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,False,True,True,True,True,True
51,UCW39zufHfsuGgpLviKh297Q,DW Documentary,False,False,True,False,True,True
52,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,True,True,True,True,True,True
53,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,True,True,True,True,True,True
54,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,True,False,True,False,True,True
55,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,True,True,False,True,True,True
56,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,False,True,False,False,False,False
57,UC16niRr50-MSBwiO3YDb3RA,BBC News,False,True,False,True,True,True
58,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,True,True,False,True,True,True
59,UCT350j4u6alUKyF9eu2bGug,ABC10,True,True,True,True,True,True
60,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,False,True,True,True,True,True
61,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,False,False,False,True,True,False
62,UCwHYp-o1OlEVnMRoXLoaaOA,Meaningful People,False,True,False,True,True,True
63,UCnQC_G5Xsjhp9fEJKuIcrSw,Ben Shapiro,True,True,True,True,True,True
64,UCqTa3sNT6SfiQ2DQK_kuWlA,Oneindia News,True,True,False,True,True,True
65,UCHDFNoOk8WOXtHo8DIc8efQ,Mohammed Hijab,False,False,False,True,True,True
66,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,False,True,False,True,True,True
67,UCM6z9wqPxdRHjAC_Pjdp5yQ,Ayn Rand Institute,True,True,False,True,True,True
68,UCUk0AvSMU5CJ0wUqJf9TX8g,Coleman Hughes,True,True,True,True,True,True
69,UCU63EiU7Y-8xcRntPIRVrzA,Unpacked,True,False,False,True,True,True
70,UCmGSJVG3mCRXVOP4yZrU1Dw,Johnny Harris,True,True,False,True,True,True
71,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,True,True,False,True,True,True
72,UCAidhU356a0ej2MtFEylvBA,OnlyIAS Extended,False,False,False,True,True,True
73,UCdZY83VtDv0WieDHLyXrlNQ,Dovahhatty,False,False,False,True,False,False
74,UCAuUUnT6oDeKwE6v1NGQxug,TED,True,False,False,True,True,True
75,UCrydVXgGelI6rEtOmKWAffg,WAS: Popular History,False,True,False,False,False,False
76,UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,True,True,True,True,True,True
77,UCjjX7g9T83GQwp-OwUvoL4Q,Kranthi Vlogger,False,False,False,True,True,False
78,UChDmf55WYF2keOb-khGk1iw,World Map,False,True,False,True,False,False
79,UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,True,False,True,True,True,True
80,UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog,False,True,True,True,True,True
81,UCTjDhFuGXlhx9Us0gq0VK2w,Times Radio,False,True,False,True,True,True
