,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,https://www.linkedin.com/company/trtworld,https://en.wikipedia.org/wiki/TRT_World,trtworld.com,twitter.com/trtworld,facebook.com/TRTWorld
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,,https://en.wikipedia.org/wiki/History,history.com,twitter.com/HISTORY,facebook.com/History
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,,https://en.wikipedia.org/wiki/WION,wionews.com,twitter.com/WIONews,facebook.com/WIONews
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,https://www.linkedin.com/company/vox-com,,vox.com,twitter.com/voxdotcom,facebook.com/vox
4,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,,https://en.wikipedia.org/wiki/Crash_Course_(web_series),,twitter.com/thecrashcourse,facebook.com/YouTubeCrashCourse
5,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),,https://en.wikipedia.org/wiki/ABC_News_(Australia),abc.net.au/news,twitter.com/abcnews,facebook.com/abcnews.au
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,,,,,
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,,https://en.wikipedia.org/wiki/Grunge,grunge.com,,facebook.com/GrungeHQ
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,,https://en.wikipedia.org/wiki/AJ%2B,,twitter.com/ajplus,facebook.com/ajplusenglish
9,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,,,,,facebook.com/TimelineWH
10,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,,,,https://twitter.com/SimonWhistler,
11,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,,https://en.wikipedia.org/wiki/Imperial_War_Museum,,twitter.com/I_W_M,facebook.com/iwm.london
12,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,https://www.linkedin.com/company/pbsnewshour,https://en.wikipedia.org/wiki/PBS_NewsHour,pbs.org/newshour,twitter.com/newshour,facebook.com/newshour
13,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,,https://en.wikipedia.org/wiki/Sky_News_Australia,7news.com.au,twitter.com/7NewsAustralia,facebook.com/7NewsAustralia
14,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,https://www.linkedin.com/company/aljazeera,https://en.wikipedia.org/wiki/Al_Jazeera_English,aljazeera.com,twitter.com/AJEnglish,facebook.com/aljazeera
15,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,,,,,facebook.com/FreeDocumentaryOfficial
16,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,,https://en.wikipedia.org/wiki/OnePath_Network,onepathnetwork.com/dollar-a-day,,facebook.com/OnePathNetwork
17,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,,https://en.wikipedia.org/wiki/Channel_4_News,channel4.com/news,twitter.com/channel4news,facebook.com/channel4news
18,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,https://www.linkedin.com/company/timeghost,,timeghost.tv,,facebook.com/TimeGhostHistory
19,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,,,,twitter.com/keerthihistory?s=21&t=8u7Y_e8M76Ti5tYStQfy1Q,facebook.com/keerthistory?mibextid=LQQJ4d
20,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,,https://en.wikipedia.org/wiki/Then_and_Now,patreon.com/user?u=3517018,twitter.com/lewlewwaller,
21,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,https://www.linkedin.com/company/technical-development-corporation,https://en.wikipedia.org/wiki/TDC,,,
22,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,https://www.linkedin.com/in/ryan-mcbeth-5927a21,https://en.wikipedia.org/wiki/Ryan_MacBeth,ryanmcbeth.com,twitter.com/RyanMcbeth,
23,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,https://www.linkedin.com/company/thearmchairhistorian,,armchairhistory.tv,twitter.com/ArmchairHist,
24,UCGDXj3vSgJ8MCbzbb_C9thA,SLICE Full Doc,,,,,
25,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,https://www.linkedin.com/company/first-post,https://en.wikipedia.org/wiki/Firstpost,firstpost.com,twitter.com/firstpost,facebook.com/firstpostin
26,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,,,theguardian.com,twitter.com/guardianvideo,facebook.com/theguardian
27,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,,https://en.wikipedia.org/wiki/The_Economist,economist.com,,
28,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,,,,,
29,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,https://www.linkedin.com/in/amit-sengupta-infrastructure,,amit-sengupta.com,twitter.com/amitsengupta01,facebook.com/amitsengupta01
30,UCupvZG-5ko_eiXAupbDfxWw,CNN,https://www.linkedin.com/company/cnn,https://en.wikipedia.org/wiki/CNN,cnn.com,twitter.com/cnnbrk,facebook.com/cnn
31,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,https://www.linkedin.com/company/the-daily-show,https://en.wikipedia.org/wiki/The_Daily_Show,,twitter.com/TheDailyShow,facebook.com/thedailyshow
32,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,https://www.linkedin.com/in/david-hoffman-326945160,https://en.wikipedia.org/wiki/David_Hoffman,,,
33,UC_xWTNsx7zA2uI0ydQikViA,DawnNews English,,,dawn.com,twitter.com/dawn_com,facebook.com/dawndotcom
34,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,linkedin.com/company/thebigthink,https://en.wikipedia.org/wiki/Big_Think,bigthink.com,twitter.com/bigthink,facebook.com/BigThinkdotcom
