,video_id,backlinks
0,R0ftmf_Uv9A,51
1,Bno1m1zhIWs,233
2,0anQIEeLonA,20
3,iRYZjOuUnlU,1002
4,zsNj8DiJv-A,2347
5,1wo2TLlMhiw,966
6,E4iygQ--7dk,3
7,ZQUtT3pnw5Q,3
8,h77khc_6l6g,10
9,6foH3Zc82ZQ,812
10,RW105kjNtho,162
11,QZMvfoqrhWw,21
12,fGH94HoSJ2s,706
13,zE8GCX1w3ys,40
14,F1H1SA0F_wY,13
15,kI_spMxp6t8,511
16,ZXfuqUhzESg,218
17,6MVz5MBNqsw,14
18,sR0DsXH0bT4,7
19,OdENyo4HvX4,10
20,Azs7As3MYFU,102
21,HXe9iZQpJ1M,101
22,hdYZtRQ_eeo,15
23,i5UkjhqY4io,39
24,MknerYjob0w,600
25,GR-embMmMQc,28
26,lv1SpwwJEW8,396
27,pjtQ4Jmxh_8,453
28,Z8IR7IhrszQ,8
29,IDj0ghd7xMs,19
30,cfkUE5Q0K04,94
31,rpJ9ICMxA-I,6
32,NeZ4yXyzUG0,333
33,Lb3v8M8dzic,336
34,oIWqTIFRlYU,84
35,m19F4IHTVGc,350
36,8kCTMyh1oqw,3
37,JZIIOp38KYU,4
38,zdq3NVtT6Nc,81
39,4r1EmEni2Rw,54
40,K5tcwIicICg,310
41,x_isZHaZjcU,2
42,iiUIWnU-Ofk,10
43,CISbbt1x2dc,16
44,W5hBL94EFMQ,98
45,Il-Vz6X2ygg,7
46,REWfM4gVtow,14
47,rGVgjS98OsU,1431
48,ZEx5BPckfdg,0
49,nufBpHmWhtQ,49
50,ZEx5BPckfdg,0
51,REWfM4gVtow,14
52,nufBpHmWhtQ,49
53,rGVgjS98OsU,1431
54,XNf40sBcvKk,379
55,cphJJZQtx-U,173
56,zmxJrMpIRh4,10
57,oNW2p0nTEto,50
58,E0uLbeQlwjw,846
59,WiNlxqlNZys,1
60,B12qniUwPMg,29
61,xTcP1R8BFBQ,4
62,jt3PpqaLfxo,190
63,bzdQ770lt-g,35
64,53KolEoTyz0,6
65,GL-Rv2Zy8jQ,1
66,IiLJPkHFkYI,226
67,K2zbN3AuHG8,100
68,kUMYT6tozEg,112
69,wv8F4NLr4E0,108
70,NzlYRGyDSt0,46
71,7Jyc-LzXqk0,209
72,2Qs6kdvprt0,16
73,h7mFQdbpJ3Q,14656
74,klXaDgmM8Fs,131
75,KR9sWRzbdJw,86
76,QUCeQt8zg5o,1949
77,ECscKICzsJ0,369
78,r21iN7JYu2Y,67
79,0aM7RjXE1xo,0
80,GYW9428fjQg,7
81,Mw9YM0Kbtvo,14
82,mITaDOAUAQE,23
83,0MMBVEQbF8Y,17
84,btVFgqkgkzw,14969
85,-rBGgIaO69c,44
86,qR5TCBBhihY,0
87,KjhMAMAPgeM,2454
88,EhbLy11U8x4,19
89,VZ4ruk3KO48,357
90,cn3RUZsaPmg,61
91,oHlx5fB94bc,24
92,Xxb1a8k0O2I,10
93,TGvifbr6sBg,3
94,9n5GX1gUvCI,1
95,a34zpFaoBoM,127
96,yQ1b1IQ_KJY,10
97,veMFCFyOwFI,373
98,LVtt_8GTGB8,17
