,channel_id,profiles,p_desc,external_sites,e_desc,LinkedIn,li_desc,Wiki,wi_desc,Website,we_desc,Twitter,tw_desc,Facebook,fb_desc
0,UC7fWeaHhqgM4Ry-RMpM2YYw,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,0.0,Less than 25 backlinks
1,UC9MAhZQQd9egwWCxrwSIsJQ,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,1.0,"At least 3,000 backlinks",1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,0.0,Less than 25 backlinks
2,UC_gUM8rL-Lrg6O3adPW9K1g,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.25,"At least 500 but less than 1,500 backlinks",1.0,"At least 3,000 backlinks",0.5,At least 50 but less than 100 backlinks,0.0,Less than 25 backlinks
3,UCLXo7UDZvByw2ixzpQCufnA,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.25,At least 25 but less than 50 backlinks,0.0,Less than 500 backlinks,1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,1.0,At least 100 backlinks
4,UCX6b17PVsYBQ0ip5gyeme-Q,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
5,UCVgO39Bk5sMo66-6o6Spn6Q,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.5,"At least 1,500 but less than 3,000 backlinks",0.5,"At least 1,500 but less than 3,000 backlinks",1.0,At least 100 backlinks,1.0,At least 100 backlinks
6,UC0yLX6hpcYhAU3iVjhwD5-A,0.0,Has no existing profiles,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
7,UCWlIGsKGsvgFJHkiZml4O1A,0.25,ONLY has an existing Facebook OR Twitter/X profile,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,1.0,"At least 3,000 backlinks",0.25,"At least 500 but less than 1,500 backlinks",0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
8,UCV3Nm3T-XAgVhKH9jT0ViRg,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.5,"At least 1,500 but less than 3,000 backlinks",0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.0,Less than 25 backlinks
9,UC88lvyJe7aHZmcvzvubDFRg,0.25,ONLY has an existing Facebook OR Twitter/X profile,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
10,UC9h8BDcXwkhZtnqoQJ7PggA,0.25,ONLY has an existing Facebook OR Twitter/X profile,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.0,Less than 25 backlinks
11,UC3uAjWoLZ4bSi6qI9SjALxA,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.5,"At least 1,500 but less than 3,000 backlinks",0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.0,Less than 25 backlinks
12,UC6ZFN9Tx6xh-skXCuRHCDpQ,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.5,"At least 1,500 but less than 3,000 backlinks",0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.0,Less than 25 backlinks
13,UC5T7D-Dh1eDGtsAFCuwv_Sw,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.25,"At least 500 but less than 1,500 backlinks",0.5,"At least 1,500 but less than 3,000 backlinks",0.25,At least 25 but less than 50 backlinks,0.0,Less than 25 backlinks
14,UCNye-wNBqNL5ZzHSJj3l8Bg,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.5,At least 50 but less than 100 backlinks,1.0,"At least 3,000 backlinks",1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,1.0,At least 100 backlinks
15,UCsgPO6cNV0wBG-Og3bUZoFA,0.25,ONLY has an existing Facebook OR Twitter/X profile,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
16,UCQHRLH8RQIrdGWMhf5heWiA,0.25,ONLY has an existing Facebook OR Twitter/X profile,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
17,UCTrQ7HXWRRxr7OsOtodr2_w,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.25,"At least 500 but less than 1,500 backlinks",0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.0,Less than 25 backlinks
18,UCLfMmOriSyPbd5JhHpnj4Ng,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
19,UCK-HHyVCfKYzhxVOJgBt73w,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
20,UCkS_HP3m9NXOgswVAKbMeJQ,0.25,ONLY has an existing Facebook OR Twitter/X profile,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
21,UCWQ9ZFFhEqUZ0r1IspnBm6Q,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
22,UC8URMa1fI4rlaLc-Lhev2fQ,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
23,UCeUJFQ0D9qs6aVNyUt9fkeQ,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
24,UCGDXj3vSgJ8MCbzbb_C9thA,0.0,Has no existing profiles,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
25,UCz8QaiQxApLq8sLNcszYyJw,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.25,"At least 500 but less than 1,500 backlinks",1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,0.0,Less than 25 backlinks
26,UCIRYBXDze5krPDzAEOxFGVA,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,1.0,"At least 3,000 backlinks",0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
27,UC0p5jTq6Xx_DosDFxVXnWaQ,0.0,Has no existing profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,1.0,"At least 3,000 backlinks",1.0,"At least 3,000 backlinks",0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
28,UC7JrMLRDJLUh5BPBYykMcrQ,0.0,Has no existing profiles,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
29,UCYCVm1aN33HYdLs66DHw_ow,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
30,UCupvZG-5ko_eiXAupbDfxWw,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,1.0,At least 100 backlinks,1.0,"At least 3,000 backlinks",1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,1.0,At least 100 backlinks
31,UCwWhs_6x42TyRM4Wstoq8HA,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,1.0,"At least 3,000 backlinks",0.0,Less than 500 backlinks,1.0,At least 100 backlinks,0.25,At least 25 but less than 50 backlinks
32,UC6wBro4B4pf9xnBh9Xi2zcQ,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
33,UC_xWTNsx7zA2uI0ydQikViA,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.25,Has existing official website BUT no Wikipedia page,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,1.0,"At least 3,000 backlinks",1.0,At least 100 backlinks,0.25,At least 25 but less than 50 backlinks
34,UCvQECJukTDE2i6aCoMnS-Vg,1.0,Has existing LinkedIn AND Facebook OR Twitter/X profiles,1.0,Has existing official Wikipedia page AND website,0.0,Less than 25 backlinks,0.25,"At least 500 but less than 1,500 backlinks",1.0,"At least 3,000 backlinks",0.5,At least 50 but less than 100 backlinks,0.0,Less than 25 backlinks
35,UC-CSyyi47VX1lD9zyeABW3w,0.5,ONLY has existing LinkedIn OR Facebook AND Twitter/X profiles,0.5,Has existing official Wikipedia page BUT no website,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
36,UCmOCpBKeoBPp-HwarhIBA2g,0.25,ONLY has an existing Facebook OR Twitter/X profile,0.0,Has no existing external sites,0.0,Less than 25 backlinks,0.0,Less than 500 backlinks,0.0,Less than 500 backlinks,0.0,Less than 25 backlinks,0.0,Less than 25 backlinks
