,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,16,406,20309,196151,0
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,0,24121,49829,308,1
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,0,820,9070,73,0
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,16,0,188553,73,0
4,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),0,1945,2087,8643,539
5,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,0,22,0,1,0
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,0,0,0,0,0
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,0,6613,973,0,0
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,0,1754,0,788,1
9,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,0,0,0,788,0
10,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,0,0,0,0,0
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,0,717,2531,35,0
12,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,0,2207,0,145,0
13,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,2,2181,381,226,10
14,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2,8404,183926,29853,312
15,UCK-HHyVCfKYzhxVOJgBt73w,Keerthi History,0,0,0,0,0
16,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,0,0,0,0,0
17,UCQHRLH8RQIrdGWMhf5heWiA,OnePath Network,0,15,0,0,0
18,UCTrQ7HXWRRxr7OsOtodr2_w,Channel 4 News,0,797,336,0,0
19,UCkS_HP3m9NXOgswVAKbMeJQ,Then & Now,0,11,124,1,0
20,UCLfMmOriSyPbd5JhHpnj4Ng,TimeGhost History,4,0,106,0,0
21,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,1,0,7,0,0
22,UCz8QaiQxApLq8sLNcszYyJw,Firstpost,0,819,12971,0,0
23,UCWQ9ZFFhEqUZ0r1IspnBm6Q,TDC,7,188,0,0,0
24,UC8URMa1fI4rlaLc-Lhev2fQ,Ryan McBeth,3,14,14,1,0
25,UC0p5jTq6Xx_DosDFxVXnWaQ,The Economist,0,15004,131180,0,0
26,UC7JrMLRDJLUh5BPBYykMcrQ,History on Maps,0,0,0,0,0
27,UC6wBro4B4pf9xnBh9Xi2zcQ,David Hoffman,3,66,0,0,0
28,UCwWhs_6x42TyRM4Wstoq8HA,The Daily Show,0,6033,0,11450,28
29,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,0,0,1301748,24,4
30,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,0,781,85246,87,0
31,UCYCVm1aN33HYdLs66DHw_ow,Amit Sengupta,0,0,55,0,0
32,UC-CSyyi47VX1lD9zyeABW3w,Dhruv Rathee,0,382,0,13,0
33,UC73H5p3GP8b5N1f3hozIXyQ,TBN Israel,0,0,0,0,0
34,UCxX8HALRumMSt7hb4O6Noyg,The History Hub,0,0,0,0,0
35,UCJsUvAqDzczYv2UpFmu4PcA,Nas Daily,0,213,31,0,0
36,UCGwO43-vnmkQ2i1v886JjVw,Casual Historian,0,0,0,0,214
37,UC3ScyryU9Oy9Wse3a8OAmYQ,FRONTLINE PBS | Official,0,0,2,4334,214
38,UCsufaClk5if2RGqABb-09Uw,The Rest Is Politics,0,1,0,0,0
39,UCkeTA80xeSa9POCGRpWTIfQ,travelingisrael.com,0,0,85,0,0
40,UCA295QVkf9O1RQ8_-s3FVXg,Aevy TV,1,0,30,0,0
41,UCItJsxqZNWUyxFn-A2tzizQ,Priya Jain,1,0,0,0,0
42,UCknLrEdhRCp1aegoMqRaCZg,DW News,0,403,0,544,8
43,UCK0UUsCjtMRNtS3BPh1Yc4w,ABC Action News,0,238,3311,1452,8
44,UCWUA2W6LueNy9BSovivFVvQ,CBC Kids News,0,99,1,0,0
45,UCef1-8eOpJgud7szVPlZQAQ,CNN-News18,0,536,31634,3,0
46,UCJEDFSxHHOW1PpBccdSxOTA,The Indian Express,0,3335,85822,2523,0
47,UCZaT_X_mc0BI-djXOlfhqWQ,VICE News,3,3595,11654,1187,0
48,UC1pfsmDBnMQB8sOuQvmTvRQ,BYJU'S IAS,0,1171,0,0,0
49,UCW39zufHfsuGgpLviKh297Q,DW Documentary,0,0,0,0,0
50,UCfAOh2t5DpxVrgS9NQKjC7A,The Onion,3,2929,107446,1187,0
51,UCJFOER35ggIWwsXh2ZDnqyg,The Economic Times,0,2698,0,6754,0
52,UC16niRr50-MSBwiO3YDb3RA,BBC News,0,148641,5292,6754,6
53,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,0,26099,0,9325,6
54,UCeY0bbntWzzVIaj2z3QigXg,NBC News,0,9160,244326,1457,5
55,UC2Cl2g2xFTZoAEldxYVzQFg,Geo History,0,0,0,0,0
56,UCrC8mOqJQpoB7NuIMKIS6rQ,StudyIQ IAS,0,0,0,0,0
57,UC1EasxeXGzoXJb2y3HTMsLA,Yishai Fleisher,0,64,123,17,0
58,UCHvGJ-eAV8krPgqofo65WYQ,Illustrate to Educate,0,0,0,0,0
59,UCT350j4u6alUKyF9eu2bGug,ABC10,0,0,2906,190,190
60,UCqTa3sNT6SfiQ2DQK_kuWlA,Oneindia News,0,0,8444,26,2
61,UCUk0AvSMU5CJ0wUqJf9TX8g,Coleman Hughes,1,0,402,11,0
62,UCzb-6smlTg5UPirLdsdQ_cQ,Foil Arms and Hog,0,0,143,1,1
63,UCL_A4jkwvKuMyToAPy3FQKQ,Council on Foreign Relations,0,0,8137,0,1
64,UCXIJgqnII2ZOINSWNOGFThA,Fox News,0,0,239,0,9
65,UCFQgi22Ht00CpaOQLtvZx2A,ITV News,0,0,1247,38485,2
66,UCHDFNoOk8WOXtHo8DIc8efQ,Mohammed Hijab,0,0,3,2,0
67,UCAuUUnT6oDeKwE6v1NGQxug,TED,0,0,423848,2,0
68,UCP5tjEmvPItGyLhmjdwP7Ww,RealLifeLore,0,0,0,0,0
69,UCsN32BtMd0IoByjJRNF12cw,60 Minutes,0,0,464,4866,0
70,UCupvZG-5ko_eiXAupbDfxWw,CNN,0,0,1278817,51138,0
71,UC6WzPg6yxF9dQx2_O6R4lww,Nitish Rajput,0,0,2,0,0
72,UCJjSDX-jUChzOEyok9XYRJQ,Jubilee,0,0,90,3,1
73,UCKPxuul6zSLAfKSsm123Vww,The Cārvāka Podcast,0,0,0,0,0
74,UC7lArlQ18UhSjXwO--aykhQ,Unraveling the Scriptures,0,0,0,0,0
75,UCU63EiU7Y-8xcRntPIRVrzA,Unpacked,0,0,364,0,0
76,UCj5RwDivLksanrNvkW0FB4w,GMA Public  Affairs,0,0,0,0,0
77,UCIHdDJ0tjn_3j-FS7s_X1kQ,Valuetainment,0,0,0,0,0
78,UCR0fZh5SBxxMNYdg0VzRFkg,Middle East Eye,0,0,52066,0,0
79,UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,0,0,52066,1447,0
80,UCoNUtq2hO0VBcwoXX0-f4vA,Jewish Voice for Peace,0,0,14816,0,0
81,UChDmf55WYF2keOb-khGk1iw,World Map,0,0,0,0,0
82,UCHd62-u_v4DvJ8TCFtpi4GA,Washington Post,0,0,6,1,0
83,UCdZY83VtDv0WieDHLyXrlNQ,Dovahhatty,0,0,0,0,0
