,channel_id,channel_name,LinkedIn,Wiki,Website,Twitter,Facebook
0,UC7fWeaHhqgM4Ry-RMpM2YYw,TRT World,https://www.linkedin.com/company/trtworld,nan,trtworld.com,twitter.com/trtworld,facebook.com/TRTWorld
1,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,nan,https://en.wikipedia.org/wiki/History,history.com,twitter.com/HISTORY,facebook.com/History
2,UC_gUM8rL-Lrg6O3adPW9K1g,WION,nan,nan,wionews.com,twitter.com/WIONews,facebook.com/WIONews
3,UCLXo7UDZvByw2ixzpQCufnA,Vox,https://www.linkedin.com/company/vox-com,nan,vox.com,twitter.com/voxdotcom,facebook.com/vox
4,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),nan,https://en.wikipedia.org/wiki/ABC_News_(Australia),abc.net.au/news,twitter.com/abcnews,facebook.com/abcnews.au
5,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,nan,nan,nan,twitter.com/thecrashcourse,facebook.com/YouTubeCrashCourse
6,UC0yLX6hpcYhAU3iVjhwD5-A,TRT Afrika,nan,nan,nan,nan,nan
7,UCWlIGsKGsvgFJHkiZml4O1A,Grunge,nan,https://en.wikipedia.org/wiki/Grunge,grunge.com,nan,facebook.com/GrungeHQ
8,UCV3Nm3T-XAgVhKH9jT0ViRg,AJ+,nan,nan,nan,twitter.com/ajplus,facebook.com/ajplusenglish
9,UC9h8BDcXwkhZtnqoQJ7PggA,Warographics,nan,nan,nan,https://twitter.com/SimonWhistler,nan
10,UCsgPO6cNV0wBG-Og3bUZoFA,Free Documentary - History,nan,nan,nan,nan,facebook.com/FreeDocumentaryOfficial
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,nan,nan,7news.com.au,twitter.com/7NewsAustralia,facebook.com/7NewsAustralia
12,UC3uAjWoLZ4bSi6qI9SjALxA,Imperial War Museums,nan,nan,nan,twitter.com/I_W_M,facebook.com/iwm.london
