,channel_id,vs
0,UC7fWeaHhqgM4Ry-RMpM2YYw,
1,UC9MAhZQQd9egwWCxrwSIsJQ,
2,UC_gUM8rL-Lrg6O3adPW9K1g,
3,UCLXo7UDZvByw2ixzpQCufnA,
4,UCVgO39Bk5sMo66-6o6Spn6Q,
5,UCX6b17PVsYBQ0ip5gyeme-Q,
6,UC0yLX6hpcYhAU3iVjhwD5-A,
7,UCWlIGsKGsvgFJHkiZml4O1A,
8,UCV3Nm3T-XAgVhKH9jT0ViRg,
9,UC9h8BDcXwkhZtnqoQJ7PggA,
10,UCsgPO6cNV0wBG-Og3bUZoFA,
11,UC5T7D-Dh1eDGtsAFCuwv_Sw,
12,UC3uAjWoLZ4bSi6qI9SjALxA,
13,UC6ZFN9Tx6xh-skXCuRHCDpQ,
14,UCNye-wNBqNL5ZzHSJj3l8Bg,
15,UCK-HHyVCfKYzhxVOJgBt73w,
16,UC88lvyJe7aHZmcvzvubDFRg,
17,UCQHRLH8RQIrdGWMhf5heWiA,
18,UCTrQ7HXWRRxr7OsOtodr2_w,
19,UCkS_HP3m9NXOgswVAKbMeJQ,
20,UCLfMmOriSyPbd5JhHpnj4Ng,
21,UCeUJFQ0D9qs6aVNyUt9fkeQ,
22,UCz8QaiQxApLq8sLNcszYyJw,
23,UCWQ9ZFFhEqUZ0r1IspnBm6Q,
24,UC8URMa1fI4rlaLc-Lhev2fQ,
25,UC0p5jTq6Xx_DosDFxVXnWaQ,
26,UC7JrMLRDJLUh5BPBYykMcrQ,
27,UC6wBro4B4pf9xnBh9Xi2zcQ,
28,UCwWhs_6x42TyRM4Wstoq8HA,
29,UCIRYBXDze5krPDzAEOxFGVA,
30,UCvQECJukTDE2i6aCoMnS-Vg,
31,UCYCVm1aN33HYdLs66DHw_ow,
32,UC-CSyyi47VX1lD9zyeABW3w,
33,UC73H5p3GP8b5N1f3hozIXyQ,
34,UCxX8HALRumMSt7hb4O6Noyg,
35,UCJsUvAqDzczYv2UpFmu4PcA,
36,UCGwO43-vnmkQ2i1v886JjVw,
37,UC3ScyryU9Oy9Wse3a8OAmYQ,
38,UCsufaClk5if2RGqABb-09Uw,
39,UCkeTA80xeSa9POCGRpWTIfQ,
40,UCA295QVkf9O1RQ8_-s3FVXg,
41,UCItJsxqZNWUyxFn-A2tzizQ,
42,UCknLrEdhRCp1aegoMqRaCZg,
