,video_id,backlinks
0,R0ftmf_Uv9A,51
1,Bno1m1zhIWs,233
2,0anQIEeLonA,20
3,iRYZjOuUnlU,1002
4,zsNj8DiJv-A,2347
5,1wo2TLlMhiw,966
6,E4iygQ--7dk,3
7,ZQUtT3pnw5Q,3
8,6foH3Zc82ZQ,812
9,hdYZtRQ_eeo,15
10,ZXfuqUhzESg,218
11,h77khc_6l6g,10
12,fGH94HoSJ2s,706
13,QZMvfoqrhWw,21
14,kI_spMxp6t8,511
15,sR0DsXH0bT4,7
16,RW105kjNtho,162
17,zE8GCX1w3ys,40
18,F1H1SA0F_wY,13
19,OdENyo4HvX4,10
20,6MVz5MBNqsw,14
21,i5UkjhqY4io,39
22,HXe9iZQpJ1M,101
23,GR-embMmMQc,28
24,4r1EmEni2Rw,54
25,MknerYjob0w,600
26,Azs7As3MYFU,102
27,pjtQ4Jmxh_8,453
28,lv1SpwwJEW8,396
29,oIWqTIFRlYU,84
30,m19F4IHTVGc,84
31,cfkUE5Q0K04,94
32,NeZ4yXyzUG0,94
33,IDj0ghd7xMs,19
34,Lb3v8M8dzic,336
35,Z8IR7IhrszQ,8
36,K5tcwIicICg,310
37,JZIIOp38KYU,4
38,CISbbt1x2dc,16
39,Il-Vz6X2ygg,7
40,ZDvdJJZhN08,25
41,CGxr06nDW1M,2117
42,E0uLbeQlwjw,846
43,oNW2p0nTEto,50
44,k1iMr0NzFf0,50
45,jt3PpqaLfxo,190
46,nufBpHmWhtQ,49
47,xAs5EOBUDcs,49
48,B12qniUwPMg,29
49,rGVgjS98OsU,1431
50,XNf40sBcvKk,379
51,zmxJrMpIRh4,10
52,xAs5EOBUDcs,561220
53,GL-Rv2Zy8jQ,1
54,VA2tiAHmbm0,13
55,0aM7RjXE1xo,0
56,cphJJZQtx-U,173
57,WiNlxqlNZys,1
58,REWfM4gVtow,14
59,53KolEoTyz0,6
60,r21iN7JYu2Y,6
61,xTcP1R8BFBQ,4
62,kUMYT6tozEg,112
63,ECscKICzsJ0,369
64,W5hBL94EFMQ,98
65,qR5TCBBhihY,0
66,QUCeQt8zg5o,1949
67,nERZr_d343w,8
68,VZ4ruk3KO48,357
69,0MMBVEQbF8Y,17
70,aEdGcej-6D0,384
71,eTMRMX7Pw5U,9
72,r_e1ytlC5Vo,72
73,IiLJPkHFkYI,226
74,-rBGgIaO69c,44
75,KR9sWRzbdJw,86
76,BX4KlZWxNtk,0
77,oHlx5fB94bc,0
78,8IIbLFGkurw,0
79,mITaDOAUAQE,23
80,KjhMAMAPgeM,2454
81,Xxb1a8k0O2I,10
82,LVtt_8GTGB8,17
83,TGvifbr6sBg,3
84,cn3RUZsaPmg,61
85,xv_-B6uwpuU,11
86,wv8F4NLr4E0,108
87,veMFCFyOwFI,373
88,0vwkfJb7FEc,37
89,Hzntl-YJe04,50
90,B7FvF7DBI9s,1
91,kbPnF8Hvj0I,84
92,Mw9YM0Kbtvo,14
93,O454c_qs5kI,33
94,2CVoPLea5_Q,60
95,Y7a5Yww8mMc,4
96,cGZE6Yh0X6M,7
97,wQmBsbt9blg,152
98,H7FML0wzJ6A,395
