,channel_id,channel_name,channel_dop,sub_count,total_videos
0,UC4SUWizzKc1tptprBkWjX2Q,South China Morning Post,2007-01-18,3850000,17174
1,UCPgLNge0xqQHWM5B5EFH9Cg,The Telegraph,2006-11-19,5350000,33369
2,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,2006-11-23,13000000,112253
3,UCvi6hEzLM-Z_unKPSuuzKvg,ANC 24/7,2010-01-29,1580000,75393
4,UC_Lnb8ZHqqgLbp-7hltuT9w,CNA Insider,2014-03-12,1670000,4249
5,UCvRAX-ujvZ0eTMLGG2vki9w,INQUIRER.net,2012-03-15,1680000,35339
6,UC16niRr50-MSBwiO3YDb3RA,BBC News,2006-04-08,15700000,20964
7,UC83jt4dlz1Gjl58fzQrrKZg,CNA,2006-10-24,2380000,36780
8,UCdnZdQxYXnbN4uWJg96oGxw,Rappler,2011-12-02,2010000,51020
9,UCE2606prvXQc_noEqKxVJXA,ABS-CBN News,2009-10-22,15900000,223795
10,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8540000,141534
11,UC3XaG-7UVi2vD8ZZEMNnnpw,UNTV News and Rescue,2014-05-30,3880000,98380
12,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,2007-03-01,3160000,50552
13,UChLtXXpo4Ge1ReTEboVvTDg,Global News,2009-11-04,4160000,38502
14,UCSwwFP8hhA0Spah0ZUKZQVQ,UNICEF USA,2007-01-20,28300,829
15,UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,2013-08-21,4340000,34768
16,UC5664f6TkaeHgwBly50DWZQ,Manila Bulletin Online,2013-11-28,820000,16253
17,UCVSNOxehfALut52NbkfRBaA,Voice of America,2008-03-14,3210000,47064
18,UCQfwfsi5VrQ8yKZ-UWmAEFg,FRANCE 24 English,2007-04-04,2920000,96899
19,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5050000,33483
20,UCvCZ0jX-J3Z-7jXtWzmv79w,UNICEF Philippines,2009-10-05,17700,383
21,UC8p1vwvWtl6T73JiExfWs1g,CBS News,2006-09-27,5670000,120116
22,UCoTrrnpqNOqR_yhrv6KIHiA,FEATR,2006-09-20,3360000,930
23,UCqYw-CTd1dU2yGI71sEyqNw,GMA Integrated News,2007-10-29,14400000,320080
24,UCz2MlDYRidHyyubC4r7dQcA,Behind Philippines,2022-05-28,15800,136
25,UC4p_I9eiRewn2KoU-nawrDg,The Straits Times,2011-09-30,562000,29497
26,UCgHMBsUeTBqZyG8dkGbbVKQ,TVUP,2016-10-27,28900,943
27,UCXTuTQZarVcFR_fgQXvsLpw,Gulf News,2008-04-17,448000,6918
28,UCJq1YV3cJbJNs_xxp5_P7vQ,Doctor Wessam Atif,2010-12-10,727,18
29,UCzfEqx1_-zs2xUUzI3jVRSg,FinnSnow,2007-11-11,529000,749
30,UCm7lHFkt2yB_WzL67aruVBQ,Hindustan Times,2005-11-16,6630000,59473
31,UCpWvshQVx1d7BqCsPnVuNIw,The Star,2007-04-25,1340000,65593
32,UC4pMugpCikfWueXEV7sr3Mw,Diseases Simplified,2019-06-12,13100,182
33,UCHeFV2atoLtgdKH4iu29orA,Delightful Travellers,2015-11-08,145000,568
34,UChirEOpgFCupRAk5etXqPaA,Bloomberg Quicktake,2018-02-28,1640000,32010
35,UCk-jQBBb6VOKjpOPOP-wsKg,VFam TV,2020-08-25,59200,411
36,UC2-_WWPT_124iN6jiym4fOw,Asian Boss,2013-10-29,3750000,1357
37,UCNTTTRCsrNvKRW6ywNlIpaw,PIDS,2015-05-27,1040,1274
38,UCAqH9tNLWEMuZ4XUfnOA8mA,The Asset,2012-10-26,603,961
39,UCmv5DbNpxH8X2eQxJBqEjKQ,CCTV Video News Agency,2014-12-24,538000,31295
40,UCyXSgGAZ1eBSri9-0lLnLLg,Adventures in America,2017-08-17,107000,630
41,UCPdKjHVKCF-YFvqHyh9uzvA,Esco Lifesciences Group,2009-06-23,6140,469
42,UCtjV1_XU6gvPYyreaFScxBQ,Huawei,2010-07-15,1400000,2712
43,UCRTJRyL1DlEuftta5gc0V2A,U.S. Embassy in the Philippines,2009-09-18,28500,506
44,UCyXuLyJy9NwQkwjnDx-G1eQ,Ateneo de Manila University,2013-09-09,38200,1177
45,UCYmc5WUzNEvw_WfvZj5JrrQ,Cold Chain Innovation Hub Philippines,2020-06-01,285,38
46,UCsAueyuPjaPGcSfR3bIBPUg,Philstar News,2008-08-26,224000,8292
47,UCVoawkpW12kgtXgInbPCrhQ,GMA Regional TV,2016-02-26,753000,107928
48,UCADc3xF4LpddrTrOTfXE6mQ,WHO Philippines,2017-10-06,6740,153
49,UCgrNz-aDmcr2uuto8_DL2jg,CGTN,2013-01-24,3090000,126162
50,UCGFwGipBAxSdFQc43aCgr4g,Yahoo Southeast Asia,2019-03-25,3700,1164
51,UClMlXTxpTNMZRE4AEjlc5RA,Gio in the Philippines,2011-09-11,54600,1019
52,UCgoyFuAY1c0175EMJZ6tE7A,KLIPP TV,2015-05-04,846,191
53,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,2012-06-01,40800000,358384
54,UCv-FHzXSnZVGs9ofwrM4-Fg,Indian Council Of Social Science Research ICSSR,2018-05-23,898,37
