,video_id,comment
0,aLZ85hb4wjE,Loved the calmness of Manilla.
1,aLZ85hb4wjE,"After this pandemic I think every country should have a lockdown every month to give mother nature a time to heal, with all the pollution that the earth is experiencing."
2,aLZ85hb4wjE,manila looks beautifull with less people
3,aLZ85hb4wjE,"The lockdown makes the city look like a place I want to explore.

Before the lockdown, it looked like a crowded mess filled with traffic and pollution."
4,aLZ85hb4wjE,India also same
5,aLZ85hb4wjE,The president promised that he'll do his best to ease the traffic in the metro like 5mins of travel along EDSA. Fortunately it happened but unfortunately it wasn't in the ideal way. Nature's sense of humor tho.
6,aLZ85hb4wjE,"I went up the viewing spot at antipolo, its a very beautiful, almost smog free view of the metro skyline"
7,aLZ85hb4wjE,The sad part is people around the world did not intend to heal earth but afraid of death.
8,aLZ85hb4wjE,i hope it stays like this forever its beautiful with no messy people
9,aLZ85hb4wjE,2020 is the year when nature fight back and reduce human emission dramatically.
10,sdsz-t540WI,The people of The Philippines are so smart and strong. They endure and work incredibly hard. Much love. Make use of online fundraising campaign sights. People will donate. 💯💗
11,sdsz-t540WI,"If you take out the paychecks of the government officials from the President down to the Barangay level, I bet  these people will be the first one to protest against lockdown."
12,sdsz-t540WI,hello sa mga classmates kong nanonood dahil sa documentary veiwing. buhay pa ba guys?
13,sdsz-t540WI,Bersyukurlah buat mereka yg punya kehidupan yg lebih baik. Kadang2 hidup perlu lihat ke bawah agar kita sentiasa bersyukur🤲🤲
14,sdsz-t540WI,Module brought me here 🤧🤦
15,sdsz-t540WI,"God is our only hope in times like these! I pray for y'all in need, the sick, disabled, y'all that have lost loved ones, may the lord and our saviour meet y'all    at point of need🙏."
16,sdsz-t540WI,"I thank God, me and my daughter still on job. We don't have much to worry. We never rent a house and pay water bill, just the electric bill."
17,sdsz-t540WI,Kaway sa mga pumunta dahil sa module
18,sdsz-t540WI,I’m curious with all of this going on why the Philippine peso is so strong against the dollar compared to before the pandemic. I would just assume that the patient would lose value based on the devastation to the economy. And yes the USA lost value as well I agree I’m just curious how this is all working out and why
19,sdsz-t540WI,Instead of focusing on the pandemic effect the govt is busy on the closure of a giant network.
20,E5F3xA_zkFc,"Many people were really hungry during the pandemic, they couldn't go to work, there was no salary, there was no way to eat, I cried in this documentary😭😭😭"
21,E5F3xA_zkFc,What's sad is that these are the same people who still vote for corrupt officials.
22,E5F3xA_zkFc,Very sad and disturbing.  My prayers are with all the people who are hungry and unemployed.
23,E5F3xA_zkFc,Very good documentary.
24,E5F3xA_zkFc,"Perfect docu , can't believe it's happening now, feels like it happened 20 yrs ago"
25,E5F3xA_zkFc,This is ridiculous! The country needs to open up to survive.
26,E5F3xA_zkFc,"As a Melbournian in Australia, I will not complain again after this."
27,E5F3xA_zkFc,I can't fathom why the rich received any kind of aid.  Corruption is sky high in the Philippines.  May God right the wrong.
28,E5F3xA_zkFc,"Thank god i live in a defiant nation, when state ordered businesses to close down, people collectively showed them middle finger."
29,E5F3xA_zkFc,"""Those who are just starting to get hungry can wait...."""
30,sYI97jv-pZg,Panahon ng ubo at sipon ngayon  kasi malamig ang panahon   ....ngayon covid uli amg impression
31,sYI97jv-pZg,Ala n covid tngina
32,3YFpjgIQqEo,Dito ba sa bahrainganyan din ang mnga sakit nun pangpanahon nang ninunu yan ngyun tumanda na aki ganyan ang sakit pag dumarating taglamig
33,3YFpjgIQqEo,Ganito talaga pag tag lamig pina palala lang ng mga para nman kumita
34,3YFpjgIQqEo,Season ng ubo at sipon ngayon dito sa Pinas tapos ang panahon natin malamig sa madaling araw paggdating sa umaga hangang gabi mainit ang kawawa diyan yung walang aircon sa bahay tapos pagpasok  sa trabaho aircon yung body temperature nila pabago bago di lalong nagkakasakit ng ubo at sipon ..atibp
35,3YFpjgIQqEo,Mahirap pagalingin tumatagal Ng 2_3wks.dito sa nueva Ecija.
36,3YFpjgIQqEo,Maglaga ng luya inumin..
37,3YFpjgIQqEo,"😊😊









😊"
38,3YFpjgIQqEo,Hindi biro na sabihin nyo na simpleng ubot sipon lang Yan dahil Yung kapatid ko ganyan Ang sintomas dalawang hospital Ang pinag dalhan namin parehas na covid Ang labas hirap din syang huminga
39,3YFpjgIQqEo,Marami nang inuubo nilalagnat dito sa pilipinas Hindi Lang sa china.
40,3YFpjgIQqEo,"PRAISE GOD THERE ARE ONLY 18 CASES OUT OF 114 MILLION PEOPLE !!
 THANK YOU LORD WE ARE ALL HEALTHY !
 COVID IS OVER !!"
41,3YFpjgIQqEo,Monkey business is big profits
42,MQ5aYS4YFlQ,For greater INSIGHT into the top issues affecting Asia: https://youtube.com/playlist?list=PLkMf14VQEvTaHr6oTqYbWqKOsmcveuhca
43,MQ5aYS4YFlQ,"The poor gets poorer and the rich gets richer, that's how our country works... Even our farmers is not paid fairly..."
44,MQ5aYS4YFlQ,"I became a Housemaid at the age of 13, so I can go to high school at night.  My parents had 9 children. I’ve experienced nothing but poverty in my childhood.  It was harder for us, the older children. I wondered, even at 4 years old, why children are considered as “blessings”, when we were all SUFFERING.  
There was no Pandemic in those days, but POVERTY was crippling us."
45,MQ5aYS4YFlQ,I was born and raised in Cebu Philippines in one of those slums. I have lived in Florida for 15 yrs now and I am so grateful to be able to help my family during these tough times. I bought my mom a duplex out in the country in 2016 so She is no longer living in the slums. It still feels like yesterday when we had to pawn Our clothes so we can buy food. I will never forget where I came from and will always be grateful for the blessings that come my way 🙏
46,MQ5aYS4YFlQ,"10 children and 13 grandchildren. Sometimes you can influence how you live your life. We are a poor family too, but our lives are much better than a family with 10 children and 13 grandkids."
47,MQ5aYS4YFlQ,"As someone who is privileged enough, these are the stories most of the government officials, middle and upper class Filipinos should see to realize what's really happening when we allow poor priority/decisions and poor politics plague our land. Let us have the initiative to help, both the government and the people together from making this our ""new normal"" 🙏"
48,MQ5aYS4YFlQ,"I work 12 to 13 hours a day at minimum. Sometimes I feel like complaining  but after watching this, somehow I feel grateful to have kept my job and be able to take care of my family."
49,MQ5aYS4YFlQ,"Even without the pandemic.. many of Filipinos have been starving, and  unemployed"
50,MQ5aYS4YFlQ,"Even without the pandemic.. many of Filipinos have been starving, and  unemployed. They also said here that ""Hindi kami natakot mamatay sa COVID, takot kami na mamatay sa gutom"" ""Walang nakakagmot sa gutom, patay ka."" and I think that's the most painful statements i heard in this video. Many filipinos experienced hunger amid the lockdown. In fact, the hunger incidence rate is at its highest in 6 years according to the social weather station. I can say that Filipinos don't easily give up in the situation and they are still helping through good and bad times."
51,MQ5aYS4YFlQ,Dont be ashamed any of you.  This is not your fault.  Keep fighting to stay alive and.never give up hope no matter what you have to do.  CANADA is with you.
52,nTUWK8vufOk,"As a Filipino student, online class is frustrating because our internet here sucks."
53,nTUWK8vufOk,I hope the family was paid for being interviewed. They need support more than ever.
54,nTUWK8vufOk,nothing is more heartbreaking than children forced to grow up before there time...
55,nTUWK8vufOk,"I was in the Philippines on a mission trip when Covid hit. After I was home in the US with my family, the worry I felt for the kids I'd met there was overwhelming. May God bless the Filipino people💙"
56,nTUWK8vufOk,"As a teacher in Malaysia I feel for these anak- anak . Be strong and be safe ,only education can change your life and your family , Praying for success from Malaysia ."
57,nTUWK8vufOk,"The problem in the Philippines is that there are many less privileged, challenged people. The government officials and local government unit can be corrupt and don’t do their assigned jobs properly(not saying all of them but some or maybe most of them). The less privileged people and some teens just makes more babies and say having an accidental baby is a “blessing”. It is only a blessing if it was planned and both couple/parents are ready to have their own family. That is why many people are suffering from poverty because many people do not plan making their family. Then they blame everything to the government and if there are people doing better than them they want to pull others down. #crabmentality 🦀 I feel sorry for the challenged people but some of the people just make their own problems.

Didn’t comment here to debate. Just giving my opinion ✌🏻"
58,nTUWK8vufOk,"I am so glad that they also tackled the mental health of the youth right now. It is also one of the worst problems that the youth of the Philippines can experience. I know a lot of people in my classmates who suffer from depression, that is why, we must take actions to fight and solve this problem."
59,nTUWK8vufOk,Ah bless jonathan he is so determined while my niece in the philippines her parents send her to a private school provided everything and now she did not finish school what a spoilt brat. I wish jonathan finish a degree someday he deserve to be help
60,nTUWK8vufOk,I want to sponsor Johnathan and help him finish school.
61,nTUWK8vufOk,I'm here out of curiosity if they include how there are so many errors/incomplete in the modules given to students for online study. It's like it never even went to proofreading before it was released. Even our senate wants an investigation on this matter. How can we have internationally competitive students if the materials provided to them has so many errors.
62,dIsaz_XlmTw,wow ! GOOD NEWS ! glad we are all safe and there is near zero cases of covid ! 🤗
63,dIsaz_XlmTw,Thanks a Lot/ DOH- Keep all Our Health Well!!!❤😊
64,dIsaz_XlmTw,sa mga nagsasabing 18 cases lang nadetect. ang sinasabi nila naka-detect sila ng 18 cases of JN.1. So sa ibang variants wala tayong balita. pero good news padin. sana mababa lang talaga cases.
65,dIsaz_XlmTw,Is the covid BS 1 variant still coming
66,dIsaz_XlmTw,Hmmm. this could be the triggering pin for the ....
67,dIsaz_XlmTw,here we go again
68,dIsaz_XlmTw,Balik na naman ba tayo na ka hit tooth ache lang Covid na agad? Or death due to a vehicular accident  Galing Covid sa report?
69,dIsaz_XlmTw,Kalimutan nyo na Ang COVID-19 natoto na mga tao d nyo na mauto 😂
70,dIsaz_XlmTw,ibalik nyo na kami sa Work From Home
71,dIsaz_XlmTw,"200k excess death sa 💉💉💉💉, explain nyo pls lang."
72,pMUumjHY3tw,Ask lang po san po kaya may avail na booster po sa covid ngaun po.salamat po
73,pMUumjHY3tw,Slightly Rise! Pero sana imandatory na ang pag face mask ulit Bago pa ito lumalala na namn.. globally kasi tumataas. Pero sana umaksyon na agad kaysa mahuli na nman at hinakayatin ang publico na magsuot muli Ng face mask sa matataong lugar
74,8dTelszbObM,Coronavirus: Death toll rises to 427: https://www.youtube.com/watch?v=eavggz1suMY
75,8dTelszbObM,There's always that one person that hides there sickness and risk a whole world.
76,8dTelszbObM,This sounds serious. Hope they get it under control.
77,8dTelszbObM,"My wife is from mainland China. Her friends are from mainland China. We live in California. My wife and her friends are stand away from places they regularly go to that gave large numbers of Chinese. Classes in the evenings and weekends that have mostly Chinese students have less people showing up. Masks are sold out everywhere. Groups on WeChat are coordinating mask purchases from whatever places they find them online, even if expensive. 

I’m not as concerned but am respecting her wishes, I don’t want to cause her extra stress. 

The fear is real. 

You may think it unjustified but it’s not just people who aren’t Asian keeping their distance. Sure, some people are being idiots, especially those making comments around Asian people buy calling people racist and xenophobic doesn’t help. 

Do what you think is right for your family. Don’t let people shame you into not protecting yourself. 

At some point I expect someone to say something to my daughter who is mixed but looks Chinese but I’ve just told her people are scared and when people are scared they sometimes say mean things. It’s not as if she hasn’t heard Chinese people say racist things about other cultures. 

I make sure she knows racism exists and isn’t acceptable. 

To date she gets far more abuse from other Chinese because her Chinese isn’t as good as others. She has been bullied by people from South America in the past. 

To date, she has never told me about being bullied by westerners, she just gets the occasional mean comment which young girls seem to make to each other. 

Racists and mean people come from all races and religions. I’ve heard from the local Chinese community things like Mexicans are stupid, black people are scary, various things about Japanese so let’s not pretend many complaining about racism may also be racist, although they may not see it that way."
78,8dTelszbObM,"The quarantine didn't start until Jan 23rd. The doctor who recently died at age *34,* reported cases going back to December. This is probably worse than the media is reporting."
79,8dTelszbObM,"You can't blame people for being cautious. Especially now when there's no vaccine, cure, etc. Only thing that helps is separation. It's nothing personal."
80,8dTelszbObM,"0:07 - 20,438 confirmed cases.  How long ago did you film this?"
81,8dTelszbObM,I'm really disappointed with the director - General of the WHO. Every country has the right to ban travel to and from a country to protect it's citizens!!
82,8dTelszbObM,I hope this Outbreak will come to an end! Be safe Everyone!
83,8dTelszbObM,Leave it to the bbc to make this about racism
84,Mxf8uGFcqSE,Here we go again. Oh well . . . 😷
85,Mxf8uGFcqSE,🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸
86,Mxf8uGFcqSE,More kupit more money 😂
87,jEINZXA_ujo,"My Filipino friends, stay strong and stay safe."
88,jEINZXA_ujo,The Phillipines seem to be more on the ball than the US. Good on ya. Keep it up and good luck.:-)
89,jEINZXA_ujo,It's over 7100 islands many have no cases it's a smart move
90,jEINZXA_ujo,Better to act now than later than regret it when it's uncontrollable 😉
91,jEINZXA_ujo,"Good job Philippines.. Meanwhile, in Thailand, still no lockdown. the government has little action but the cases is getting higher but still care for the tourism than its people's health.."
92,jEINZXA_ujo,We Filipinos will support our beloved president...Amping lang kanunay.. Love from Visayas...
93,jEINZXA_ujo,I hope my family is okay 🙏🏻
94,jEINZXA_ujo,People here in the comment section are getting smarter and smarter that they debate useless things. People are dying you know... Shame on you
95,jEINZXA_ujo,"We don't want to be another Italy,our country can't afford to accommodate all.I think this reporter didnt  emphasized a local produced test kits that will be used next week .our local scientist tried their best to invent new test kits for filipinos  ,since one test kits from other countries is very expensive.I salute our presidente for doing the right thing in order not to spread the virus in other neighboring provinces or islands."
96,jEINZXA_ujo,"here in the philippines our houses are just so close to each other, The virus here can spread with ease, it's a good thing president duterte declared the lockdown earlier, we would've been all infected by now if it wasn't for that."
97,CEIrzjA8euQ,"No more health protocol thats why,its a leadership by example"
98,_a-rQYfsCck,dapat i check na yang nasa maynila
99,_a-rQYfsCck,hays!
100,_a-rQYfsCck,Heto na naman kame!👽✌️
101,_a-rQYfsCck,Business
102,_a-rQYfsCck,neknek nyo haha 😂
103,_a-rQYfsCck,Potek Gawin GCQ or ECQ yung Manila International Airport para hindi maglockdown yung buo pilipinas
104,_a-rQYfsCck,Covid business nanaman 😢
105,_a-rQYfsCck,Hahaha. Walang katapusan covid  business
106,_a-rQYfsCck,Pandemic is not over
107,_a-rQYfsCck,The new variant in the Philippines is called BBM😅😅
108,DWxIvQlpJK8,No comments odd
109,DWxIvQlpJK8,can we use this po?
110,DWxIvQlpJK8,"Permission to use this for my video presentation, thank you!"
111,DWxIvQlpJK8,nakakamiss tong pademic na to.. kain tulog lng at may sahod lingo lingo
112,DWxIvQlpJK8,SANA MAY PART 2 NA LOCKDOWN THIS 2024
113,DWxIvQlpJK8,March 2020 = September 1972
114,DWxIvQlpJK8,Nakakamiss si tatay digs
115,DWxIvQlpJK8,"nkkamis nga ang kain tulog k lng hahaha ,"
116,DWxIvQlpJK8,Let us remember that the reason why we had such high numbers or had COVID AT ALL was because this guy was afraid of hurting China's feelings by imposing a travel ban on them.
117,DWxIvQlpJK8,"Nakakamis un lock down, nakakamis un puro boses ni tatay digong inaabangan ng mga tao during lockdown. It means, lahat ng tao, nakaagapay s desisyon ni tatay digong, salute talaga kay fprrd dahil sya ang pres during pandemic."
118,h8NSmRFur-g,Sometimes i forget about how privileged i am. Thanks to my module for reminding me. I hope oen day this crisis in the Philippines will be solved too :(
119,h8NSmRFur-g,So sad I feel sorry for those kids in the Philippines .🇵🇭😔
120,h8NSmRFur-g,Sino nandito dahil sa module 🤣
121,h8NSmRFur-g,Wow his Hue is amazing!
122,h8NSmRFur-g,"Hello po! I am a student from DLSU, may I use parts of this video for my documentary? I will credit this channel as a source. Thank you!"
123,h8NSmRFur-g,thanks for covering this.
124,h8NSmRFur-g,The mobile providers should step in and do their share in helping enable the underprivileged families gain online access to online classes.
125,h8NSmRFur-g,Hmmm grade-9 HAHAHAHAH
126,h8NSmRFur-g,Hello mga taga-CitySci. Para sa English module ito?
127,h8NSmRFur-g,"I wish you wouldn't talk over their voices but rather add subtitles. Just so those with the native tongue can confirm your story.

Would've been a bit more professional."
128,05JLyd58R-w,Here we go again.😷😷😷
129,05JLyd58R-w,Bring back masks again
130,cPVE7QGS7As,"Just because our neighbour Filipina increase their covid test testing does not mean they are the worst in South East Asia. For me I admire that they try to save their people the best they can and honest with the figure too. Better than countries who have huge problem with covid, denying that they have the problem. Sending our thought and prayer to Filipina people..from Malaysia. Keep fighting spirit alive. May god protect you all."
131,cPVE7QGS7As,"Stay strong, my Filipino mates, this too shall pass"
132,cPVE7QGS7As,"Please be safe you all there. 
Well wish from Malaysia."
133,cPVE7QGS7As,"Filipinos are very friendly, hopefully they can get this under control"
134,cPVE7QGS7As,Every country is facing the same problems
135,cPVE7QGS7As,"We are with you Philippines. 
Stay strong and resilient!!!
Until we meet again."
136,cPVE7QGS7As,I hope Filipino people be safe and overcome this happening. from South Korea.
137,cPVE7QGS7As,"Godbless the Philippines,,,!hope the pandemic will end soon!🙏🙏🙏"
138,cPVE7QGS7As,We are reaching 50k test per day now that's why cases becomes high. What's important is fatality is low and high recoveries.
139,cPVE7QGS7As,hi can i use this vid for educational purposes? it's for a school project. won't be posted in yt again
140,lw16DeB6zns,"To people asking why is there a discussion about South Africa, please back to 2:29. The reporter CLEARLY says ""We will now EXPAND this discussion..."" Meaning the topic will also be discussed using other countries' experiences. Philippines was just the main feature or example. It's NOT clickbait. And there's nothing wrong with the editing. Hope this helped :)"
141,lw16DeB6zns,Great insightful report from the reporter.
142,lw16DeB6zns,"They switched because they want to put the philippines as a title because they know they will get more views if the title has the word ""philippines"" on it"
143,lw16DeB6zns,Complete Lockdown is not a solution. Government must try smart lockdown and allow those people who are earning on daily bases. May Allah bless all the people Ameen
144,lw16DeB6zns,Philippines and then South Africa?
145,lw16DeB6zns,"Tthis was really confusing, plss fix ur news well next time,..."
146,lw16DeB6zns,Huh why South Africa? This was regarding the Philippines..the interview is irrelevant
147,lw16DeB6zns,its kinda cute to read angry Pinoy comments
148,lw16DeB6zns,Philippines shouldn't use lockdown...because many of them earn daily not monthly
149,lw16DeB6zns,"How this news jump from the Philippines and now goes to South Africa? I am confused and the hashtags are from the Philippines, i just want to make this news clear at all."
150,E56W-5xVOss,"Tandaan mo ang bilin ko: Magpakatatag ka at lakasan mo ang iyong loob. Huwag kang matatakot o mawawalan ng pag-asa sapagkat akong si Yahweh, na iyong Diyos, ay kasama mo saan ka man magpunta.”
Josue 1:9 MBB05"
151,E56W-5xVOss,grabe di ko inexpect magiging ganito ka siryoso ang covid19😭 let us pray para sa health nating lahat...
152,E56W-5xVOss,"It will all come to pass....
JUST TRUST IN THE LORD WITH ALL YOUR HEART AND SOUL"
153,E56W-5xVOss,One day it will disappear! Everything  has an end!  God is Almighty .
154,E56W-5xVOss,God is the best shield to all pilipino... GOD BLESS US ALL... magpakatatag tayo... Wla tayong ibang maasahan kundi ang panginoon lamang ang syang lumikha  satin.... Sya rin ang nagbigay kagandahan dito sa mundong ito... Pag may dumi sya ang mag linis para mapanatiling malinis ang mundong ito..
155,E56W-5xVOss,"Di man tayo kasing Hi-tech Gaya NG CHINA at ibang bansa Manalig, Magtiwala at Manalanagin Lang tayo Kay God maliligtas tayo🙏🙏."
156,E56W-5xVOss,"Tama lang yan, kahit dito.sa Germany classes suspended,all events cancelled .Pero tahimik walang nagpapanic.Sanitizers and alcohol,sold out wala ka ng mabili.Tama ang sinabi ng President Duterte.God.has.mercy."
157,E56W-5xVOss,"Just remembered the time you cooked for us when we celebrated Christmas inside. You said that you're ""chef"" back then because of the business of your relative (aunt) and you really fond of cooking that's why you've been busy that day cooking the foods that we all agreed upon. And now, you're already do Vlogging here on Youtube. So proud of you Bro! May God bless you always."
158,E56W-5xVOss,Mortality rate is higher in PH compared to other countries! Hoping our gov’t gets to contain the virus in 30-day’s time. Let’s pray for the best!
159,E56W-5xVOss,Im not scared with the virus..I'm scared for my family getting it 😓 praying for the world
160,587N9bJ5J5k,the philippines still managed NOT  to be like india and indonesia until now despite having the most densed population in the world.. hoping it will not get worse this time 🙏🏽
161,587N9bJ5J5k,"lockdowns aren't going to deter highly social cultures. At least, not in a way Philippine infrastructure will be able to deal with."
162,587N9bJ5J5k,God bless you all
163,587N9bJ5J5k,"If you look at the lower income quarters, a lot of these settlements have significant overcrowding and unacceptable environmental hygiene; it just adds to the spread and these environments are a breeding ground for disease.  The situation is very similar to the Brazilian Favelas.  Many of their outdoor marketplaces are also a breeding ground for disease without proper safe food storage.

Many people in the Philippines can't afford private hospitals and don't have health insurance."
164,587N9bJ5J5k,This is how we build back better.
165,587N9bJ5J5k,God blessed
166,587N9bJ5J5k,Public hospitals in Philippines are risky at best. Full of caring staff but...
167,587N9bJ5J5k,I hope for the people
168,587N9bJ5J5k,💝🙏
169,587N9bJ5J5k,Ayan tuloy kasi matitigas Ang mga ulo. Si San Pedro umayaw na dahil pagod na sa katatawag ng mga pangalan at hanggang ngayon di pa nakatulog.
170,PP3Yu-ro1tA,"Death rate is much lower. Vaccinated cases are mild. No need to raise Alert Level or restrict businesses. Govt should pay nurses and subsidize more Covid beds, cancel military procurement and operations while concentrating on healthcare and vaccination."
171,PP3Yu-ro1tA,"It doesnt say which variant pero karamihan dyan malamang omnicron which is mild lang naman. Dont despair and dont spread panic, keep healthy lang."
172,PP3Yu-ro1tA,Its not the real numbers no country can declare the exact number of  cases .
173,PP3Yu-ro1tA,"If it's so scary, why is nobody dying from omicron?"
174,PP3Yu-ro1tA,Na labas na ang 5 trillion budget hehe Kupit season 3 nagsimula na. Magic magic ang testing haha
175,PP3Yu-ro1tA,"LAHAT BA TLGA YAN NATEST AND POSITIVE?OR IN CLASSIFY LNG NILA AS POSITIVE UNG IBA DAHIL NAGPAKITA NG SYMPTOMS?DON'T PUT TOO MUCH EXAGGERATION ON NEWS,PAG NAGPANIC UNG MGA TAO BUBUWELTAHAN NYO NG WAG MAGPANIC,JUSKO.KAYO DIN PUNOT DULO NG PAGKALITO AT PANIC NG MGA TAO.KAYA WALA NA NANINIWALA SA NEWS E.NAWAWALAN N NG CREDIBILITY ANG MEDIA KAGAGAWAN NYO DIN.MAS MAIGI PA NGA NA UNG BALITA DIRECT NA MISMO SA GOBYERNO E PRA WALA NG PALIGUY-LIGUY AT WALA NG DAGDAG BAWAS TO EXAGGERATE THE NEWS."
176,PP3Yu-ro1tA,Nothing to worry about this figure for as long as no case of death happen to any vaccinated individuals. I am just wondering why government is so alarmed by this development of covid cases! Would you now suggest again for another kind of vaccine at the expense of government money so politicians and profit oriented individuals  could amass more wealth?
177,PP3Yu-ro1tA,Kami dami positive sa amin 13 peeps huhu please pray
178,PP3Yu-ro1tA,Declare alert level 4 before it gets worst. This omicron variant has exceeded the delta variant and spreading like wildfire. Limit people movement and declare lock downs in places where incidence are high. Learn from what happened before and make drastic and decisive actions before it spreads further
179,PP3Yu-ro1tA,Ilan ang vaccinated vs non-vaccinated? Ilan ang na-ospital dahil sa Covid vs na-ospital para sa ibang bagay pero nag-positive lang sa test?
