,channel_id,channel_name,channel_dop,sub_count,total_videos
0,UC_gUM8rL-Lrg6O3adPW9K1g,WION,2016-05-19,8540000,141531
1,UCF9IOB2TExg3QIBupFtBDxg,Dr. John Campbell,2007-05-10,3050000,2570
2,UC5T7D-Dh1eDGtsAFCuwv_Sw,7NEWS Australia,2006-07-21,1640000,51227
3,UCupvZG-5ko_eiXAupbDfxWw,CNN,2005-10-02,16100000,163918
4,UCIALMKvObZNtJ6AmdCLP7Lg,Bloomberg Television,2017-05-03,1850000,63462
5,UCCjG8NtOig0USdrT5D1FpxQ,NewsNation,2020-05-06,1190000,48976
6,UCvixJtaXuNdMPUGdOPcY8Ag,David Pakman Show,2009-09-04,2100000,34453
7,UCLbidg2ZT49dWrxDkwNKr0g,Doc Schmidt,2016-01-17,632000,685
8,UCVgO39Bk5sMo66-6o6Spn6Q,ABC News (Australia),2008-06-09,1980000,86384
9,UCyFgCoP4ovsHbt92vM4zN2A,MicrobeTV,2009-06-09,126000,1532
10,UCBu0KdNokE4MqdkacvH37_A,WFAA,2006-12-07,1610000,59261
11,UCGaVdbSav8xWuFWTadK6loA,vlogbrothers,2007-01-02,3770000,2228
12,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,2012-05-28,10600000,482
13,UCknLrEdhRCp1aegoMqRaCZg,DW News,2007-09-04,5050000,33483
14,UCCj956IF62FbT7Gouszaj9w,BBC,2005-11-12,14100000,18526
15,UCVT1tPkR-fUVlO652EcO3ow,CBS Sunday Morning,2013-06-07,1450000,7171
16,UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,2006-09-20,19200000,6740
17,UCPWXiRWZ29zrxPFIQT7eHSA,The Hill,2014-09-09,1920000,31225
18,UCDvJcb8Adv-_bOrtnRLmiDw,WFLA News Channel 8,2007-04-04,657000,46072
19,UCNZR15cy3w1fzGXgI5oy5aA,Mike Ritland,2017-02-09,223000,364
20,UChqUTb7kYRX8-EiaN3XFrSQ,Reuters,2007-03-01,3160000,50552
21,UC0bCUnP5RrkJZUtd3bBz6Kw,WPTV News - FL Palm Beaches and Treasure Coast,2010-05-07,345000,119167
22,UCeY0bbntWzzVIaj2z3QigXg,NBC News,2006-07-19,9740000,62276
23,UC_YFbvKedjnVjqrZqBR4L8Q,News4JAX The Local Station,2017-07-03,437000,81732
24,UCMSsLqxqvZsNXi0Z-VjN89A,Doctor Mike Hansen,2018-10-03,1140000,330
