,video_id,comment
0,jPs4_MeuX7U,"I love being a conspiracy theorist.  Maligned, slandered, hated....but still right 😎"
1,jPs4_MeuX7U,Politicians who pushed these injections should and must be held to account
2,jPs4_MeuX7U,"My husband nearly died of a massive heart attack after his second shot,  both our moms and my aunt had strokes, our best friend died from a heart attack,  my brother in law developed AFIB, I developed severe neuropathy and people in our neighborhood have also suffered adverse affects like these...everywhere we go, or random people we meet, or aquaintences all say the same things.  This is no joke!  Shame on them for crimes to humanity!!!"
3,jPs4_MeuX7U,"Just disregard the word ""rare"" because all of my vaxxed patients are injured and suffering."
4,jPs4_MeuX7U,"Dr John Campbell has constantly pushed for the truth, hopefully other nations news stations will follow 🤙"
5,jPs4_MeuX7U,They forced you to choose between heart failure or Lose your job.
6,jPs4_MeuX7U,I guess all they so called conspiracy theorist before were right after all
7,jPs4_MeuX7U,What can go wrong when Dr BILL GATES ( by the way who has no medical degree at all ) makes himself the top Epidemiologist in the world ?
8,jPs4_MeuX7U,"This study is seemingly minimising the the number of those affected. I've heard, and it has been stated in the UK parliament by Andrew Bridgen MP, that studies showed that adverse events were 1 in 800!"
9,jPs4_MeuX7U,"Can you imagine how many would not have taken the jab if they knew this, the government cannot be allowed to do this again."
10,-Ea3UwYZnrA,"You're brave to discuss possible side effects from the 'Jab', John. I'm downloading this video just in case is dissappears. Thank you, Dr. John."
11,-Ea3UwYZnrA,"I'm in tears here after listening to Dr John Campbell.He is the first person to explain what has happened to me after having the COVID vaccine. I spent all my savings trying to find answers for severe burning and pins and needles and muscle weakness straight after my 2 nd vaccine. (No NHS drs available at that time) Diagnosed small fibre neuropathy. Not one doctor admitted what I was saying all along, that the vaccine had caused this!!"
12,-Ea3UwYZnrA,"i'll never forget how people treated me when i told them to avoid the vaccine.. i was already disollusioned with the world before 2020, and what followed just confirmed my disdain. glad theres still some people out there taking it seriously and talking about it"
13,-Ea3UwYZnrA,"Prof. Robert Clancy is an international treasure. Humility, humor, compassion, curiosity and of course great knowledge and skill. In a time of confusion, ignorance and pettiness it is a relief to hear him talk, giving hope to many people suffering with debilitating illness. Long may he live."
14,-Ea3UwYZnrA,Dr Campbell is a man of honor. He did not sell out to big pharma like so many other doctors and politicians. I wish you the best of everything. Thank you.
15,-Ea3UwYZnrA,Finally a brilliant review by Professor Clancy based on REAL research! All Doctors need to hear this to help their patients!
16,-Ea3UwYZnrA,Biggest psyops ever perpetrated on human mankind. Great work john.
17,-Ea3UwYZnrA,"I'd suffered with CFS for 15yrs at the time of the onset of the pandemic. My gut feeling told me not to get the vaccination, but I was given a really hard time about it. Thank goodness I listened to my gut! So thankful for this information 🙏"
18,-Ea3UwYZnrA,"I’m a retired veterinarian. 

I could see from the start that mRNA had the potential to cause constant antigen production. 

Reverse transcription was taught when I went to vet school, 40 years ago."
19,-Ea3UwYZnrA,"Prof Clancy is a legend with his discussion relating the jabs and also alternative treatments for C-19, however he was widely censored and silenced in Australia for the last few years. He did a fabulous interview in 2021 on our national broadcaster in Australia discussing the “horse” medicine and the interview was wiped from the internet. So glad to see him on your channel uncensored."
20,2IXl4qJGrRk,He got more vaccines than all Texans together!
21,2IXl4qJGrRk,It seems reckless that they would even allow him to get that many shots
22,2IXl4qJGrRk,That is one Guiness Book of records that will never fall.
23,2IXl4qJGrRk,"Wow, this dude’s 5g signal must be off the charts!"
24,2IXl4qJGrRk,A young Italian woman was accidently given a Covid-19 vaccine batch by a nurse that should have been divided (into 6 shots?).  She became critically ill and it took her many months to recover. I think that she still has side-effects from the overdose.
25,2IXl4qJGrRk,He took all those shots so you don't have to😂😂😂
26,2IXl4qJGrRk,The fact that you can get that many that frequently is disgusting
27,2IXl4qJGrRk,"The researchers analyzed his blood chemistries, which showed no abnormalities linked to his hypervaccination. They also looked at various markers to evaluate how his adaptive immune system was functioning, according to the study.

The adaptive immune system is the subsection of the immune system that learns to recognize and respond to specific pathogens when you encounter them throughout your life, Miller said. There are two main cell types in the adaptive immune system, T cells and B cells.

In chronic diseases, such as HIV and hepatitis B, immune cells can become fatigued from frequent exposure to the pathogen and lose the ability to combat it effectively, Schober said. Hypervaccination, in theory, could have a similar effect.

However, that’s not what the researchers found. Hypervaccination in this case increased the quantity (the number of T cells and B cell products) but did not affect the quality of the adaptive immune system, according to the study.

In total, the man got eight vaccine formulations, including mRNA vaccines from Pfizer/BioNTech and Moderna, a vector-based vaccine from Johnson & Johnson and a recombinant-protein vaccine from Sanofi.

While very interesting from a scientific perspective, individual case studies like this must always be taken with a grain of salt, Miller said. Public health recommendations, which are based on very large, randomized control trials, are what people should look to for guidance, she added.

The US Centers for Disease Control and Prevention recommends Covid vaccination for everyone ages 6 months or older in the United States, following the vaccination schedules outlined on its website. Last week, the CDC updated its guidance to recommend an additional dose of the current Covid vaccine for people 65 and older.

Less than a quarter of adults and only 13% of children in the US have gotten the most recently recommended Covid vaccine, according to CDC data.

Covid hasn’t disappeared, and neither have vaccination conspiracy theories.

CDC drops 5-day isolation guidance for Covid-19, moving away from key strategy to quell infections"
28,2IXl4qJGrRk,"Doctors here in Australia would not allow someone to get vaccinations within the appropriate time frame. You definitely wouldn't be getting two, one in each arm at the same appointment. So my question is, how did he access this many vaccinations and why did the doctors allow it?"
29,2IXl4qJGrRk,Question is who let him get all this?  You mean he don't have records of getting this.
30,geXKovieb1E,It’s crazy how the majority of the population don’t have an inner monologue and don’t question anything.
31,geXKovieb1E,A good friend of mine aged 39 died last March. He hadn't had Covid but he had three jabs to stay employed despite my warnings. He thought I had jumped on some QNON bandwagon and asked me if i was an antivaxxer. I said NO I'd had all my vaccines but wasn't going to take this one as it was untested. March 4th last year he sat down in a chair to read and died. His wife went to talk to him but he had just gone without even a sign or noise! It was heartbreaking but an autopsy showed massive blood clots to his heart and brain. His funeral was horrible and people who had once shunned me are now wondering if they have made a huge mistake. I don't feel superior or even say see I knew it because it was terrible the way they put people through mandates and put pressure on them to 'save grandma!'
32,geXKovieb1E,The risks are NOT small. Bloody lies.
33,geXKovieb1E,The adverse events aren't rare. I know 3 vaxed injured people.
34,geXKovieb1E,"i did not take vaccine,.. i'm still alive,....!!"
35,geXKovieb1E,I never took the Jab. Nor did my 85 year old mother. We are both healthier than most people that took the Jab. I guess you can say we are PURE BLOODS.
36,geXKovieb1E,"If you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … If all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – Ian Watson"
37,geXKovieb1E,This doesn't even talk about the turbo cancers and the psychosis.
38,geXKovieb1E,When will media outlets like this grow a conscience ?
39,geXKovieb1E,"Too late, harm has been done."
40,im3otpqYAiQ,The dude makes it sound like Myocarditis and pericarditis are just minor health conditions. What a joke
41,im3otpqYAiQ,Glad I made it through the gaslighting.
42,im3otpqYAiQ,“They didn’t find anything else that was alarming….” This is actually comical. Aren’t these enough??
43,im3otpqYAiQ,Didn't they destroy doctors careers who said this 2yr ago .. ?
44,im3otpqYAiQ,"If you have to be persuaded, reminded, pressured, lied to, incentivized, coerced, bullied, socially shamed, guilt-tripped, threatened, punished and criminalized … If all of this is considered necessary to gain your compliance — you can be absolutely certain that what is being promoted is not in your best interest.” – Ian Watson"
45,im3otpqYAiQ,No one regrets not getting it
46,im3otpqYAiQ,Its a          B I O W E A P O N
47,im3otpqYAiQ,The Truth must be revealed……. Or we’re doomed to repeat it 😔
48,im3otpqYAiQ,Take the number of instances. Multiply by 75000
49,im3otpqYAiQ,Duh we said this on day one and the mainstream news called us conspiracy theorists lol such a joke
50,IMRTSwb3hCs,"I didn't get the shots but this whole experience permanently ruined my trust in the system. I don't care how many studies they do, I'll never ""trust the expert"" ever in my life."
51,IMRTSwb3hCs,What about those giant rubbery clots found in cadavers?  Could you please do a report on that?  They've never been seen by embalmers before 2021.
52,IMRTSwb3hCs,17 mill around the world rare ..... 🙄 Thats not called rare thats called crimes against humanity
53,IMRTSwb3hCs,Chris it’s not extremely rare. And you pushed that shot to no end!
54,IMRTSwb3hCs,But they said people were just conspiracy theorist remember lol
55,IMRTSwb3hCs,I’ve met so many jab injured here in Australia. I don’t think it’s “rare” at all. Many years on they are still suffering.
56,IMRTSwb3hCs,"How long until it goes from extremely rare, to rare, to common?"
57,IMRTSwb3hCs,"Just watch Dr.John Campbell , he’s ahead of it all"
58,IMRTSwb3hCs,My favorite part about being a conspiracy theorist is not getting myocarditis.
59,IMRTSwb3hCs,IT'S NOT RARE
60,YVFAvoeFahI,Those who questioned and didn't get jabbed will never get an apology. But they have peace of mind knowing that they haven't got poison locked within their system.
61,YVFAvoeFahI,I agree with him😎People should be the only ones Who Control their own BODY 💯
62,YVFAvoeFahI,APOLOGY??? I want criminal charges filed.
63,YVFAvoeFahI,"The fact that the drugs quite obviously were not subject to an adequate peer reviewed clinical trial process along with that billions of people were denied informed consent is all kinds of illegal.

The definition of ""conspiracy"" simply means two or more people secretly agreed to carry out an illegal act.

Therefore, the entire thing was absolutely a ""conspiracy""... less the theory part."
64,YVFAvoeFahI,I don't take apologies. You are all an enemy to me. You tried to murder me
65,YVFAvoeFahI,I remember when “natural immunity” wasn’t a thing and if you told anyone they looked at you so strange. I’m glad of my decision now seeing the massive amount of injuries. And as I expected..the injured don’t have a voice. 🤷🏼‍♂️
66,YVFAvoeFahI,"Stuff your apologies, and save it for the people who died!!!! The next life is not going to be bought or anything else that is what you are doing to get through this world 😉"
67,YVFAvoeFahI,"don't feel sorry for us,we didn't take it lol"
68,YVFAvoeFahI,"It's not rare. We were threatened. Lost jobs, family, alienated, denied, ostracized from society. We were treated like 'terrorists'/criminals. We deserve compensation. The injured deserve 'reparations'."
