,video_id,comment,spam
4,aLZ85hb4wjE,India also,1
9,aLZ85hb4wjE,2020 year nature fight back reduce human emission dramatically.,1
10,sYI97jv-pZg,Cough cold season weather cold .... covid amg impression,1
11,sYI97jv-pZg,Ala n covid tngina,1
12,3YFpjgIQqEo,This cold make worse make money,1
14,3YFpjgIQqEo,Season cough cold today Pinas cold morning early morning night hot aircon home entering work aircon body temperature changed get sick cough cold. .atibp,1
16,3YFpjgIQqEo,Take ginger drink ..,1
18,3YFpjgIQqEo,😊😊 😊,1
20,3YFpjgIQqEo,PRAISE GOD THERE ARE ONLY 18 CASES OUT OF 114 MILLION PEOPLE !! THANK YOU LORD WE ARE ALL HEALTHY ! COVID IS OVER !!,1
23,dIsaz_XlmTw,Thanks Lot/ DOH- Keep Our Health Well!!!❤😊,1
24,dIsaz_XlmTw,To say 18 cases detected. They say detect 18 cases JN.1. So variants news. But good news padin. Hopefully low cases.,1
26,dIsaz_XlmTw,go,1
27,dIsaz_XlmTw,Hmmm. could triggering pin ....,1
29,dIsaz_XlmTw,"Others country south east Asia, people dying complication mutate virus COVID. As far US several cases reported ICU carefree extreme measures social distancing must",1
31,dIsaz_XlmTw,Take us back work home,1
33,DWxIvQlpJK8,"Permission use video presentation, thank you!",1
36,DWxIvQlpJK8,Daddy Digs frustrating,1
39,DWxIvQlpJK8,Cure.,1
40,pMUumjHY3tw,Just ask booster avail covid ngaun po.,1
41,pMUumjHY3tw,Slightly Rise! But hopefully face mask imandatory gets worse .. globally rises. But would taken action immediately rather caught pushed public wear face mask,1
42,nTUWK8vufOk,"As Filipino student, online class frustrating internet sucks.",1
43,nTUWK8vufOk,I hope family paid interviewed. They need support ever.,1
45,nTUWK8vufOk,"As teacher Malaysia I feel anak- anak . Be strong safe ,only education change life family , Praying success Malaysia .",1
47,nTUWK8vufOk,"I glad also tackled mental health youth right now. It also one worst problems youth Philippines experience. I know lot people classmates suffer depression, why, must take actions fight solve problem.",1
51,nTUWK8vufOk,I want sponsor Johnathan help finish school.,1
53,cPVE7QGS7As,"Stay strong, Filipino mates, shall pass",1
54,cPVE7QGS7As,Please safe there. Well wish Malaysia.,1
57,cPVE7QGS7As,"Filipinos friendly, hopefully get control",1
61,cPVE7QGS7As,hi use vid educational purposes? school project. posted yt,1
65,lw16DeB6zns,"Tthis really confusing, plss fix ur news well next time,...",1
71,lw16DeB6zns,When u choose trike driver president.,1
72,lw16DeB6zns,I watch video I find information comment section😊,1
73,8dTelszbObM,Coronavirus: Death toll rises 427: https://www.youtube.com/watch?v=eavggz1suMY,1
84,Mxf8uGFcqSE,More kupit money 😂,1
85,Mxf8uGFcqSE,🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸🥸,1
86,MQ5aYS4YFlQ,For greater INSIGHT top issues affecting Asia: https://youtube.com/playlist?list=PLkMf14VQEvTaHr6oTqYbWqKOsmcveuhca,1
90,MQ5aYS4YFlQ,"10 children 13 grandchildren. Sometimes influence live life. We poor family too, lives much better family 10 children 13 grandkids.",1
94,MQ5aYS4YFlQ,"As someone privileged enough, stories government officials, middle upper class Filipinos see realize what's really happening allow poor priority/decisions poor politics plague land. Let us initiative help, government people together making ""new normal"" 🙏",1
95,MQ5aYS4YFlQ,"That's Family planning important. Don't settle yet house stable job. Save money much can, spend wisely.",1
96,iOE6rAY8l-k,Vietnamese I keep philippines prayer. Don't give guys southeast Asia win battle. 🙏🙏🙏🙏🙏,1
97,iOE6rAY8l-k,"Here Cebu City Philippines, exactly position like Manila month ago. Government issued us ECQ status. Our hospital 100% utilizations. It's really community effort. Many people help fed covid patience. A week go downgraded GCQ, hospital 45% utilization rate now. We're transition MGCQ even lower status. So hang guys, it. Just follow basic health protocol. Stay safe, Stay home, Stay healthy please obedient. ✌. For local tourist please go Cebu open ready. To help local tourism industry. Thanks.",1
99,iOE6rAY8l-k,Please allow use academic purposes only. Thank you!,1
102,iOE6rAY8l-k,hi use video presentation? thank,1
104,iOE6rAY8l-k,"pls allow use school purposes only, student. thank you!",1
105,iOE6rAY8l-k,hi people hilt,1
106,_a-rQYfsCck,I check Manila,1
108,_a-rQYfsCck,hays!,1
109,_a-rQYfsCck,Business,1
112,_a-rQYfsCck,Covid business nanaman 😢,1
113,_a-rQYfsCck,Hahaha. Endless Covid Business,1
114,_a-rQYfsCck,Pandemic,1
115,_a-rQYfsCck,The new variant Philippines called BBM😅😅,1
116,jEINZXA_ujo,"My Filipino friends, stay strong stay safe.",1
119,jEINZXA_ujo,Better act later regret uncontrollable 😉,1
121,jEINZXA_ujo,I hope family okay 🙏🏻,1
122,jEINZXA_ujo,We Filipinos support beloved president...Amping lang kanunay.. Love Visayas...,1
123,jEINZXA_ujo,Stay safe!,1
124,jEINZXA_ujo,"We want another Italy,our country can't afford accommodate all.I think reporter didnt emphasized local produced test kits used next week .our local scientist tried best invent new test kits filipinos ,since one test kits countries expensive.I salute presidente right thing order spread virus neighboring provinces islands.",1
126,587N9bJ5J5k,"If look lower income quarters, lot settlements significant overcrowding unacceptable environmental hygiene; adds spread environments breeding ground disease. The situation similar Brazilian Favelas. Many outdoor marketplaces also breeding ground disease without proper safe food storage. Many people Philippines can't afford private hospitals health insurance.",1
129,587N9bJ5J5k,"lockdowns going deter highly social cultures. At least, way Philippine infrastructure able deal with.",1
133,587N9bJ5J5k,I hope people,1
134,587N9bJ5J5k,💝🙏,1
136,E5F3xA_zkFc,"Many people really hungry pandemic, go work, salary, way eat, I cried documentary😭😭😭",1
148,2fRQ8OsqOLs,PROTEKTADO TODO DAMI NA NAMATAY SA TUKLAM NIO WAG NIO PINAGLOLOKO MGA TAO,1
150,2fRQ8OsqOLs,"Poor ones followed you, bruised body - Revelation 16: 2",1
151,2fRQ8OsqOLs,"For sure cases covid 19,",1
152,2fRQ8OsqOLs,DAMI KO TAWA SA MGA NAG COMMENT DITO SA VIDEO NIYO MGA WALA COMMON SENSE ANO NAHAWA KAYO SA KAUTAK IPIS NG DOH ABER SO PATETIC,1
154,2fRQ8OsqOLs,Next plan: marburg virus?,1
155,2fRQ8OsqOLs,thank po sa info😊,1
156,2fRQ8OsqOLs,"Ma'am, rest right take government rest people rest covid promoting.",1
157,2fRQ8OsqOLs,Kwak Kwak Kwak pool seat,1
162,E56W-5xVOss,It come pass.... JUST TRUST IN THE LORD WITH ALL YOUR HEART AND SOUL,1
164,E56W-5xVOss,"We hi-tech China abroad trust, trust able rescue God saved.",1
165,E56W-5xVOss,"Just remembered time cooked us celebrated Christmas inside. You said ""chef"" back business relative (aunt) really fond cooking that's busy day cooking foods agreed upon. And now, already Vlogging Youtube. So proud Bro! May God bless always.",1
167,E56W-5xVOss,Tito Raul Destura😊,1
170,c1oU8U05puY,Sa mga health workers po pwd,1
172,c1oU8U05puY,In San Jose Del Monte City Bulacan look DOH.,1
